announce_date,from_date,to_date,direction,rub_per_day_bln,source_url,verified,note
2018-06-05,2018-06-07,2018-07-05,buy,19.00,https://minfin.gov.ru/ru/press-center/?id_4=36140,yes,
2018-07-04,2018-07-06,2018-08-06,buy,15.80,https://minfin.gov.ru/ru/press-center/?id_4=36177,yes,
2018-08-03,2018-08-07,2018-09-06,buy,16.70,https://minfin.gov.ru/ru/press-center/?id_4=36199,yes,
2018-09-05,2018-09-07,2018-10-04,buy,21.30,https://minfin.gov.ru/ru/press-center/?id_4=36215,yes,ЦБ не покупал валюту на рынке с 23.08.2018; конвертация шла напрямую через Казначейство
2018-10-03,2018-10-05,2018-11-07,buy,20.70,https://minfin.gov.ru/ru/press-center/?id_4=36274,yes,
2018-11-06,2018-11-08,2018-12-06,buy,25.00,https://minfin.gov.ru/ru/press-center/?id_4=36342,yes,
2018-12-05,2018-12-07,2019-01-14,buy,17.40,https://minfin.gov.ru/ru/press-center/?id_4=36427,yes,
2019-01-11,2019-01-15,2019-02-06,buy,15.60,https://minfin.gov.ru/ru/press-center/?id_4=36468,yes,
2019-02-05,2019-02-07,2019-03-06,buy,9.70,https://minfin.gov.ru/ru/press-center/?id_4=36497,yes,
2019-03-05,2019-03-07,2019-04-04,buy,15.50,https://minfin.gov.ru/ru/press-center/?id_4=36540,yes,
2019-04-03,2019-04-05,2019-05-13,buy,11.60,https://minfin.gov.ru/ru/press-center/?id_4=36576,yes,
2019-05-08,2019-05-14,2019-06-06,buy,16.70,https://minfin.gov.ru/ru/press-center/?id_4=36614,yes,
2019-06-05,2019-06-07,2019-07-04,buy,16.30,https://minfin.gov.ru/ru/press-center/?id_4=36644,yes,
2019-07-03,2019-07-05,2019-08-06,buy,10.00,https://minfin.gov.ru/ru/press-center/?id_4=36690,yes,
2019-08-05,2019-08-07,2019-09-05,buy,11.20,https://minfin.gov.ru/ru/press-center/?id_4=36720,yes,
2019-09-04,2019-09-06,2019-10-04,buy,8.90,https://minfin.gov.ru/ru/press-center/?id_4=36749,yes,
2019-10-03,2019-10-07,2019-11-07,buy,9.20,https://minfin.gov.ru/ru/press-center/?id_4=36791,yes,
2019-11-06,2019-11-08,2019-12-05,buy,11.40,https://minfin.gov.ru/ru/press-center/?id_4=36846,yes,
2019-12-04,2019-12-06,2020-01-14,buy,9.30,https://minfin.gov.ru/ru/press-center/?id_4=36884,yes,
2020-01-13,2020-01-15,2020-02-06,buy,18.20,https://minfin.gov.ru/ru/press-center/?id_4=36916,yes,
2020-02-05,2020-02-07,2020-03-05,buy,11.30,https://minfin.gov.ru/ru/press-center/?id_4=36941,yes,
2020-03-04,2020-03-06,2020-04-06,buy,6.30,https://minfin.gov.ru/ru/press-center/?id_4=36977,yes,
2020-04-03,2020-04-07,2020-05-12,sell,3.50,https://minfin.gov.ru/ru/press-center/?id_4=37021-neftegazovye_dokhody_i_provedenie_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-05-08,2020-05-13,2020-06-04,sell,11.40,https://minfin.gov.ru/ru/press-center/?id_4=37048-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-06-03,2020-06-05,2020-07-07,sell,10.20,https://minfin.gov.ru/ru/press-center/?id_4=37075-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-07-06,2020-07-08,2020-08-06,sell,5.70,https://minfin.gov.ru/ru/press-center/?id_4=37109-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-08-05,2020-08-07,2020-09-04,sell,3.10,https://minfin.gov.ru/ru/press-center/?id_4=37143-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-09-03,2020-09-07,2020-10-06,sell,2.50,https://minfin.gov.ru/ru/press-center/?id_4=37166-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-10-05,2020-10-07,2020-11-06,sell,5.80,https://minfin.gov.ru/ru/press-center/?id_4=37219-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_vnutrennem_valyutnom_rynke,yes,
2020-11-05,2020-11-09,2020-12-04,sell,2.50,https://minfin.gov.ru/ru/press-center/?id_4=37265-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2020-12-03,2020-12-07,2021-01-14,sell,2.20,https://minfin.gov.ru/ru/press-center/?id_4=37308-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-01-13,2021-01-15,2021-02-04,buy,7.10,https://minfin.gov.ru/ru/press-center/?id_4=37347-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-02-03,2021-02-05,2021-03-04,buy,2.40,https://minfin.gov.ru/ru/press-center/?id_4=37367-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-03-03,2021-03-05,2021-04-06,buy,6.70,https://minfin.gov.ru/ru/press-center/?id_4=37400-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-04-05,2021-04-07,2021-05-07,buy,8.40,https://minfin.gov.ru/ru/press-center/?id_4=37434-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-05-06,2021-05-11,2021-06-04,buy,6.50,https://minfin.gov.ru/ru/press-center/?id_4=37469-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-06-03,2021-06-07,2021-07-06,buy,10.50,https://minfin.gov.ru/ru/press-center/?id_4=37506-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
