name,lift_med_corr_median,lift_med_corr_min,lift_pooled,lift_win_median_all,share_windows_lift_gt1,benefit_excess_med,fpw,n_events,clump_share,empty_month_share,longest_gap,sec,spec,per_corr_lift
best_gate0.15_pol_cd2cap3,1.5823895229733684,1.3,1.428400973552218,1.499587502661273,0.8,123.15766842770272,0.3702786704047814,530,0.703768034071197,0.6424242424242425,141.0,1.0,"{""name"": ""best_gate0.15_pol_cd2cap3"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.15, ""target_fpw"": 2.0, ""policy"": {""cooldown"": 2, ""cap"": 3, ""span"": 7}}","{""AMD"": 1.726, ""KGS"": 1.582, ""KZT"": 1.3, ""TJS"": 1.33, ""UZS"": 1.619}"
lr_exAll_gate0.2_fpw1.0,1.4338235294117647,1.1908700322234158,1.401715639054234,1.4338235294117647,0.6545454545454545,111.40685751406711,0.1951530633670917,280,0.558501221001221,0.724242424242424,136.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw1.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 1.0}","{""AMD"": 1.519, ""KGS"": 1.434, ""KZT"": 1.191, ""TJS"": 1.341, ""UZS"": 1.506}"
abl_drop_basket,1.4311974789915969,1.2114158163265305,1.393481402805047,1.436691984486102,0.7272727272727273,108.68840823016004,0.330928265824975,474,0.6509114492448752,0.612121212121212,134.0,1.0,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""abl_drop_basket""}","{""AMD"": 1.526, ""KGS"": 1.431, ""KZT"": 1.211, ""TJS"": 1.405, ""UZS"": 1.563}"
lr_exAll_gate0.15_fpw2,1.4918649051660466,1.262650602409639,1.3846160584604383,1.4527347652347653,0.7818181818181819,116.60068463389766,0.2829263458136867,405,0.5949291168516503,0.6424242424242425,141.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.15, ""target_fpw"": 2.0, ""name"": ""lr_exAll_gate0.15_fpw2""}","{""AMD"": 1.668, ""KGS"": 1.492, ""KZT"": 1.263, ""TJS"": 1.322, ""UZS"": 1.549}"
best_gate0.15_fpw2_dump,1.4918649051660466,1.262650602409639,1.3846160584604383,1.4527347652347653,0.7818181818181819,116.60068463389766,0.2829263458136867,405,0.5949291168516503,0.6424242424242425,141.0,1.0,"{""name"": ""best_gate0.15_fpw2_dump"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.15, ""target_fpw"": 2.0, ""dump"": true}","{""AMD"": 1.668, ""KGS"": 1.492, ""KZT"": 1.263, ""TJS"": 1.322, ""UZS"": 1.549}"
lr_exAll_gate0.2_fpw2_pol_cd2cap3,1.5403304303278689,1.128826530612245,1.3842629260602857,1.419540985330459,0.7636363636363637,118.86695739577144,0.434258469131157,622,0.7727963055576983,0.606060606060606,134.0,1.0,"{""name"": ""lr_exAll_gate0.2_fpw2_pol_cd2cap3"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""policy"": {""cooldown"": 2, ""cap"": 3, ""span"": 7}}","{""AMD"": 1.606, ""KGS"": 1.541, ""KZT"": 1.129, ""TJS"": 1.322, ""UZS"": 1.54}"
best_pol_cd2cap3,1.5403304303278689,1.128826530612245,1.3842629260602857,1.419540985330459,0.7636363636363637,118.86695739577144,0.434258469131157,622,0.7727963055576983,0.606060606060606,134.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""best_pol_cd2cap3"", ""policy"": {""cooldown"": 2, ""cap"": 3, ""span"": 7}}","{""AMD"": 1.606, ""KGS"": 1.541, ""KZT"": 1.129, ""TJS"": 1.322, ""UZS"": 1.54}"
hgb_exAll_gate0.2_fpw2,1.3913549558080809,1.1607524828113065,1.361647471675548,1.3798586139261195,0.7636363636363637,104.54473801536406,0.3681159700256504,527,0.6511476576685554,0.5909090909090909,127.0,16.0,"{""name"": ""hgb_exAll_gate0.2_fpw2"", ""model"": ""hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.44, ""KGS"": 1.434, ""KZT"": 1.161, ""TJS"": 1.382, ""UZS"": 1.391}"
best_dropshock,1.4282908860265415,1.2040816326530612,1.357926618393294,1.413095238095238,0.7636363636363637,109.28886505652378,0.3252152243624739,466,0.6567393578381292,0.6060606060606061,134.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""best_dropshock"", ""drop_shock"": true}","{""AMD"": 1.55, ""KGS"": 1.486, ""KZT"": 1.204, ""TJS"": 1.297, ""UZS"": 1.428}"
abl_drop_cal,1.4338235294117647,1.2040816326530612,1.3545802038546615,1.3650000000000002,0.7090909090909091,99.5832689760797,0.3314901168972752,475,0.6745323649537807,0.6121212121212122,134.0,1.0,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""abl_drop_cal""}","{""AMD"": 1.44, ""KGS"": 1.434, ""KZT"": 1.204, ""TJS"": 1.295, ""UZS"": 1.466}"
blend_lr_hgb_exAll_gate0.2_fpw2,1.3950787986916444,1.2420049912753648,1.3496815587443851,1.4333333333333331,0.8,95.93840661715048,0.3547098649608858,508,0.602976089396447,0.5878787878787879,134.0,16.0,"{""name"": ""blend_lr_hgb_exAll_gate0.2_fpw2"", ""model"": ""blend_lr_hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.498, ""KGS"": 1.56, ""KZT"": 1.242, ""TJS"": 1.395, ""UZS"": 1.271}"
lr_exAll_decay1_gate0.2_fpw2,1.4124040920716112,1.259671338414884,1.3454114117404068,1.4124040920716112,0.8,104.9812265877924,0.3939492347671545,564,0.6805911673160798,0.5696969696969697,126.0,1.0,"{""name"": ""lr_exAll_decay1_gate0.2_fpw2"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""decay"": 1, ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.494, ""KGS"": 1.412, ""KZT"": 1.26, ""TJS"": 1.433, ""UZS"": 1.299}"
lr_exAll_gate0.2_fpw3.0,1.3527336860670194,1.2040816326530612,1.34416390152386,1.413095238095238,0.8,95.63840529272088,0.3861381652217588,553,0.6644034922673745,0.5636363636363636,132.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw3.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 3.0}","{""AMD"": 1.533, ""KGS"": 1.45, ""KZT"": 1.204, ""TJS"": 1.353, ""UZS"": 1.342}"
lr_exAll_gate0.2_fpw2.5,1.3527336860670194,1.2040816326530612,1.34416390152386,1.413095238095238,0.8,95.63840529272088,0.3861381652217588,553,0.6644034922673745,0.5636363636363636,132.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.5, ""name"": ""lr_exAll_gate0.2_fpw2.5""}","{""AMD"": 1.533, ""KGS"": 1.45, ""KZT"": 1.204, ""TJS"": 1.353, ""UZS"": 1.342}"
lr_exAll_gate0.2_fpw2.0,1.4644179350061703,1.2040816326530612,1.343258428495273,1.3916157372039724,0.7636363636363637,98.6105279504109,0.3343333042168017,479,0.6626587578507784,0.606060606060606,134.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw2.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.55, ""KGS"": 1.464, ""KZT"": 1.204, ""TJS"": 1.297, ""UZS"": 1.489}"
BEST_lr_exAll_gate0.2_fpw2_dump,1.4644179350061703,1.2040816326530612,1.343258428495273,1.3916157372039724,0.7636363636363637,98.6105279504109,0.3343333042168017,479,0.6626587578507784,0.606060606060606,134.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""BEST_lr_exAll_gate0.2_fpw2_dump"", ""dump"": true}","{""AMD"": 1.55, ""KGS"": 1.464, ""KZT"": 1.204, ""TJS"": 1.297, ""UZS"": 1.489}"
abl_drop_vol,1.4044117647058822,1.2040816326530612,1.343120338861336,1.3636363636363638,0.7272727272727273,99.44576910540664,0.3259223781263176,467,0.6495757365365208,0.609090909090909,132.0,1.0,"{""model"": ""logreg"", ""extra"": [""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""abl_drop_vol""}","{""AMD"": 1.486, ""KGS"": 1.404, ""KZT"": 1.204, ""TJS"": 1.308, ""UZS"": 1.458}"
best_C0.3,1.4451871657754012,1.1142857142857143,1.338319978129489,1.3916157372039724,0.7636363636363637,99.9790679355365,0.332235276133907,476,0.6553677978076048,0.609090909090909,134.0,1.2,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""best_C0.3"", ""C"": 0.3}","{""AMD"": 1.55, ""KGS"": 1.445, ""KZT"": 1.114, ""TJS"": 1.322, ""UZS"": 1.448}"
