name,lift_med,lift_min_corr,lift_pooled,share_win_gt1,benefit_excess,benefit_excess_pooled,fpw,n_events,clump_share,empty_month_share,longest_gap_corr_max,share_weeks_any,share_2weeks_any,longest_gap_any_days,n_any,sec,per_corr_lift,spec
F_roll120_fpw2_gate0.3,1.357268335529205,1.2202651515151517,1.3412633558357931,0.7636363636363637,128.68004747348186,112.88555432962484,0.3288732406195775,471,0.597077057683932,0.5969696969696969,492.0,0.4097222222222222,0.4861111111111111,415.0,261,115.5,"{""AMD"": 1.506, ""KGS"": 1.357, ""KZT"": 1.246, ""TJS"": 1.22, ""UZS"": 1.645}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""F_roll120_fpw2_gate0.3"", ""thr"": [""rolling"", 2.0], ""gate_rank120"": 0.3}"
C_hgb_decay1_gate0.3_fpw3,1.392857142857143,1.29,1.2765280234049692,0.6909090909090909,93.83326785392184,55.17450223635516,0.4235666267434222,606,0.6577628929590622,0.5606060606060607,505.0,0.4201388888888889,0.5138888888888888,336.0,275,120.9,"{""AMD"": 1.518, ""KGS"": 1.295, ""KZT"": 1.393, ""TJS"": 1.29, ""UZS"": 1.545}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_decay1_gate0.3_fpw3"", ""thr"": [""fpw"", 3.0], ""decay"": 1, ""gate_rank120"": 0.3}"
C_hgb_gate0.3_utility1.0,1.2495918994773536,1.1806122448979592,1.2531648810561529,0.7090909090909091,68.75167765678842,72.40299961745612,0.5501317383073329,788,0.7472865756912745,0.5242424242424244,485.0,0.4652777777777778,0.5347222222222222,336.0,362,21.4,"{""AMD"": 1.383, ""KGS"": 1.328, ""KZT"": 1.236, ""TJS"": 1.181, ""UZS"": 1.25}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_utility1.0"", ""thr"": [""utility"", 1.0], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_lift1.3,1.4127931769722817,0.968944099378882,1.2520033985869643,0.5636363636363636,84.72323656235211,84.25975743089398,0.2826461971849913,405,0.6824030089077969,0.6727272727272727,503.0,0.2881944444444444,0.375,392.0,196,20.7,"{""AMD"": 1.424, ""KGS"": 1.413, ""KZT"": 0.969, ""TJS"": 1.19, ""UZS"": 1.601}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_lift1.3"", ""thr"": [""lift"", 1.3], ""gate_rank120"": 0.3}"
F_roll120_fpw1_fact0.3,1.2040816326530612,1.1513182674199625,1.2374816067843786,0.6,117.05436519245949,89.76432135634262,0.2551784451436145,366,0.5246306589418717,0.6454545454545452,438.0,0.3506944444444444,0.4791666666666667,222.0,209,20.4,"{""AMD"": 1.257, ""KGS"": 1.192, ""KZT"": 1.204, ""TJS"": 1.151, ""UZS"": 1.661}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""F_roll120_fpw1_fact0.3"", ""thr"": [""rolling"", 1.0], ""gate_rank120"": 0.3, ""gate_col"": ""fact""}"
C_hgb_gate0.3_fpw3_C1,1.3568033273915625,1.0895408163265308,1.2350169626406018,0.6363636363636364,84.72816129862652,70.32511543129621,0.3762369206580113,539,0.6632181697370382,0.5757575757575757,485.0,0.4305555555555556,0.5,389.0,277,115.3,"{""AMD"": 1.48, ""KGS"": 1.357, ""KZT"": 1.09, ""TJS"": 1.236, ""UZS"": 1.474}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw3_C1"", ""thr"": [""fpw"", 3.0], ""gate_rank120"": 0.3, ""C"": 1.0}"
C_hgb_gate0.3_fpw2.0,1.3282828282828285,1.0895408163265308,1.2316502325628549,0.6545454545454545,106.94042145671916,68.77844434729947,0.3077055361165378,441,0.5740241772782448,0.6212121212121213,485.0,0.3888888888888889,0.4791666666666667,392.0,245,21.7,"{""AMD"": 1.424, ""KGS"": 1.328, ""KZT"": 1.09, ""TJS"": 1.268, ""UZS"": 1.581}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw2.0"", ""thr"": [""fpw"", 2.0], ""gate_rank120"": 0.3}"
D_gate0.3_rank120_dump,1.3568033273915625,1.1103008444757214,1.2285820170247364,0.6363636363636364,84.99915460581278,67.73317224178523,0.3755261553243778,538,0.6508653400657078,0.5727272727272726,485.0,0.4236111111111111,0.5,389.0,278,114.4,"{""AMD"": 1.431, ""KGS"": 1.357, ""KZT"": 1.11, ""TJS"": 1.244, ""UZS"": 1.486}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""thr"": [""fpw"", 3.0], ""name"": ""D_gate0.3_rank120_dump"", ""gate_rank120"": 0.3, ""dump"": true}"
C_hgb_gate0.3_fpw4.0,1.3568033273915625,1.1103008444757214,1.2285820170247364,0.6363636363636364,84.99915460581278,67.73317224178523,0.3755261553243778,538,0.6508653400657078,0.5727272727272726,485.0,0.4236111111111111,0.5,389.0,278,21.8,"{""AMD"": 1.431, ""KGS"": 1.357, ""KZT"": 1.11, ""TJS"": 1.244, ""UZS"": 1.486}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw4.0"", ""thr"": [""fpw"", 4.0], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_fpw3.0,1.3568033273915625,1.1103008444757214,1.2285820170247364,0.6363636363636364,84.99915460581278,67.73317224178523,0.3755261553243778,538,0.6508653400657078,0.5727272727272726,485.0,0.4236111111111111,0.5,389.0,278,21.9,"{""AMD"": 1.431, ""KGS"": 1.357, ""KZT"": 1.11, ""TJS"": 1.244, ""UZS"": 1.486}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw3.0"", ""thr"": [""fpw"", 3.0], ""gate_rank120"": 0.3}"
