name,lift_med_corr_median,lift_med_corr_min,lift_pooled,lift_win_median_all,share_windows_lift_gt1,benefit_excess_med,fpw,n_events,clump_share,empty_month_share,longest_gap,sec,spec,per_corr_lift
ref_calendar25,1.2,0.9932659932659933,1.116080497594208,1.1727272727272728,0.6181818181818182,44.92541639808759,0.23020859755185955,330,0.0,0.0,32.0,0.6,"{""name"": ""ref_calendar25"", ""model"": ""calendar"", ""policy"": {""cooldown"": 1, ""cap"": 5, ""span"": 7}}","{""AMD"": 0.993, ""KGS"": 1.265, ""KZT"": 1.204, ""TJS"": 1.2, ""UZS"": 0.993}"
lr_exAll_gate0.2_fpw1.0,1.4338235294117647,1.1908700322234158,1.401715639054234,1.4338235294117647,0.6545454545454545,111.40685751406711,0.19515306336709173,280,0.558501221001221,0.724242424242424,136.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw1.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 1.0}","{""AMD"": 1.519, ""KGS"": 1.434, ""KZT"": 1.191, ""TJS"": 1.341, ""UZS"": 1.506}"
lr_exAll_gate0.2_fpw2.0,1.4644179350061703,1.2040816326530612,1.343258428495273,1.3916157372039724,0.7636363636363637,98.6105279504109,0.3343333042168017,479,0.6626587578507784,0.606060606060606,134.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw2.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.55, ""KGS"": 1.464, ""KZT"": 1.204, ""TJS"": 1.297, ""UZS"": 1.489}"
lr_exAll_gate0.2_fpw3.0,1.3527336860670194,1.2040816326530612,1.34416390152386,1.413095238095238,0.8,95.63840529272088,0.38613816522175887,553,0.6644034922673745,0.5636363636363636,132.0,1.1,"{""name"": ""lr_exAll_gate0.2_fpw3.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 3.0}","{""AMD"": 1.533, ""KGS"": 1.45, ""KZT"": 1.204, ""TJS"": 1.353, ""UZS"": 1.342}"
lr_exAll_gate0.3_fpw1.0,1.3432835820895523,1.1548325852079961,1.3032619716628335,1.3364145183175036,0.6545454545454545,101.53675039637977,0.23972327816310526,344,0.5884188184331927,0.6939393939393937,134.0,1.1,"{""name"": ""lr_exAll_gate0.3_fpw1.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.3, ""target_fpw"": 1.0}","{""AMD"": 1.518, ""KGS"": 1.343, ""KZT"": 1.155, ""TJS"": 1.174, ""UZS"": 1.553}"
lr_exAll_gate0.3_fpw2.0,1.3876658860265418,1.2626506024096387,1.273511211540154,1.303030303030303,0.7272727272727273,96.8108059760287,0.39766327235099763,570,0.6564807211186816,0.5545454545454545,118.0,1.1,"{""name"": ""lr_exAll_gate0.3_fpw2.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.3, ""target_fpw"": 2.0}","{""AMD"": 1.533, ""KGS"": 1.394, ""KZT"": 1.263, ""TJS"": 1.265, ""UZS"": 1.388}"
lr_exAll_gate0.3_fpw3.0,1.3586466165413533,1.2415752741774675,1.2601204858287798,1.3242753623188406,0.7454545454545455,83.261994602165,0.46268681474662743,663,0.6856241878500751,0.509090909090909,117.0,1.1,"{""name"": ""lr_exAll_gate0.3_fpw3.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.3, ""target_fpw"": 3.0}","{""AMD"": 1.544, ""KGS"": 1.415, ""KZT"": 1.246, ""TJS"": 1.242, ""UZS"": 1.359}"
lr_gate0.2_fpw2,1.1890836329395653,0.9403254972875227,1.2617004022243106,1.326530612244898,0.5818181818181818,91.7520151620588,0.32675862451264814,468,0.7078335313732631,0.6666666666666665,126.0,0.7,"{""name"": ""lr_gate0.2_fpw2"", ""model"": ""logreg"", ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.494, ""KGS"": 1.45, ""KZT"": 0.94, ""TJS"": 1.189, ""UZS"": 1.076}"
lr_gate0.2_fpw3,1.3106764265447666,1.1578282828282829,1.261099886282235,1.3627704099102405,0.6181818181818182,96.3589974189726,0.37288844952789224,534,0.7273108580553432,0.6212121212121213,119.0,0.6,"{""name"": ""lr_gate0.2_fpw3"", ""model"": ""logreg"", ""gate_rank120"": 0.2, ""target_fpw"": 3.0}","{""AMD"": 1.495, ""KGS"": 1.437, ""KZT"": 1.161, ""TJS"": 1.158, ""UZS"": 1.311}"
lr_localmin_exAll,1.191919191919192,1.1401515151515151,1.0708549796529447,1.191919191919192,0.6909090909090909,42.7863544033019,0.5625607457639645,806,0.5925247385147369,0.3151515151515151,66.0,1.0,"{""name"": ""lr_localmin_exAll"", ""model"": ""logreg"", ""target"": ""localmin20"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 1.192, ""KGS"": 1.192, ""KZT"": 1.219, ""TJS"": 1.171, ""UZS"": 1.14}"
