h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,split,corr,theta
20,25.0,13,13,0.3076923076923077,0.15254237288135594,2.017094017094017,,,0.6923076923076923,0.5338983050847458,1.2967032967032965,92.58235180165826,-2.594269522656172,95.17662132431444,,,,,,,102.94039238643725,36.241656491864305,0.5027624309392265,0.8333333333333334,1.7549928774784245,71.0,0.3333333333333333,0,TJS,0.49853575207383155
20,25.0,9,9,0.3333333333333333,0.13559322033898305,2.458333333333333,,,0.6666666666666666,0.5169491525423728,1.289617486338798,80.17089914578771,-12.978020395404887,93.1489195411926,,,,,,,112.57239653756727,73.07565052187942,0.34806629834254144,0.375,1.302413525626764,69.0,0.3333333333333333,0,UZS,0.49853575207383155
20,25.0,13,13,0.38461538461538464,0.1440677966101695,2.669683257918552,,,0.7692307692307693,0.5,1.5384615384615385,73.38253443812158,-8.151508733265231,81.53404317138681,,,,,,,110.66845854054077,28.352047765121036,0.5027624309392265,0.75,1.7019352408871473,91.0,0.3333333333333333,0,KGS,0.49853575207383155
20,25.0,4,4,0.5,0.1864406779661017,2.6818181818181817,,,1.0,0.5508474576271186,1.8153846153846154,380.46802968389693,43.40759409925216,337.0604355846448,,,,,,,250.59247489877202,81.03794658053192,0.15469613259668508,1.0,0.1767766952966369,147.0,0.8333333333333334,0,AMD,0.49853575207383155
20,25.0,24,24,0.25,0.15254237288135594,1.6388888888888888,,,0.5,0.4152542372881356,1.2040816326530612,20.78729010389311,-18.204220636461798,38.99151074035491,,,,,,,65.86612866698611,16.777473195756603,0.9281767955801105,0.782608695652174,1.331950858630774,39.0,0.0,0,KZT,0.49853575207383155
20,25.0,17,17,0.17647058823529413,0.17829457364341086,0.989769820971867,,,0.7058823529411765,0.5581395348837209,1.2647058823529413,70.60269069448873,33.342203091136966,37.26048760335176,,,,,,,77.00398841465868,25.237786406304366,0.6467391304347826,0.875,1.5125049530089851,49.0,0.16666666666666666,1,TJS,0.49450649037239536
20,25.0,13,13,0.23076923076923078,0.14728682170542637,1.5668016194331984,,,0.5384615384615384,0.5116279069767442,1.0524475524475523,19.71631424081145,10.345720517709584,9.370593723101866,,,,,,,71.78963640258726,-1.1895565836014943,0.4945652173913044,0.6666666666666666,1.3960924303476736,50.0,0.3333333333333333,1,UZS,0.49450649037239536
20,25.0,21,21,0.14285714285714285,0.16279069767441862,0.8775510204081631,,,0.6666666666666666,0.5348837209302325,1.2463768115942029,35.647623818788404,25.66914672872073,9.978477090067674,,,,,,,71.60128963095015,14.319063686698179,0.7989130434782609,0.8,1.0442454162684345,49.0,0.16666666666666666,1,KGS,0.49450649037239536
20,25.0,0,0,,0.13953488372093023,,,,,0.6589147286821705,,,51.49644441112181,,,,,,,,,,0.0,,,182.0,1.0,1,AMD,0.49450649037239536
20,25.0,19,19,0.2631578947368421,0.2248062015503876,1.1705989110707802,,,0.5789473684210527,0.5271317829457365,1.098297213622291,-1.963802223453076,10.733408670057983,-12.697210893511059,,,,,,,51.997837052811455,15.354627990580354,0.7228260869565217,0.7222222222222222,1.2216540276719232,50.0,0.16666666666666666,1,KZT,0.49450649037239536
20,25.0,1,1,0.0,0.1452991452991453,0.0,,,1.0,0.4700854700854701,2.1272727272727274,982.8794651316341,-53.00503542290707,1035.884500554541,,,,,,,709.3074396088972,1162.3453945990602,0.03867403314917127,0.0,,169.0,0.8333333333333334,2,TJS,0.5824979076264406
20,25.0,2,2,0.0,0.1111111111111111,0.0,,,1.0,0.41025641025641024,2.4375,650.0932838280605,-133.26289884507412,783.3561826731346,,,,,,,766.0333238302985,181.52466409625757,0.07734806629834254,1.0,0.0,165.0,0.8333333333333334,2,UZS,0.5824979076264406
20,25.0,1,1,1.0,0.10256410256410256,9.75,,,1.0,0.39316239316239315,2.5434782608695654,929.9534314764468,-134.33666686632213,1064.290098342769,,,,,,,887.899450745766,1604.691369986615,0.03867403314917127,0.0,,171.0,0.8333333333333334,2,KGS,0.5824979076264406
20,25.0,1,1,1.0,0.10256410256410256,9.75,,,1.0,0.42735042735042733,2.3400000000000003,1012.7911845900961,-7.685668238494408,1020.4768528285905,,,,,,,714.8038865969797,1995.2541952293811,0.03867403314917127,0.0,,171.0,0.8333333333333334,2,AMD,0.5824979076264406
20,25.0,0,0,,0.1111111111111111,,,,,0.38461538461538464,,,-253.47141149360772,,,,,,,,,,0.0,,,171.0,1.0,2,KZT,0.5824979076264406
20,25.0,0,0,,0.2846153846153846,,,,,0.6230769230769231,,,163.51128752215095,,,,,,,,,,0.0,,,182.0,1.0,3,TJS,0.5254986664568286
20,25.0,3,3,0.6666666666666666,0.25384615384615383,2.6262626262626263,,,1.0,0.5307692307692308,1.8840579710144927,680.888556029755,116.21310466761958,564.6754513621354,,,,,,,481.9413298158277,445.79810720657525,0.1141304347826087,0.0,0.8245614035087719,91.0,0.6666666666666666,3,UZS,0.5254986664568286
20,25.0,4,4,0.5,0.2846153846153846,1.7567567567567568,,,1.0,0.5769230769230769,1.7333333333333334,567.0258340417827,92.68431984896502,474.34151419281767,,,,,,,498.0821425238463,322.4975955754364,0.15217391304347827,0.3333333333333333,1.2123013471134223,91.0,0.6666666666666666,3,KGS,0.5254986664568286
20,25.0,0,0,,0.26153846153846155,,,,,0.6692307692307692,,,176.90563882369997,,,,,,,,,,0.0,,,182.0,1.0,3,AMD,0.5254986664568286
20,25.0,5,5,0.6,0.2,2.9999999999999996,,,1.0,0.6461538461538462,1.5476190476190474,464.27818785456856,165.82739028859348,298.4507975659751,,,,,,,398.48197863169736,332.01463496766183,0.19021739130434784,0.75,1.1981467170407618,91.0,0.6666666666666666,3,KZT,0.5254986664568286
20,25.0,0,0,,0.4915254237288136,,,,,0.7627118644067796,,,194.18642689935936,,,,,,,,,,0.0,,,172.0,1.0,4,TJS,0.36117530918404694
20,25.0,0,0,,0.5,,,,,0.8389830508474576,,,230.9240759258275,,,,,,,,,,0.0,,,172.0,1.0,4,UZS,0.36117530918404694
20,25.0,0,0,,0.5508474576271186,,,,,0.8389830508474576,,,231.7318649254994,,,,,,,,,,0.0,,,172.0,1.0,4,KGS,0.36117530918404694
20,25.0,0,0,,0.559322033898305,,,,,0.8389830508474576,,,274.3772909876495,,,,,,,,,,0.0,,,172.0,1.0,4,AMD,0.36117530918404694
20,25.0,0,0,,0.4830508474576271,,,,,0.8050847457627118,,,290.11536164792756,,,,,,,,,,0.0,,,172.0,1.0,4,KZT,0.36117530918404694
