,вес,знак,стаб.знака,доля_пушей_топ,доля_вклада,семейство
rank250,0.10823592339499805,1.0,1.0,0.11754385964912281,0.03905092743658899,уровень (ранг)
usd_rank120,0.08714353111253338,-1.0,1.0,0.2596491228070175,0.14067084187190412,USD-контекст
rank60,0.058858301601784915,-0.8181818181818182,0.9090909090909091,0.03333333333333333,0.06768825649952492,уровень (ранг)
sin2,0.05220301201199087,0.6363636363636364,0.8181818181818182,0.005263157894736842,0.03908519837427864,сезонность
local_rank120,0.0479746616785482,1.0,1.0,0.19473684210526315,0.09073173018333304,USD-контекст
dip_ma60,0.045533474760278775,-1.0,1.0,0.21228070175438596,0.10810951403703278,отклонение от тренда
usd_vol20,0.04545760704212698,-1.0,1.0,0.05789473684210526,0.046611289203719264,USD-контекст
vol_ratio,0.03626454687409655,0.8181818181818182,0.9090909090909091,0.04912280701754386,0.027788403465395923,волатильность
local_z60,0.03488826397883217,1.0,1.0,0.010526315789473684,0.04466452081999582,USD-контекст
rank120,0.034574065461849,1.0,1.0,0.0,1.2239108839803563e-05,уровень (ранг)
dom,0.03394193874978471,1.0,1.0,0.0017543859649122807,0.032053245639137806,календарь
from25,0.03378676191729669,-1.0,1.0,0.0,0.0,календарь
eurusd_rank120,0.03019978000913269,0.8181818181818182,0.9090909090909091,0.0035087719298245615,0.046973083138250896,корзина EUR/CNY
rsi14,0.027397017094649513,-1.0,1.0,0.007017543859649123,0.04788757364812319,"техника (RSI, z, MACD)"
ret5,0.02565395662895279,-1.0,1.0,0.007017543859649123,0.04093810206207491,моментум / серия
dist_min60,0.025153339731893452,0.2727272727272727,0.6363636363636364,0.0,0.010280868338808674,отклонение от тренда
ma20_slope,0.023828036951616612,1.0,1.0,0.0,0.0073156810432704915,отклонение от тренда
z20,0.020934109296702464,0.8181818181818182,0.9090909090909091,0.0,0.010803111934110158,"техника (RSI, z, MACD)"
usd_ret20,0.020213282951935217,0.09090909090909091,0.5454545454545454,0.0,0.01666517618265544,USD-контекст
cos1,0.019950071094122987,-0.6363636363636364,0.8181818181818182,0.0,0.016328666120669275,сезонность
dd_max120,0.01979707140761787,-1.0,1.0,0.03508771929824561,0.04531351022257846,отклонение от тренда
macd,0.019569079307159135,1.0,1.0,0.0,0.002134584062030056,"техника (RSI, z, MACD)"
z60,0.01739687180473637,-0.6363636363636364,0.8181818181818182,0.0035087719298245615,0.019624351577472377,"техника (RSI, z, MACD)"
cny_ret5,0.015182795020204113,0.2727272727272727,0.6363636363636364,0.0,0.011801564655497752,корзина EUR/CNY
sin1,0.012345386912293954,-0.09090909090909091,0.5454545454545454,0.0,0.003403568320812768,сезонность
eurusd_ret5,0.011907631130954706,-0.45454545454545453,0.7272727272727273,0.0,0.01276234466214837,корзина EUR/CNY
down_streak,0.010373846202314229,-1.0,1.0,0.0,0.005183231200683681,моментум / серия
atr_rank,0.0098908695015027,0.8181818181818182,0.9090909090909091,0.0,0.005424704639101876,волатильность
cos2,0.009760548253777982,-0.2727272727272727,0.6363636363636364,0.0,0.0058123360609671345,сезонность
vol60,0.008944839236492549,-0.2727272727272727,0.6363636363636364,0.0,0.0024721481214262857,волатильность
local_ret20,0.007587077111020013,-1.0,1.0,0.0,0.007574566032132495,USD-контекст
eur_ret5,0.007508342012047705,1.0,1.0,0.0,0.003672600006035927,корзина EUR/CNY
usdcny_ret5,0.0069630373873890185,-1.0,1.0,0.0017543859649122807,0.012501374134816402,USD-контекст
usd_ret5,0.0067458466347355564,-0.8181818181818182,0.9090909090909091,0.0,0.008761290961097049,USD-контекст
ret20,0.006580020799087452,0.6363636363636364,0.8181818181818182,0.0,0.004662501033657805,моментум / серия
vol20,0.006144411159502655,-0.8181818181818182,0.9090909090909091,0.0,0.0030903437117149124,волатильность
local_ret5,0.004282421821687582,1.0,1.0,0.0,0.007281305545386232,USD-контекст
up_streak,0.0038922373779960158,-0.09090909090909091,0.5454545454545454,0.0,0.002065226165756329,моментум / серия
dow,0.0029359845763544568,1.0,1.0,0.0,0.0028000197789699605,календарь
