corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,momentum,0,2021-01…2021-06,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,0,2021-01…2021-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,0,2021-01…2021-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,0,2021-01…2021-06,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,0,2021-01…2021-06,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,0,2021-01…2021-06,"{""threshold"": 0.4359, ""_fitted"": true}",,,True
TJS,momentum,1,2021-07…2021-12,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,1,2021-07…2021-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,1,2021-07…2021-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,1,2021-07…2021-12,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,1,2021-07…2021-12,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,1,2021-07…2021-12,"{""threshold"": 0.0529, ""_fitted"": true}",,,True
TJS,momentum,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,2,2022-01…2022-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,2,2022-01…2022-06,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,2,2022-01…2022-06,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,2,2022-01…2022-06,"{""threshold"": 0.0004, ""_fitted"": true}",,,True
TJS,momentum,3,2022-07…2022-12,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,3,2022-07…2022-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
