date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2021-01-12,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.08333333333333348,medium,0,0.141933,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.09166666666666666, ""window"": 120.0, ""days_since_min"": 12.0}",sent,BUY_NOW
2021-01-20,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.41666666666666674,medium,0,0.140486,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.058333333333333334, ""window"": 120.0, ""days_since_min"": 18.0}",sent,BUY_NOW
2021-02-08,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,0,0.141921,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -3.0647232391672663}",sent,BUY_NOW
2021-02-10,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.16666666666666674,medium,0,0.140927,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.08333333333333333, ""window"": 120.0, ""days_since_min"": 33.0}",cooldown,
2021-02-11,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.875,fast,0,0.140746,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 7.0, ""drop_pct"": -3.8672750122944133}",cooldown,
2021-02-18,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.0,medium,0,0.140704,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.1, ""window"": 120.0, ""days_since_min"": 39.0}",sent,BUY_NOW
2021-02-26,AMD,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.141047,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""rise_pct"": 1.2141652613828047, ""min_rate"": 0.139355, ""days_since_min"": 1.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-03-01,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.2500000000000001,medium,0,0.140236,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.075, ""window"": 120.0, ""days_since_min"": 2.0}",cooldown,
2021-03-05,AMD,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.141807,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""rise_pct"": 1.7595350005381816, ""min_rate"": 0.139355, ""days_since_min"": 6.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-03-11,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.8333333333333334,medium,0,0.139402,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.016666666666666666, ""window"": 120.0, ""days_since_min"": 9.0}",cooldown,
