corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,13,10,0,0.5027624309392265,0.0,0.7696773441026022,41.0,0.16666666666666666
AMD,1,2021-07…2021-12,6,0,0,0.2282608695652174,0.0,0.5528334084522117,54.0,0.16666666666666666
AMD,2,2022-01…2022-06,15,23,1,0.580110497237569,0.0,1.00508855188506,48.0,0.16666666666666666
AMD,3,2022-07…2022-12,5,0,0,0.19021739130434784,0.0,0.7084986597800411,67.0,0.5
AMD,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.809007002545717,113.0,0.5
AMD,5,2023-07…2023-12,12,0,0,0.4565217391304348,0.0,0.7511324783285568,35.0,0.0
AMD,6,2024-01…2024-06,9,6,2,0.34615384615384615,0.0,1.12765461834358,77.0,0.3333333333333333
AMD,7,2024-07…2024-12,6,11,0,0.2282608695652174,0.0,1.4395821341783073,120.0,0.5
AMD,8,2025-01…2025-06,20,0,0,0.7734806629834254,0.0,0.47772753109312716,23.0,0.0
AMD,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.7442147613125769,38.0,0.3333333333333333
AMD,10,2026-01…2026-06,14,5,1,0.5414364640883977,0.0,0.6093749818303387,35.0,0.0
KGS,0,2021-01…2021-06,12,0,0,0.46408839779005523,0.0,0.72356458341408,46.0,0.0
KGS,1,2021-07…2021-12,11,0,0,0.41847826086956524,0.0,0.9180277786409787,46.0,0.16666666666666666
KGS,2,2022-01…2022-06,13,35,9,0.5027624309392265,0.0,1.019472437803058,50.0,0.16666666666666666
KGS,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,1.1569436107773439,67.0,0.3333333333333333
KGS,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.9325780004077858,103.0,0.5
KGS,5,2023-07…2023-12,13,0,0,0.4945652173913044,0.0,0.6719674064579682,37.0,0.0
KGS,6,2024-01…2024-06,7,7,3,0.2692307692307692,0.0,0.7353096436936235,58.0,0.16666666666666666
KGS,7,2024-07…2024-12,4,11,0,0.15217391304347827,0.0,1.0105911655212725,124.0,0.5
KGS,8,2025-01…2025-06,21,0,0,0.8121546961325967,0.0,0.14702294681604014,33.0,0.16666666666666666
KGS,9,2025-07…2025-12,12,0,0,0.4565217391304348,0.0,0.8790692504793906,42.0,0.16666666666666666
KGS,10,2026-01…2026-06,16,2,0,0.6187845303867403,0.0,0.5513731455910892,29.0,0.0
KZT,0,2021-01…2021-06,13,0,0,0.5027624309392265,0.0,0.8645205800519346,39.0,0.16666666666666666
KZT,1,2021-07…2021-12,9,0,0,0.3423913043478261,0.0,0.7675806476967174,36.0,0.16666666666666666
KZT,2,2022-01…2022-06,13,31,4,0.5027624309392265,0.0,1.369885370565378,67.0,0.3333333333333333
KZT,3,2022-07…2022-12,10,0,0,0.3804347826086957,0.0,0.7183921478597249,39.0,0.16666666666666666
KZT,4,2023-01…2023-06,5,0,0,0.19337016574585636,0.0,0.5646850139883395,56.0,0.3333333333333333
KZT,5,2023-07…2023-12,10,3,0,0.3804347826086957,0.0,0.5942759227525878,37.0,0.16666666666666666
KZT,6,2024-01…2024-06,8,6,1,0.3076923076923077,0.0,1.3510906025084168,94.0,0.3333333333333333
KZT,7,2024-07…2024-12,8,21,3,0.30434782608695654,0.0,1.4991750273658104,92.0,0.3333333333333333
KZT,8,2025-01…2025-06,16,0,0,0.6187845303867403,0.0,0.36885555678165877,21.0,0.0
KZT,9,2025-07…2025-12,8,0,0,0.30434782608695654,0.0,0.7135825109964509,50.0,0.3333333333333333
KZT,10,2026-01…2026-06,7,7,0,0.27071823204419887,0.0,0.8640749801154747,58.0,0.3333333333333333
TJS,0,2021-01…2021-06,14,0,0,0.5414364640883977,0.0,0.9883620309037735,55.0,0.16666666666666666
TJS,1,2021-07…2021-12,12,0,0,0.4565217391304348,0.0,0.9412843597767606,46.0,0.16666666666666666
TJS,2,2022-01…2022-06,13,30,2,0.5027624309392265,0.0,1.1555132921009237,57.0,0.3333333333333333
TJS,3,2022-07…2022-12,5,0,0,0.19021739130434784,0.0,0.7520388210823941,67.0,0.5
TJS,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,115.0,0.8333333333333334
TJS,5,2023-07…2023-12,12,0,0,0.4565217391304348,0.0,0.7335569966587047,38.0,0.0
TJS,6,2024-01…2024-06,5,7,2,0.19230769230769232,0.0,1.2977097453884476,124.0,0.5
TJS,7,2024-07…2024-12,6,11,1,0.2282608695652174,0.0,1.4385983516573706,123.0,0.5
TJS,8,2025-01…2025-06,11,0,0,0.42541436464088395,0.0,1.2390889897985449,67.0,0.3333333333333333
TJS,9,2025-07…2025-12,2,0,0,0.07608695652173914,0.0,0.0,155.0,0.6666666666666666
TJS,10,2026-01…2026-06,16,6,1,0.6187845303867403,0.0,0.8037975708966928,39.0,0.0
UZS,0,2021-01…2021-06,16,0,0,0.6187845303867403,0.0,0.8816550856095007,47.0,0.16666666666666666
UZS,1,2021-07…2021-12,12,0,0,0.4565217391304348,0.0,0.7503851705186739,35.0,0.0
UZS,2,2022-01…2022-06,14,25,4,0.5414364640883977,0.0,1.117246604610058,55.0,0.3333333333333333
UZS,3,2022-07…2022-12,6,0,0,0.2282608695652174,0.0,0.6403967712999169,74.0,0.3333333333333333
UZS,4,2023-01…2023-06,1,0,0,0.03867403314917127,0.0,,116.0,0.8333333333333334
UZS,5,2023-07…2023-12,13,0,0,0.4945652173913044,0.0,0.6051686235458678,45.0,0.16666666666666666
UZS,6,2024-01…2024-06,7,7,3,0.2692307692307692,0.0,1.5267699657310403,113.0,0.5
UZS,7,2024-07…2024-12,3,11,1,0.1141304347826087,0.0,0.0,144.0,0.6666666666666666
UZS,8,2025-01…2025-06,17,0,0,0.6574585635359116,0.0,0.08463771111606228,35.0,0.16666666666666666
UZS,9,2025-07…2025-12,3,0,0,0.1141304347826087,0.0,0.16666666666666666,159.0,0.8333333333333334
UZS,10,2026-01…2026-06,12,0,0,0.46408839779005523,0.0,1.1529079216920477,60.0,0.16666666666666666
