corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2019-01…2019-06,22,0,0,0.8508287292817679,0.0,0.41859672034753725,26.0,0.0
AMD,1,2019-07…2019-12,22,0,0,0.8369565217391305,0.0,0.368428615840863,14.0,0.0
AMD,2,2020-01…2020-06,10,41,0,0.38461538461538464,0.0,1.1129957519162328,74.0,0.16666666666666666
AMD,3,2020-07…2020-12,11,0,0,0.41847826086956524,0.0,1.5601536828654428,92.0,0.3333333333333333
AMD,4,2021-01…2021-06,12,10,0,0.46408839779005523,0.0,0.6884675017853261,36.0,0.0
AMD,5,2021-07…2021-12,7,0,0,0.266304347826087,0.0,0.7028180691877384,61.0,0.3333333333333333
AMD,6,2022-01…2022-06,12,23,0,0.46408839779005523,0.0,0.18243909577894493,87.0,0.5
AMD,7,2022-07…2022-12,2,0,0,0.07608695652173914,0.0,0.0,91.0,0.6666666666666666
AMD,8,2023-01…2023-06,1,0,0,0.03867403314917127,0.0,,168.0,0.8333333333333334
AMD,9,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.3253160321349824,72.0,0.3333333333333333
AMD,10,2024-01…2024-06,7,6,5,0.2692307692307692,0.0,1.571916014369928,123.0,0.5
AMD,11,2024-07…2024-12,6,11,6,0.2282608695652174,0.0,0.9957536963169222,80.0,0.3333333333333333
AMD,12,2025-01…2025-06,22,0,0,0.8508287292817679,0.0,0.19518001458970663,14.0,0.0
AMD,13,2025-07…2025-12,14,0,0,0.532608695652174,0.0,1.1959661771980692,68.0,0.16666666666666666
AMD,14,2026-01…2026-06,16,5,0,0.6187845303867403,0.0,0.8251865440988454,42.0,0.0
KGS,0,2019-01…2019-06,23,0,0,0.8895027624309392,0.0,0.29558830995083657,21.0,0.0
KGS,1,2019-07…2019-12,23,0,0,0.875,0.0,0.6789237807000134,30.0,0.0
KGS,2,2020-01…2020-06,10,45,9,0.38461538461538464,0.0,1.2663112416062423,79.0,0.16666666666666666
KGS,3,2020-07…2020-12,15,0,0,0.5706521739130435,0.0,1.5088759237966212,82.0,0.3333333333333333
KGS,4,2021-01…2021-06,23,0,0,0.8895027624309392,0.0,0.17677669529663687,11.0,0.0
KGS,5,2021-07…2021-12,13,0,0,0.4945652173913044,0.0,0.8407073438386116,42.0,0.3333333333333333
KGS,6,2022-01…2022-06,14,35,9,0.5414364640883977,0.0,1.0742446127102903,49.0,0.16666666666666666
KGS,7,2022-07…2022-12,23,0,0,0.875,0.0,0.30199337741083,17.0,0.0
KGS,8,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,105.0,0.6666666666666666
KGS,9,2023-07…2023-12,10,0,0,0.3804347826086957,0.0,1.5157340497661198,88.0,0.3333333333333333
KGS,10,2024-01…2024-06,5,7,3,0.19230769230769232,0.0,1.3323467750529827,130.0,0.5
KGS,11,2024-07…2024-12,3,11,0,0.1141304347826087,0.0,0.8727272727272727,143.0,0.5
KGS,12,2025-01…2025-06,21,0,0,0.8121546961325967,0.0,0.22404419032147013,18.0,0.0
KGS,13,2025-07…2025-12,9,0,0,0.3423913043478261,0.0,1.7264034146166416,126.0,0.5
KGS,14,2026-01…2026-06,17,2,1,0.6574585635359116,0.0,0.9453122039285872,46.0,0.16666666666666666
KZT,0,2019-01…2019-06,23,0,0,0.8895027624309392,0.0,0.2834733547569205,21.0,0.0
