corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,15,121,0.5206611570247934,0.5009552278966785,1.1700000000000002,0.9824561403508771,26.148944242646813,-7.350406415558286,0.3423913043478261,1.0393367072160375
AMD,WINDOW_CLOSING,13,54,0.5925925925925926,0.42413983439445685,1.1470588235294117,1.1470588235294117,31.543363865812772,49.36855941092471,0.11602209944751381,1.3971632573456232
KGS,BUY_NOW,15,178,0.48314606741573035,0.480788861309593,1.0,1.0693301997649824,18.30135643175116,18.560631588312635,0.3804347826086957,1.004902788512439
KGS,WINDOW_CLOSING,7,33,0.48484848484848486,0.41738326648903984,0.963265306122449,0.963265306122449,15.504509889131018,5.14200565793363,0.19021739130434784,1.1616385317191833
KZT,BUY_NOW,15,198,0.4797979797979798,0.4782488245027139,1.0175438596491226,1.0693877551020408,10.667987839138291,15.83492765489398,0.580110497237569,1.003239224470393
KZT,WINDOW_CLOSING,7,26,0.46153846153846156,0.4179780892109661,1.048888888888889,1.048888888888889,33.092798469468136,4.725683313907545,0.11602209944751381,1.10421687990805
TJS,BUY_NOW,15,120,0.475,0.5161188091521826,0.8784313725490197,0.37500000000000006,2.2657763655091543,-19.98742140422319,0.30434782608695654,0.920330729237077
TJS,WINDOW_CLOSING,8,37,0.43243243243243246,0.41261535868840266,1.073888888888889,1.073888888888889,2.664618626793926,-40.249000090383596,0.1331521739130435,1.0480279595190618
UZS,BUY_NOW,15,158,0.47468354430379744,0.46248223294343577,1.0355731225296443,1.2000000000000002,10.640635058918534,17.44792340702953,0.38461538461538464,1.0263822272321843
UZS,WINDOW_CLOSING,3,18,0.3333333333333333,0.32488685094940106,1.04,1.04,-0.9626569986668443,-69.63192517936048,0.19337016574585636,1.0259982278730257
