indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,AMD,15,2,135,1.0564516129032258,1.3705692803437164,0.5384615384615384,0.3076923076923077,0.4888888888888889,0.43515775134442225,52.402200530285924,29.967178800780367,150.38157704973966,0.3867403314917127,0.6,1.1234750785857863
dip_vs_trend,KGS,15,2,140,1.3176470588235296,1.4395604395604396,0.5384615384615384,0.3076923076923077,0.4785714285714286,0.4107552102086991,84.30445680265501,57.84878029493296,228.13024123503132,0.3804347826086957,0.5777777777777777,1.1651012979927218
dip_vs_trend,KZT,15,3,163,1.0416666666666665,1.1473425977896916,0.4166666666666667,0.4166666666666667,0.4171779141104294,0.38672650711915935,20.74758259366788,23.247316613411787,81.55512655054454,0.41847826086956524,0.5333333333333333,1.0787414527597594
dip_vs_trend,TJS,15,2,157,1.037037037037037,1.1574279379157428,0.46153846153846156,0.38461538461538464,0.4840764331210191,0.4652878491430676,38.864244909918895,10.825151717948716,126.49530520276197,0.3804347826086957,0.5666666666666667,1.0403805601469176
dip_vs_trend,UZS,15,2,120,1.2129629629629628,1.4385245901639343,0.6153846153846154,0.23076923076923078,0.4666666666666667,0.385167886576863,99.8905540424403,110.72880371048713,161.50976507603275,0.2692307692307692,0.6444444444444444,1.211592873990911
level,AMD,15,2,198,0.9390681003584229,1.1025641025641026,0.38461538461538464,0.38461538461538464,0.5252525252525253,0.4477585158527098,47.41420487474804,33.079313739454115,103.9010827911467,0.42541436464088395,0.5111111111111111,1.1730709895092362
level,KGS,15,2,181,1.231578947368421,1.0968749999999998,0.23076923076923078,0.23076923076923078,0.44751381215469616,0.4205640231162824,54.111249833181915,41.91110698004456,68.46268386178139,0.3867403314917127,0.43333333333333335,1.0640801104162978
level,KZT,15,1,220,1.2634920634920634,1.1087662337662336,0.35714285714285715,0.2857142857142857,0.4318181818181818,0.38971322886068305,28.90304792015123,34.29903690288054,96.8778317450069,0.41847826086956524,0.4666666666666667,1.1080408614318573
level,TJS,15,4,150,1.1696428571428572,1.0895660203139428,0.36363636363636365,0.2727272727272727,0.52,0.4489425588770712,46.32980657080955,24.935140357125594,105.67247915767243,0.30434782608695654,0.5666666666666667,1.1582773557950554
level,UZS,15,1,188,0.9577357802625182,1.0888213680045222,0.35714285714285715,0.35714285714285715,0.425531914893617,0.38476482244422566,24.334433395636683,26.773473571491696,96.7815235278265,0.4230769230769231,0.4666666666666667,1.1059532734578428
ml_localmin,AMD,15,4,51,1.4086021505376343,1.5411764705882354,0.6363636363636364,0.18181818181818182,0.5294117647058824,0.374532024813063,65.00503815249685,29.846332452730394,192.97696062405947,0.07608695652173914,0.7555555555555556,1.413528696164562
ml_localmin,KGS,15,2,83,1.336734693877551,1.4395604395604396,0.6153846153846154,0.3076923076923077,0.5060240963855421,0.3988636112683663,64.64967792807514,42.03973764160559,167.1609588151189,0.19230769230769232,0.5777777777777777,1.2686644810149788
ml_localmin,KZT,15,2,93,0.0,1.254826254826255,0.46153846153846156,0.23076923076923078,0.4731182795698925,0.39913209487937173,69.88932283075204,104.60481106018325,145.1296844994802,0.2282608695652174,0.5777777777777777,1.185367665591717
ml_localmin,TJS,15,3,76,0.409375,1.069310122501612,0.25,0.5,0.47368421052631576,0.475529996785527,14.868052161554917,15.07960515581019,123.57625542577881,0.11538461538461539,0.6777777777777777,0.9961184651406045
ml_localmin,UZS,15,2,86,0.0,1.1268817204301076,0.46153846153846156,0.38461538461538464,0.37209302325581395,0.3625351473034786,38.50590363460185,-37.81460914854623,108.4926188572019,0.15217391304347827,0.5666666666666667,1.0263639981486663
momentum,AMD,15,0,255,0.8337468982630273,0.9833333333333334,0.06666666666666667,0.6,0.47843137254901963,0.5148625649392902,-22.599897839250527,-13.45277189826934,45.19136257572712,0.6538461538461539,0.02222222222222222,0.9292409375411352
