indicator,corridor,window,windows,events,lift_mean_pooled,benefit_excess_pooled_bps,freq_per_week_median
dip_vs_trend,AMD,all,4,48,1.1624768148131959,-1.1151211817616538,0.47554347826086957
dip_vs_trend,KGS,all,4,54,1.4131006113091773,77.77727360009979,0.5016999575010624
dip_vs_trend,KZT,all,4,31,1.5619550134479983,56.798859899876575,0.36141304347826086
dip_vs_trend,TJS,all,4,53,1.151976781124556,16.40836341525913,0.4375
dip_vs_trend,UZS,all,4,33,1.4591404218704211,22.314013086644273,0.28920526986825323
level,AMD,all,4,60,1.025000988066788,-12.45360530180873,0.5516304347826086
level,KGS,all,4,66,1.2711828707634136,60.419798112968124,0.6657608695652174
level,KZT,all,4,63,1.1302727181926175,18.617095994064947,0.4057586060348491
level,TJS,all,4,58,1.198043145274689,18.27481246791101,0.6086956521739131
level,UZS,all,4,67,1.1595859675330393,16.397898275965783,0.5975558491472495
ml_localmin,AMD,all,4,10,1.1012672479577668,-3.236377130973429,0.0953177257525083
ml_localmin,KGS,all,4,20,1.1554878849132386,83.9035691872803,0.2100752508361204
ml_localmin,KZT,all,4,37,1.3158880046183663,24.685153546372824,0.3047658862876254
ml_localmin,TJS,all,4,23,1.016418427433322,-2.7459382064128715,0.2098662207357859
ml_localmin,UZS,all,4,27,1.2598526489994577,37.356898568849026,0.2117613499879894
momentum,AMD,all,4,69,0.7986942716707073,-43.15101209610107,0.7038043478260869
momentum,KGS,all,4,63,1.0116762140605562,-5.373054367699618,0.5896739130434783
momentum,KZT,all,4,86,0.9812579192143278,2.106048968192526,0.7798913043478262
momentum,TJS,all,4,86,0.9243736093336629,-23.74752248344474,0.8293667658308542
momentum,UZS,all,4,89,0.8767516941441181,-33.26173812726315,0.9015883977900552
reversal,AMD,all,4,37,1.534482450026567,37.31195183576584,0.3635033444816054
reversal,KGS,all,4,55,1.402421428812745,43.380894563654955,0.5208244793880152
reversal,KZT,all,4,40,1.4741807542093726,55.38245624025137,0.2301525342301225
reversal,TJS,all,4,67,1.2963629553034148,21.292145159967767,0.5980662983425414
reversal,UZS,all,4,47,1.1395931631409555,10.648627162834394,0.43833612040133774
seasonality,AMD,all,4,12,0.7656288968550928,-26.007132314440188,0.11570335741606455
seasonality,KGS,all,4,12,1.2929548307696985,38.7485633123324,0.114757525083612
seasonality,KZT,all,4,12,0.9990138715403327,30.832974591531563,0.0955267558528428
seasonality,TJS,all,4,10,1.0316061020433893,-12.402462459843514,0.09605452798462644
seasonality,UZS,all,4,8,1.206414734836456,44.031528092747465,0.0767175114100408
dip_vs_trend,all,all,4,219,1.3207308819395134,34.306928344497706,0.4184782608695652
level,all,all,4,314,1.157144426768469,20.929827110197483,0.6086956521739131
ml_localmin,all,all,4,117,1.1870068946157308,29.9533160364367,0.153010033444816
momentum,all,all,4,393,0.9176265388098747,-20.705810878967327,0.7478380975258228
reversal,all,all,4,246,1.381683928912008,32.149792158152316,0.45903010033444813
seasonality,all,all,4,54,1.0414225845596226,13.909638281789444,0.1141304347826087
dip_vs_trend,all,2019-01…2019-06,1,76,1.6141289804656145,59.565779690727425,0.6187845303867403
dip_vs_trend,all,2019-07…2019-12,1,56,1.2618904274533413,2.208702538479297,0.4565217391304348
dip_vs_trend,all,2020-01…2020-06,1,30,1.5297560975609756,77.33735697591503,0.3076923076923077
dip_vs_trend,all,2020-07…2020-12,1,57,0.9652314068616163,9.515964903814432,0.4184782608695652
level,all,2019-01…2019-06,1,113,1.1841128433556052,19.882575860558813,0.9281767955801103
level,all,2019-07…2019-12,1,131,1.208670374115268,27.656591655987825,0.8369565217391305
level,all,2020-01…2020-06,1,26,1.5110631408526713,106.98717406079926,0.1923076923076923
level,all,2020-07…2020-12,1,44,0.7524183796856106,-47.2601225490073,0.3804347826086957
ml_localmin,all,2019-01…2019-06,1,28,1.0038461538461538,4.008009205446917,0.0
ml_localmin,all,2019-07…2019-12,1,55,1.3272950568007371,31.63389889934304,0.4565217391304348
ml_localmin,all,2020-01…2020-06,1,11,1.5754475703324808,154.86630471072377,0.0769230769230769
ml_localmin,all,2020-07…2020-12,1,23,0.8392545136866627,-2.220872729184707,0.1521739130434782
momentum,all,2019-01…2019-06,1,118,1.015502462155754,7.7315509001943425,0.9281767955801103
momentum,all,2019-07…2019-12,1,104,0.8392056374119152,-20.724403225512212,0.7608695652173914
momentum,all,2020-01…2020-06,1,75,0.8444280985656492,-100.50214689279713,0.6538461538461539
momentum,all,2020-07…2020-12,1,96,0.9634883110060416,6.700961153707946,0.6847826086956522
reversal,all,2019-01…2019-06,1,75,1.2550977944236374,11.965526994231698,0.580110497237569
reversal,all,2019-07…2019-12,1,92,1.495506436725771,27.629094974720637,0.7228260869565217
reversal,all,2020-01…2020-06,1,44,1.6335823550337956,87.07767333561152,0.3846153846153846
reversal,all,2020-07…2020-12,1,35,1.0261096605744124,18.232570911339636,0.2282608695652174
seasonality,all,2019-01…2019-06,1,17,1.459119496855346,61.81795544991869,0.1160220994475138
seasonality,all,2019-07…2019-12,1,18,0.9812734082397004,52.0616766768722,0.1521739130434782
seasonality,all,2020-01…2020-06,1,9,0.676737160120846,-137.70646505821543,0.0769230769230769
seasonality,all,2020-07…2020-12,1,10,1.0051150895140666,0.24632299082511508,0.0760869565217391
