scenario,corridor,window,windows,events,lift_mean_pooled,benefit_excess_pooled_bps,freq_per_week_median
BUY_NOW,AMD,all,4,52,0.8156291535219251,-44.63806367650953,0.5135869565217391
BUY_NOW,KGS,all,4,51,0.8957419912055272,-1.3532779320735646,0.47554347826086957
BUY_NOW,KZT,all,4,48,1.0299928830447012,3.0341738201818944,0.4755434782608696
BUY_NOW,TJS,all,4,54,0.9882788211170479,-21.10772788503854,0.5547658862876255
BUY_NOW,UZS,all,4,62,0.9981875978307477,-6.757813716724356,0.6171908202294942
WINDOW_CLOSING,AMD,all,4,13,1.7449136783019896,61.549478182286734,0.134098006245496
WINDOW_CLOSING,KGS,all,4,20,1.552280188933669,66.02234779600323,0.1724567619505164
WINDOW_CLOSING,KZT,all,4,16,1.2571202713447283,40.658769041803346,0.11580960475988095
WINDOW_CLOSING,TJS,all,3,21,1.0206706631068125,11.392294713168647,0.2707182320441988
WINDOW_CLOSING,UZS,all,1,8,1.1153846153846156,-0.9626569986668444,0.3093922651933701
BUY_NOW,all,all,4,267,0.9438272374403137,-14.244786136983175,0.5737876254180602
WINDOW_CLOSING,all,all,4,78,1.3664188822883923,38.49573602494682,0.15427114322141938
BUY_NOW,all,2019-01…2019-06,1,91,0.9972118959107809,4.055493436620606,0.7348066298342542
BUY_NOW,all,2019-07…2019-12,1,88,0.9560207413097754,-7.489137834251618,0.6847826086956522
BUY_NOW,all,2020-01…2020-06,1,47,1.024390243902439,-42.12958891088262,0.2692307692307692
BUY_NOW,all,2020-07…2020-12,1,41,0.7443181818181818,-37.39690227027701,0.3043478260869565
WINDOW_CLOSING,all,2019-01…2019-06,1,26,1.1372549019607845,4.279321327246381,0.154696132596685
WINDOW_CLOSING,all,2019-07…2019-12,1,30,1.5574636723910174,33.60746784895996,0.3043478260869565
WINDOW_CLOSING,all,2020-01…2020-06,1,9,1.6941176470588235,148.63710147454427,0.1153846153846153
WINDOW_CLOSING,all,2020-07…2020-12,1,13,1.0575176589303734,41.957469745980696,0.11413043478260865
