column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,0,0.0
n_scored,6600,0,0.0
hit_rate,6600,0,0.0
base_rate,6600,0,0.0
lift,6600,0,0.0
lift_ci_lo,6600,0,0.0
lift_ci_hi,6600,0,0.0
hit_mean,6600,0,0.0
base_mean,6600,0,0.0
lift_mean,6600,0,0.0
benefit_fwd_bps,6600,0,0.0
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,0,0.0
benefit_excess_ci_lo,6600,0,0.0
benefit_excess_ci_hi,6600,0,0.0
benefit_fwd_ci_lo,6600,0,0.0
benefit_fwd_ci_hi,6600,0,0.0
benefit_fwd_block_ci_lo,6600,0,0.0
benefit_fwd_block_ci_hi,6600,0,0.0
benefit_sym_bps,6600,0,0.0
vs_wait5_bps,6600,0,0.0
freq_per_week,6600,0,0.0
clump_share_series,6600,0,0.0
clump_cv_gaps,6600,0,0.0
longest_gap_days,6600,0,0.0
empty_month_share,6600,0,0.0
hit_mean_trunc,6600,0,0.0
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,0,0.0
lift_mean_trunc,6600,0,0.0
benefit_excess_trunc,6600,0,0.0
