corridor,split,window,pushes,storm_days,storm_blocked,holiday_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,20,10,2,2,0.7734806629834254,0.0,0.39265416834457184,21.0,0.0
AMD,1,2021-07…2021-12,18,0,0,1,0.6847826086956522,0.0,0.29430093820653114,15.0,0.0
AMD,2,2022-01…2022-06,17,23,4,8,0.6574585635359116,0.0,0.8065421279025867,41.0,0.0
AMD,3,2022-07…2022-12,8,0,0,2,0.30434782608695654,0.0,0.595821829325638,67.0,0.3333333333333333
AMD,4,2023-01…2023-06,1,0,0,0,0.03867403314917127,0.0,,168.0,0.8333333333333334
AMD,5,2023-07…2023-12,11,0,0,0,0.41847826086956524,0.0,1.3253160321349824,72.0,0.3333333333333333
AMD,6,2024-01…2024-06,6,6,5,1,0.23076923076923078,0.0,1.4515721460346043,128.0,0.5
AMD,7,2024-07…2024-12,5,11,6,1,0.19021739130434784,0.0,1.283201051383455,80.0,0.5
AMD,8,2025-01…2025-06,22,0,0,11,0.8508287292817679,0.0,0.309140529591335,18.0,0.0
AMD,9,2025-07…2025-12,13,0,0,4,0.4945652173913044,0.0,1.2089940722214756,68.0,0.16666666666666666
AMD,10,2026-01…2026-06,16,5,0,5,0.6187845303867403,0.0,0.8336419181738798,42.0,0.0
KGS,0,2021-01…2021-06,20,0,0,7,0.7734806629834254,0.0,0.3861642228606164,24.0,0.0
KGS,1,2021-07…2021-12,17,0,0,1,0.6467391304347826,0.0,0.5284184085667606,26.0,0.0
KGS,2,2022-01…2022-06,13,35,9,4,0.5027624309392265,0.0,0.9652435583988137,49.0,0.16666666666666666
KGS,3,2022-07…2022-12,14,0,0,2,0.532608695652174,0.0,0.40600408799752175,24.0,0.0
KGS,4,2023-01…2023-06,1,0,0,1,0.03867403314917127,0.0,,105.0,0.8333333333333334
KGS,5,2023-07…2023-12,10,0,0,2,0.3804347826086957,0.0,1.5157340497661198,88.0,0.3333333333333333
KGS,6,2024-01…2024-06,5,7,2,0,0.19230769230769232,0.0,0.8976158898517147,96.0,0.3333333333333333
KGS,7,2024-07…2024-12,4,11,0,0,0.15217391304347827,0.0,0.7179804090423325,80.0,0.3333333333333333
KGS,8,2025-01…2025-06,16,0,0,2,0.6187845303867403,0.0,0.43157496642510434,18.0,0.0
KGS,9,2025-07…2025-12,5,0,0,0,0.19021739130434784,0.0,0.8357692423222561,92.0,0.3333333333333333
KGS,10,2026-01…2026-06,15,2,1,2,0.580110497237569,0.0,0.8868661538304564,46.0,0.16666666666666666
KZT,0,2021-01…2021-06,21,0,0,6,0.8121546961325967,0.0,0.39542568762688673,18.0,0.0
KZT,1,2021-07…2021-12,22,0,0,9,0.8369565217391305,0.0,0.30121384934540335,16.0,0.0
KZT,2,2022-01…2022-06,18,31,6,3,0.6961325966850829,0.0,0.8840956483436219,43.0,0.0
KZT,3,2022-07…2022-12,7,0,0,4,0.266304347826087,0.0,0.7306765551867963,92.0,0.5
KZT,4,2023-01…2023-06,15,0,0,1,0.580110497237569,0.0,0.6799862500221148,35.0,0.0
KZT,5,2023-07…2023-12,2,3,0,1,0.07608695652173914,0.0,0.0,118.0,0.6666666666666666
KZT,6,2024-01…2024-06,12,6,3,4,0.46153846153846156,0.0,0.7204146669383839,38.0,0.0
KZT,7,2024-07…2024-12,18,21,9,2,0.6847826086956522,0.0,0.31311214554257477,22.0,0.0
