pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
level → level,all,45,623,623,1.1069629735349202,1.1069629735349202,0.0,0.0,0.0,43.976917209123506,43.976917209123506,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,AMD,9,138,138,1.26964373068975,1.26964373068975,0.0,0.0,0.0,78.05177799871983,78.05177799871983,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KGS,9,115,115,0.9960050171628797,0.9960050171628797,0.0,0.0,0.0,17.747576766654195,17.747576766654195,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KZT,10,157,157,1.0852097438717145,1.0852097438717145,0.0,0.0,0.0,29.703972490863674,29.703972490863674,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,TJS,7,92,92,1.1008464724326434,1.1008464724326434,0.0,0.0,0.0,57.40823244204393,57.40823244204393,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,UZS,10,121,121,1.054613773202622,1.054613773202622,0.0,0.0,0.0,38.350592260840784,38.350592260840784,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,all,45,272,272,1.1558207648258547,1.1558207648258547,0.0,0.0,0.0,36.98792116450045,36.98792116450045,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,8,41,41,1.4404355857191993,1.4404355857191993,0.0,0.0,0.0,119.94351531661962,119.94351531661962,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,63,1.2781639046769864,1.2781639046769864,0.0,0.0,0.0,59.600690695771405,59.600690695771405,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,56,1.086659524027471,1.086659524027471,0.0,0.0,0.0,9.940140438710113,9.940140438710113,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,TJS,9,53,53,1.0974467796595495,1.0974467796595495,0.0,0.0,0.0,7.296454860878059,7.296454860878059,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,UZS,9,59,59,0.9821338403579795,0.9821338403579795,0.0,0.0,0.0,7.539439707369737,7.539439707369737,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,all,45,496,496,1.0022315287028014,1.0022315287028014,0.0,0.0,0.0,-31.782636922024636,-31.782636922024636,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,AMD,9,87,87,1.1762044919628283,1.1762044919628283,0.0,0.0,0.0,-5.18381836409982,-5.18381836409982,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KGS,9,86,86,0.9305249981197918,0.9305249981197918,0.0,0.0,0.0,-15.398010329829743,-15.398010329829743,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KZT,9,132,132,0.9369717722530976,0.9369717722530976,0.0,0.0,0.0,-47.25441396627322,-47.25441396627322,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,TJS,9,104,104,0.9214387893439873,0.9214387893439873,0.0,0.0,0.0,-55.51854820962326,-55.51854820962326,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,UZS,9,87,87,1.10543257234363,1.10543257234363,0.0,0.0,0.0,-22.72936976934824,-22.72936976934824,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,all,48,525,525,1.0774007002126214,1.0774007002126214,0.0,0.0,0.0,-9.11381156773621,-9.11381156773621,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,AMD,9,93,93,1.1336054359058891,1.1336054359058891,0.0,0.0,0.0,37.88928963439629,37.88928963439629,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KGS,10,115,115,0.9622468111073544,0.9622468111073544,0.0,0.0,0.0,-47.65391791689655,-47.65391791689655,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KZT,10,106,106,1.0569429311544163,1.0569429311544163,0.0,0.0,0.0,-25.03948207521487,-25.03948207521487,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,TJS,9,99,99,1.041245633528159,1.041245633528159,0.0,0.0,0.0,-12.798546770904508,-12.798546770904508,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,UZS,10,112,112,1.2112723727209884,1.2112723727209884,0.0,0.0,0.0,9.758810550670196,9.758810550670196,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,all,55,988,988,0.9804468066353104,0.9804468066353104,0.0,0.0,0.0,-6.443570074061485,-6.443570074061485,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,AMD,11,186,186,0.9817382671657228,0.9817382671657228,0.0,0.0,0.0,-24.0871077332595,-24.0871077332595,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KGS,11,139,139,0.8870908050079526,0.8870908050079526,0.0,0.0,0.0,-7.7925461620332435,-7.7925461620332435,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KZT,11,229,229,1.0391604794783253,1.0391604794783253,0.0,0.0,0.0,7.85627867059468,7.85627867059468,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,TJS,11,218,218,0.9889024094928547,0.9889024094928547,0.0,0.0,0.0,-1.9247955101404122,-1.9247955101404122,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,UZS,11,216,216,0.9690330891061492,0.9690330891061492,0.0,0.0,0.0,-10.103535521386247,-10.103535521386247,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,all,55,134,134,1.0311448924491056,1.0311448924491056,0.0,0.0,0.0,43.5513928125129,43.5513928125129,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,AMD,11,19,19,1.1924692350026247,1.1924692350026247,0.0,0.0,0.0,117.27718617973183,117.27718617973183,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KGS,11,29,29,0.8905842467271253,0.8905842467271253,0.0,0.0,0.0,10.364525874683729,10.364525874683729,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KZT,11,32,32,1.017048410853528,1.017048410853528,0.0,0.0,0.0,25.206193642492604,25.206193642492604,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
