corridor,split,window,pushes,storm_days,storm_blocked,holiday_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,18,10,2,7,0.6961325966850829,0.0,0.5386822546070842,28.0,0.0
AMD,1,2021-07…2021-12,18,0,0,1,0.6847826086956522,0.0,0.29430093820653114,15.0,0.0
AMD,2,2022-01…2022-06,14,23,4,14,0.5414364640883977,0.0,0.7589204302683766,41.0,0.0
AMD,3,2022-07…2022-12,7,0,0,3,0.266304347826087,0.0,0.5877990046197715,67.0,0.3333333333333333
AMD,4,2023-01…2023-06,1,0,0,0,0.03867403314917127,0.0,,168.0,0.8333333333333334
AMD,5,2023-07…2023-12,11,0,0,0,0.41847826086956524,0.0,1.3253160321349824,72.0,0.3333333333333333
AMD,6,2024-01…2024-06,6,6,5,2,0.23076923076923078,0.0,1.4515721460346043,128.0,0.5
AMD,7,2024-07…2024-12,5,11,6,1,0.19021739130434784,0.0,1.283201051383455,80.0,0.5
AMD,8,2025-01…2025-06,19,0,0,16,0.7348066298342542,0.0,0.5183609369366371,31.0,0.0
AMD,9,2025-07…2025-12,13,0,0,5,0.4945652173913044,0.0,1.2089940722214756,68.0,0.16666666666666666
AMD,10,2026-01…2026-06,13,5,0,10,0.5027624309392265,0.0,0.9739402809114597,53.0,0.16666666666666666
KGS,0,2021-01…2021-06,19,0,0,10,0.7348066298342542,0.0,0.43401111848606955,24.0,0.0
KGS,1,2021-07…2021-12,15,0,0,3,0.5706521739130435,0.0,0.5476489537209859,32.0,0.0
KGS,2,2022-01…2022-06,12,35,9,5,0.46408839779005523,0.0,1.0044673226387522,49.0,0.16666666666666666
KGS,3,2022-07…2022-12,12,0,0,4,0.4565217391304348,0.0,0.39411349099844606,24.0,0.0
KGS,4,2023-01…2023-06,0,0,0,2,0.0,,,172.0,1.0
KGS,5,2023-07…2023-12,8,0,0,4,0.30434782608695654,0.0,1.3769304309338337,88.0,0.3333333333333333
KGS,6,2024-01…2024-06,4,7,2,1,0.15384615384615385,0.0,1.0356896548795347,130.0,0.5
KGS,7,2024-07…2024-12,4,11,0,0,0.15217391304347827,0.0,0.7179804090423325,80.0,0.3333333333333333
KGS,8,2025-01…2025-06,13,0,0,5,0.5027624309392265,0.0,0.6246122371443429,31.0,0.0
KGS,9,2025-07…2025-12,4,0,0,1,0.15217391304347827,0.0,0.7978014152873478,92.0,0.3333333333333333
KGS,10,2026-01…2026-06,15,2,1,2,0.580110497237569,0.0,0.8868661538304564,46.0,0.16666666666666666
KZT,0,2021-01…2021-06,18,0,0,10,0.6961325966850829,0.0,0.44194173824159216,21.0,0.0
KZT,1,2021-07…2021-12,20,0,0,12,0.7608695652173914,0.0,0.39167313632101197,18.0,0.0
