corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,90,0.6333333333333333,0.5292436671678448,1.191919191919192,0.8863636363636365,26.148944242646813,60.660859427536494,0.3423913043478261,1.1966762620373075
AMD,WINDOW_CLOSING,9,35,0.4857142857142857,0.3881119444156872,1.3505154639175259,1.3505154639175259,47.137681590922206,84.43550403807926,0.11602209944751381,1.2514798699265528
KGS,BUY_NOW,10,94,0.5638297872340425,0.47732381308326244,1.2118785014005602,1.0198879551820728,69.16194515299478,95.6734338446143,0.3645658179197694,1.1812312140724694
KGS,WINDOW_CLOSING,3,12,0.25,0.4153014024909965,0.3839285714285714,0.3839285714285714,-81.27644852927926,-55.60730180055854,0.15469613259668508,0.6019724433880761
KZT,BUY_NOW,11,143,0.5384615384615384,0.5081208747823415,1.0588235294117647,1.235632183908046,43.87823783777873,59.743153470492445,0.5414364640883977,1.059711507999339
KZT,WINDOW_CLOSING,4,9,0.3333333333333333,0.4404603323799224,0.9435064935064936,0.9435064935064936,-51.907151170351696,36.37324830897404,0.07671751141004084,0.7567840026189103
TJS,BUY_NOW,11,125,0.528,0.5502575018145359,0.850909090909091,0.8125,-17.15609995278163,43.51363481643417,0.46408839779005523,0.9595507526182937
TJS,WINDOW_CLOSING,3,13,0.6153846153846154,0.4326495156366901,1.3657407407407407,1.3657407407407407,50.84294867657938,81.40328693549192,0.07734806629834254,1.4223628899225995
UZS,BUY_NOW,11,95,0.4631578947368421,0.4773247630832751,0.9772727272727272,0.6390243902439025,18.258915700969958,6.37741163475987,0.3076923076923077,0.9703202736541003
UZS,WINDOW_CLOSING,3,9,0.6666666666666666,0.39562958246442675,1.2999999999999998,1.2999999999999998,55.565011100757474,65.91073161846705,0.11602209944751381,1.685077901692577
