corridor,indicator,split,window,params,feasible,n_feasible,fitted
KZT,momentum,0,2022-12…2023-05,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}",True,3,
KZT,level,0,2022-12…2023-05,"{""window"": 540, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2809}",True,4,
KZT,reversal,0,2022-12…2023-05,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9082}",True,4,
KZT,dip_vs_trend,0,2022-12…2023-05,"{""span"": 180, ""window"": 1080, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.1092}",False,0,
KZT,momentum,1,2023-06…2023-11,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.2148}",True,5,
KZT,level,1,2023-06…2023-11,"{""window"": 540, ""pct"": 0.3, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.2406}",True,6,
KZT,reversal,1,2023-06…2023-11,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.8786}",True,4,
KZT,dip_vs_trend,1,2023-06…2023-11,"{""span"": 180, ""window"": 2250, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.4295}",False,0,
KZT,momentum,2,2023-12…2024-05,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.2148}",True,6,
KZT,level,2,2023-12…2024-05,"{""window"": 540, ""pct"": 0.3, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.2146}",True,10,
KZT,reversal,2,2023-12…2024-05,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.656}",True,4,
KZT,dip_vs_trend,2,2023-12…2024-05,"{""span"": 180, ""window"": 1080, ""pct"": 0.15, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.1772}",True,3,
KZT,momentum,3,2024-06…2024-11,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1059}",True,6,
KZT,level,3,2024-06…2024-11,"{""window"": 540, ""pct"": 0.3, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.1659}",True,18,
KZT,reversal,3,2024-06…2024-11,"{""window"": 1080, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.8536}",True,8,
KZT,dip_vs_trend,3,2024-06…2024-11,"{""span"": 180, ""window"": 1080, ""pct"": 0.15, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.2835}",True,8,
KZT,momentum,4,2024-12…2025-05,"{""n"": 4, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1729}",True,6,
KZT,level,4,2024-12…2025-05,"{""window"": 1080, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.1236}",True,27,
KZT,reversal,4,2024-12…2025-05,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}",True,19,
KZT,dip_vs_trend,4,2024-12…2025-05,"{""span"": 180, ""window"": 1080, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.1309}",True,30,
KZT,momentum,5,2025-06…2025-11,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.2148}",True,6,
KZT,level,5,2025-06…2025-11,"{""window"": 2250, ""pct"": 0.3, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 44, ""_score"": 1.6764}",True,44,
KZT,reversal,5,2025-06…2025-11,"{""window"": 540, ""rise_bps"": 80, ""max_days_since_min"": 180, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 0.8912}",True,23,
KZT,dip_vs_trend,5,2025-06…2025-11,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 37, ""_score"": 1.3529}",True,37,
KZT,momentum,6,2025-12…2026-05,"{""n"": 4, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.174}",True,6,
KZT,level,6,2025-12…2026-05,"{""window"": 2250, ""pct"": 0.2, ""stall_days"": 27, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 56, ""_score"": 1.1335}",True,56,
KZT,reversal,6,2025-12…2026-05,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 28, ""_score"": 1.0231}",True,28,
KZT,dip_vs_trend,6,2025-12…2026-05,"{""span"": 180, ""window"": 2250, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.4241}",True,31,
KZT,momentum,7,2026-06…2026-09,"{""n"": 4, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.174}",True,6,
KZT,level,7,2026-06…2026-09,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.1284}",True,54,
KZT,reversal,7,2026-06…2026-09,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 0.9451}",True,23,
KZT,dip_vs_trend,7,2026-06…2026-09,"{""span"": 180, ""window"": 2250, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 26, ""_score"": 1.3617}",True,26,
AMD,momentum,0,2023-06…2023-11,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0767}",True,4,
AMD,level,0,2023-06…2023-11,"{""window"": 540, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.42}",False,0,
AMD,reversal,0,2023-06…2023-11,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": null}",False,0,
