currency,hour,inside_cbr_window,cbr_uses_exchange,n_days,n_paired_changes,median_abs_diff_bps,p90_abs_diff_bps,r2_change
AMD,10,True,False,1025,1015,111.5034829721373,381.18275111135745,0.08501520671856437
AMD,11,True,False,1025,1015,104.82709964056424,378.8869715241412,0.09070786503392599
AMD,12,True,False,1025,1015,101.4556682840717,367.0503796690002,0.18141731097997987
AMD,13,True,False,1025,1015,101.64001932229327,378.3109217401468,0.19163197809508675
AMD,14,True,False,1025,1015,107.36796774067247,370.9391848345867,0.17484039546145624
AMD,15,False,False,1025,1015,107.99595680161644,378.40476042441475,0.14097719973821543
AMD,16,False,False,1025,1015,124.67161833905837,393.42387481515306,0.12174140894768169
AMD,17,False,False,1025,1015,117.96969195489227,374.3491970923199,0.11249710639387665
AMD,18,False,False,1025,1015,124.53490309324079,395.0586662237097,0.12204318663959964
CNY,10,True,True,2131,2125,11.315708260466462,43.305571108622765,0.7435305266288227
CNY,11,True,True,2131,2125,10.860530956868786,39.69835891302953,0.7423150596985935
CNY,12,True,True,2131,2125,11.61445242809478,44.902294334538965,0.7945906715909467
CNY,13,True,True,2131,2125,14.422210203713925,52.32591570352385,0.7360237463717718
CNY,14,True,True,2131,2125,17.013971461028454,61.80100269957522,0.6699063867849048
CNY,15,False,True,2131,2125,20.32093386609923,71.66103599866469,0.5520237669442376
CNY,16,False,True,2131,2125,24.16264054839745,83.0790061665776,0.5059996568074098
CNY,17,False,True,2131,2125,27.51831660821602,95.07657970352356,0.41194155740261357
CNY,18,False,True,2131,2125,29.973119345350074,104.05591480312948,0.319495225567413
KGS,10,True,False,484,322,234.1018116778959,782.8488160193624,0.010953703701881527
KGS,11,True,False,484,322,224.81824705854638,788.1431255889485,0.019841280433804093
KGS,12,True,False,484,322,217.99409282336757,775.2147625151439,0.007269500015666468
KGS,13,True,False,484,322,212.84405688739682,770.3500063218103,0.03345605692872048
KGS,14,True,False,484,322,204.80333979132956,770.9221812878648,0.02040269316587819
KGS,15,False,False,484,322,202.35593686223797,765.6407591245678,0.013931193023083401
KGS,16,False,False,484,322,205.09290590474905,778.270372199022,0.004225281678583812
KGS,17,False,False,484,322,180.14936911778688,742.870952740378,0.00039594137665477087
KGS,18,False,False,484,322,194.03690978210042,743.1511063900102,0.007741915453511834
KZT,10,True,False,1209,1099,67.98563898861909,322.7967968526491,0.2858415659876038
KZT,11,True,False,1209,1099,62.38174819454434,306.7396281858361,0.32305774053909536
KZT,12,True,False,1209,1099,63.376525585918664,325.2389609289846,0.35216498503067706
KZT,13,True,False,1209,1099,65.49386946919533,316.5523394763104,0.32625940069320075
KZT,14,True,False,1209,1099,73.05593693479162,318.6838252317226,0.3106695127246596
KZT,15,False,False,1209,1099,82.55836661032578,330.2344282919192,0.2814431855122679
KZT,16,False,False,1209,1099,85.82354803057245,331.96133547483305,0.21501536443702113
KZT,17,False,False,1209,1099,87.94746709331669,347.7543326384103,0.24356582810558183
KZT,18,False,False,1209,1099,92.24301180281725,337.6268843499397,0.1750716629606639
UZS,10,True,False,292,157,139.95624153437024,752.6985654430842,0.01608624123953031
UZS,11,True,False,292,157,126.49989936785732,813.0995922404443,0.03820022179310503
UZS,12,True,False,292,157,123.76822914605623,847.3872621716632,0.027509826085059065
UZS,13,True,False,292,157,125.4553165694372,825.9151138376029,0.016464623904941487
UZS,14,True,False,292,157,130.16030812486258,758.4150000265669,0.011178752688004114
UZS,15,False,False,292,157,145.66266587602126,779.3604390981089,0.00331305832947212
UZS,16,False,False,292,157,163.97102124278362,778.7668316701659,0.004181322595303935
UZS,17,False,False,292,157,189.2293735978573,913.0594678713836,0.006264485878833213
UZS,18,False,False,292,157,212.9693493906559,853.6528304959073,0.027941838685662457
