corridor,indicator,first_window,last_window,daily_events,daily_lift_mean_pooled,daily_excess_median_bps,intraday_events,intraday_lift_mean_pooled,intraday_excess_median_bps,note
AMD,dip_vs_trend,2023-06…2023-11,2026-01…2026-06,54,1.2256482246794997,118.04395744256946,54,1.1368883891164847,14.613067443662345,
AMD,level,2023-06…2023-11,2026-01…2026-06,104,1.223655881846727,61.90808441098654,121,1.0918525804196466,34.689149458384705,
AMD,ml_localmin,2023-06…2023-11,2026-01…2026-06,34,1.4123878235150096,72.2225895550578,0,,,на часовой оси индикатор выключен профилем (ADR-0010)
AMD,momentum,2023-06…2023-11,2026-01…2026-06,91,0.9340686733523669,-5.4462797658620765,143,1.0913909506027915,14.072275684113622,
AMD,reversal,2023-06…2023-11,2026-01…2026-06,65,0.9914257609264524,1.987258120845379,87,1.0540132012735854,1.8864983962118487,
AMD,seasonality,2023-06…2023-11,2026-01…2026-06,9,1.4996784750295926,114.46485699935914,0,,,на часовой оси индикатор выключен профилем (ADR-0010)
CNY,dip_vs_trend,2021-01…2021-06,2026-01…2026-06,0,,,107,0.8359424397891281,-33.96051421392498,"CNY — контекст рублёвой стороны, дневного прогона по нему нет"
CNY,level,2021-01…2021-06,2026-01…2026-06,0,,,169,1.0692206633731738,15.941472916741716,"CNY — контекст рублёвой стороны, дневного прогона по нему нет"
CNY,momentum,2021-01…2021-06,2026-01…2026-06,0,,,546,1.0207466589915,-7.359599521297879,"CNY — контекст рублёвой стороны, дневного прогона по нему нет"
CNY,reversal,2021-01…2021-06,2026-01…2026-06,0,,,128,1.1474761610585495,35.7593353417972,"CNY — контекст рублёвой стороны, дневного прогона по нему нет"
KZT,dip_vs_trend,2022-12…2023-05,2026-01…2026-06,82,0.9505490278214028,-9.8723582808326,90,0.9183286443564995,-31.862949009002378,
KZT,level,2022-12…2023-05,2026-01…2026-06,91,1.1840195408533885,82.65217691035286,87,0.9382301315742487,-9.420142346111236,
KZT,ml_localmin,2022-12…2023-05,2026-01…2026-06,34,1.1609540727194403,80.33102211453712,0,,,на часовой оси индикатор выключен профилем (ADR-0010)
KZT,momentum,2022-12…2023-05,2026-01…2026-06,145,1.0637211263190125,29.974070350573445,240,1.0137893717101383,10.290898747121418,
KZT,reversal,2022-12…2023-05,2026-01…2026-06,74,1.1242651864986313,4.222442669164277,93,0.8946106888686176,-33.86448674209794,
KZT,seasonality,2022-12…2023-05,2026-01…2026-06,21,1.0386372313430239,37.87284107064775,0,,,на часовой оси индикатор выключен профилем (ADR-0010)
