date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2022-12-01 10:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.130275,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.09585889570551398}"
2022-12-06 10:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.1336999999999999,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.07473841554566096}"
2022-12-08 12:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.1329,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.18775816748028973}"
2022-12-08 14:00:00,KZT,reversal,"reversal(max_days_since_min=180,rearm=27,rise_bps=20,window=540)",WINDOW_CLOSING,up,1.0,slow,0,0.1329,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9082}","{""rise_pct"": 2.625482625482612, ""min_rate"": 0.1295, ""days_since_min"": 128.0, ""window"": 540.0}"
2022-12-12 13:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.133525,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.20553064275037336}"
2022-12-12 15:00:00,KZT,reversal,"reversal(max_days_since_min=180,rearm=27,rise_bps=20,window=540)",WINDOW_CLOSING,up,1.0,slow,0,0.13435,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9082}","{""rise_pct"": 3.7451737451737355, ""min_rate"": 0.1295, ""days_since_min"": 155.0, ""window"": 540.0}"
2022-12-15 10:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.1375,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.5065123010130068}"
2022-12-19 18:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.14415,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.586206896551722}"
2022-12-22 16:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.15505,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.7362355953905331}"
2022-12-27 08:00:00,KZT,momentum,"momentum(n=2,rearm=27)",BUY_NOW,down,0.5,fast,0,0.150675,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.3238}","{""streak"": 2.0, ""drop_pct"": -0.1987083954297031}"
