indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,KZT,8,1,92,0.3988095238095238,1.005249343832021,0.0,0.42857142857142855,0.4891304347826087,0.5305842571875296,-47.87556668201535,-15.246640636210898,153.28947440499465,0.42171080285834384,0.4270833333333333,0.9218713675662837
level,KZT,8,2,87,0.36655011655011654,0.9407980664770577,0.16666666666666666,0.6666666666666666,0.4482758620689655,0.477788814261174,-9.420142346111236,-25.91608771876638,56.09443066852044,0.3633879781420765,0.47916666666666663,0.9382301315742487
momentum,KZT,8,0,243,1.159196646215877,0.9924355721999404,0.125,0.625,0.5975103734439834,0.5894179213902961,11.003531715716537,12.152969421167882,16.216108154712984,1.3961748633879782,0.10416666666666666,1.0137295656613208
reversal,KZT,8,2,93,1.1716613615437166,1.1716613615437166,0.5,0.3333333333333333,0.40860215053763443,0.45673738937143604,-33.86448674209794,-36.90501502370982,36.51642904448262,0.45901639344262296,0.6041666666666666,0.8946106888686176
dip_vs_trend,AMD,7,1,55,0.9991207622786571,1.0165210688591984,0.3333333333333333,0.16666666666666666,0.5636363636363636,0.4978313158632939,33.83334881806228,79.32170487949429,163.82399021769402,0.1912568306010929,0.5595238095238095,1.1321834237345165
level,AMD,7,0,125,1.8269230769230766,1.0071428571428571,0.14285714285714285,0.2857142857142857,0.552,0.5080278200468497,38.05224531299857,69.71650465967846,100.43258203871214,0.6885245901639344,0.4642857142857143,1.086554669287787
momentum,AMD,7,0,147,1.424242424242424,1.0651413295593033,0.42857142857142855,0.2857142857142857,0.5958904109589042,0.547566624364231,13.794360782420181,41.090188439459645,15.310530093423997,0.4207650273224044,0.13095238095238096,1.0882518846921705
reversal,AMD,7,0,92,1.0,1.0,0.2857142857142857,0.42857142857142855,0.44565217391304346,0.42559967317318464,24.171410820640432,18.646048926104545,29.182357553501436,0.4972677595628415,0.5357142857142857,1.0471158743857847
dip_vs_trend,CNY,11,1,107,0.3279022403258656,0.768453276032264,0.3,0.7,0.4205607476635514,0.5030977345397616,-33.96051421392498,-20.660746630208887,105.57116915802297,0.34806629834254144,0.5909090909090909,0.8359424397891281
level,CNY,11,2,169,1.0190875232774674,1.0032961460446248,0.3333333333333333,0.4444444444444444,0.5680473372781065,0.5312723151889271,15.941472916741716,29.67621654659743,53.03160674434366,0.4230769230769231,0.4848484848484848,1.0692206633731738
momentum,CNY,11,0,546,0.9915446172429413,1.0107985936715218,0.0,0.36363636363636365,0.575091575091575,0.5634028483225866,-7.359599521297879,12.592735552541713,16.53945322546716,1.7119565217391306,0.0,1.0207466589915
reversal,CNY,11,1,128,1.1489377010326731,1.1489377010326731,0.4,0.3,0.4453125,0.3880799576604695,35.7593353417972,17.230234634333126,45.003562149923276,0.41847826086956524,0.6212121212121212,1.1474761610585495
