indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled,h
dip_vs_trend,KZT,8,1,91,1.0235207100591717,1.0235207100591717,0.14285714285714285,0.42857142857142855,0.7582417582417582,0.7884507852003553,8.859564989460948,11.114759931229024,23.655990648453965,0.42171080285834384,0.4270833333333333,0.9616855896073202,1
level,KZT,8,2,87,1.0495933003771165,1.0495933003771165,0.0,0.3333333333333333,0.8045977011494253,0.7528226261704913,-2.8093814833975723,-2.474947782878272,13.83265403899161,0.3633879781420765,0.47916666666666663,1.0687745999908462,1
momentum,KZT,8,0,243,1.1415255662704642,1.1415255662704642,0.375,0.25,0.8641975308641975,0.8035923018733527,5.22180958433438,5.5562432848536805,22.160729306745914,1.3961748633879782,0.10416666666666666,1.0754178814923443,1
reversal,KZT,8,2,91,1.040709018650195,1.040709018650195,0.0,0.3333333333333333,0.5714285714285714,0.5408253729552027,-5.524770720752994,-5.334730526512233,-6.034193018895695,0.4398907103825137,0.6041666666666666,1.0565860996982173,1
dip_vs_trend,KZT,8,1,91,1.1705955334987592,1.066594727917373,0.14285714285714285,0.2857142857142857,0.7472527472527473,0.7360540129965142,16.40500531451102,17.115989737805158,33.959787112951986,0.42171080285834384,0.4270833333333333,1.015214554989847,4
level,KZT,8,2,87,0.9760379330943847,0.9966180239678541,0.16666666666666666,0.5,0.735632183908046,0.70209574542047,-4.381865301660194,-3.64638696514801,16.06464958300203,0.3633879781420765,0.47916666666666663,1.0477661895921213,4
momentum,KZT,8,0,243,1.2410180233709645,1.08491037320863,0.25,0.25,0.7983539094650206,0.7539682900524868,7.945137524934328,8.933584201568923,31.284011837687117,1.3961748633879782,0.10416666666666666,1.0588693450349802,4
reversal,KZT,8,2,91,1.1307135871533212,1.1307135871533212,0.0,0.3333333333333333,0.5824175824175825,0.5231648871704125,-1.318708660239663,-0.6045254092335912,-2.481182722448947,0.4398907103825137,0.6041666666666666,1.1132581652557836,4
dip_vs_trend,KZT,8,1,91,1.1785310734463277,1.1998889814043854,0.2857142857142857,0.14285714285714285,0.7912087912087912,0.7025940169955321,26.49151379804764,27.843415055534965,51.954229150680014,0.42171080285834384,0.4270833333333333,1.1261251477662704,9
level,KZT,8,2,87,0.7382688021562225,1.0580537821574363,0.0,0.3333333333333333,0.735632183908046,0.6712902059370163,-5.757533998535344,-4.836340950552687,19.567389855422615,0.3633879781420765,0.47916666666666663,1.0958482298743184,9
momentum,KZT,8,0,243,1.2098200319088672,1.0642865432371234,0.125,0.25,0.7777777777777778,0.725265623844905,8.664728754340619,10.595743850018618,27.803793916907818,1.3961748633879782,0.10416666666666666,1.0724040299255964,9
reversal,KZT,8,2,91,0.926859171905313,0.926859171905313,0.0,0.6666666666666666,0.4835164835164835,0.5087953297817686,-2.414453861136044,-1.0475360706552284,2.1568720469859057,0.4398907103825137,0.6041666666666666,0.9503162769278414,9
dip_vs_trend,KZT,8,1,91,0.7846607669616519,1.0897658004491497,0.2857142857142857,0.14285714285714285,0.6703296703296703,0.6071733859596047,-19.21244942098173,-6.016310724870446,89.37478832514655,0.42171080285834384,0.4270833333333333,1.1040168851772885,45
level,KZT,8,2,87,0.9962448857185698,0.9194050509509619,0.0,0.6666666666666666,0.5402298850574713,0.5710060055619736,6.917134343589135,-6.241593319104179,31.058732481367674,0.3633879781420765,0.47916666666666663,0.9461019320204644,45
momentum,KZT,8,0,243,1.2957870867645305,1.0281257144144136,0.25,0.375,0.6570247933884298,0.643072430349165,7.818624491478928,13.846562795241379,21.70889099823541,1.3961748633879782,0.10416666666666666,1.021696409892256,45
reversal,KZT,8,2,91,0.7807978060755697,0.7807978060755697,0.16666666666666666,0.8333333333333334,0.34065934065934067,0.4798997679791642,-10.841483107150761,-9.162301158346587,7.41517080294528,0.4398907103825137,0.6041666666666666,0.7098551893322255,45
dip_vs_trend,AMD,7,1,55,1.1846506554210061,1.1846506554210061,0.3333333333333333,0.0,0.8181818181818182,0.7157019188177093,15.852574417240806,16.196503636576672,27.242977754196982,0.1912568306010929,0.5595238095238095,1.143187962292177,1
level,AMD,7,0,125,1.1538929440389294,1.1538929440389294,0.2857142857142857,0.0,0.84,0.7319444226012249,28.28463573245197,29.05581589530508,35.35616202695786,0.6885245901639344,0.4642857142857143,1.1476281177398158,1
momentum,AMD,7,0,146,1.180110968843363,1.180110968843363,0.14285714285714285,0.14285714285714285,0.815068493150685,0.7310106382578572,25.35215179776718,26.178370372537422,32.069724686472505,0.4207650273224044,0.13095238095238096,1.1149885521408476,1
reversal,AMD,7,0,91,1.0174647887323942,1.0174647887323942,0.0,0.42857142857142855,0.5164835164835165,0.5484292958533121,-5.530017012016546,-3.345923264560815,-11.199799549226894,0.4972677595628415,0.5357142857142857,0.9417504141165718,1
dip_vs_trend,AMD,7,1,55,1.3055722275286454,1.184414643164274,0.3333333333333333,0.0,0.7818181818181819,0.675624134692657,19.891374579418013,20.305526056286624,34.57383068676805,0.1912568306010929,0.5595238095238095,1.1571791794765187,4
level,AMD,7,0,125,1.1421663442940038,1.1413409703504043,0.14285714285714285,0.42857142857142855,0.728,0.6828280881110016,27.330498348186545,26.6646660398711,35.21423586385387,0.6885245901639344,0.4642857142857143,1.0661541501814364,4
momentum,AMD,7,0,146,1.286046511627907,1.1796661889130333,0.2857142857142857,0.14285714285714285,0.8013698630136986,0.7019374801509736,18.69986306362336,17.874075674864468,39.05612116478518,0.4207650273224044,0.13095238095238096,1.1416541866967111,4
reversal,AMD,7,0,91,0.8672345425172565,0.8672345425172565,0.0,0.8571428571428571,0.42857142857142855,0.5044701149329541,-11.15136192781235,-6.4401051211424765,-9.864203149753829,0.4972677595628415,0.5357142857142857,0.8495477053747519,4
dip_vs_trend,AMD,7,1,55,1.3783241435415352,1.2211332527360075,0.3333333333333333,0.0,0.7818181818181819,0.6519911305410202,10.338024377904604,10.364080487473569,40.79355104412937,0.1912568306010929,0.5595238095238095,1.1991239530657902,9
level,AMD,7,0,125,1.497644927536232,1.2177189086294415,0.14285714285714285,0.42857142857142855,0.728,0.659875635919585,35.65475794281489,34.14663464756686,39.65370664909394,0.6885245901639344,0.4642857142857143,1.1032381866705514,9
momentum,AMD,7,0,146,1.2747747747747749,1.1342685370741483,0.14285714285714285,0.14285714285714285,0.7602739726027398,0.6829411987164229,16.321001384643548,20.792326061089273,29.658860690444946,0.4207650273224044,0.13095238095238096,1.1132348934749619,9
reversal,AMD,7,0,91,0.7612419700214134,0.7612419700214134,0.0,1.0,0.38461538461538464,0.49363190412387453,-9.852492752342146,-7.301495226919204,-6.978226140762566,0.4972677595628415,0.5357142857142857,0.7791542268687465,9
dip_vs_trend,AMD,7,1,55,1.4771039979757083,1.0794953822187603,0.16666666666666666,0.5,0.6181818181818182,0.56945887300993,27.956284241397967,36.90450580791381,92.1475962225575,0.1912568306010929,0.5595238095238095,1.0855600772613452,45
