indicator,corridor,windows,active_windows,events,lift_mean_median,lift_mean_pooled,benefit_excess_median_bps,benefit_excess_pooled_bps,freq_per_week_median,empty_month_share_median
calendar:day20-25:all,AMD,11,11,276,1.0364835164835164,1.0300437997061775,26.064742658921936,38.1031735683643,0.9510869565217391,0.0
calendar:day20-25:all,KGS,11,11,276,1.1093333333333335,1.043692124731069,17.615317618633192,26.160542026846382,0.9510869565217391,0.0
calendar:day20-25:all,KZT,11,11,276,1.1037414965986394,1.1069231660954988,21.630308876148106,46.74079706958194,0.9510869565217391,0.0
calendar:day20-25:all,TJS,11,11,276,1.1567796610169492,1.0651192397087088,20.957581083918463,34.027058996276075,0.9510869565217391,0.0
calendar:day20-25:all,UZS,11,11,276,0.9932659932659933,1.0583945693622812,17.590779426394874,37.70502424432492,0.9510869565217391,0.0
calendar:day20-25:first,AMD,11,11,66,0.9597069597069596,1.0576282617277704,39.325605360176944,34.50536361456664,0.23076923076923078,0.0
calendar:day20-25:first,KGS,11,11,66,0.9932659932659933,1.0707524952207506,21.527112358695533,18.53484648351149,0.23076923076923078,0.0
calendar:day20-25:first,KZT,11,11,66,1.2040816326530612,1.1299287416922836,15.91019235559036,36.70538707768206,0.23076923076923078,0.0
calendar:day20-25:first,TJS,11,11,66,1.2285714285714286,1.0913342219295146,19.083824910726076,29.69702447161651,0.23076923076923078,0.0
calendar:day20-25:first,UZS,11,11,66,0.9932659932659933,1.0647365670997782,28.93718756633021,34.396252946288755,0.23076923076923078,0.0
calendar:day20-28:all,AMD,11,11,419,0.9664209664209665,1.0082306156998113,11.256508370121367,18.642387530409145,1.4615384615384615,0.0
calendar:day20-28:all,KGS,11,11,419,1.0109976433621368,1.0252419447895067,9.892238645418258,15.357916049682872,1.4615384615384615,0.0
calendar:day20-28:all,KZT,11,11,419,1.0742532005689902,1.054083203002318,41.37782050469434,36.04645485250912,1.4615384615384615,0.0
calendar:day20-28:all,TJS,11,11,419,0.9947368421052633,1.0493721202817048,8.25598724353332,20.442790917165247,1.4615384615384615,0.0
calendar:day20-28:all,UZS,11,11,419,0.9664209664209665,1.0245376922907976,11.513282569046607,20.940742154433334,1.4615384615384615,0.0
calendar:day25:all,AMD,11,11,297,1.0085470085470085,1.000736893237276,10.629383107640935,-1.364946042124463,1.0271739130434783,0.0
calendar:day25:all,KGS,11,11,297,1.0620915032679739,1.0574306857655127,15.992036402566768,15.928579232337645,1.0271739130434783,0.0
calendar:day25:all,KZT,11,11,297,0.9750000000000001,0.9898656670432278,21.15238644891726,26.220109213630852,1.0271739130434783,0.0
calendar:day25:all,TJS,11,11,297,1.0410410410410411,1.0458781649935598,26.50247743923378,8.297333176102615,1.0271739130434783,0.0
calendar:day25:all,UZS,11,11,297,1.0085470085470085,0.9793749520081007,21.468045591041093,1.010947619097105,1.0271739130434783,0.0
calendar:day25:first,AMD,11,11,66,0.9932659932659933,1.0576282617277704,30.22976938359306,66.34517242691608,0.23076923076923078,0.0
calendar:day25:first,KGS,11,11,66,1.264705882352941,1.183463284191356,30.75452437507893,60.017574163603875,0.23076923076923078,0.0
calendar:day25:first,KZT,11,11,66,1.2040816326530612,1.0719836780157563,59.70317540380246,82.73133591785344,0.23076923076923078,0.0
calendar:day25:first,TJS,11,11,66,1.2,1.1711879454853327,53.928327029592026,74.66693224262312,0.23076923076923078,0.0
calendar:day25:first,UZS,11,11,66,0.9932659932659933,1.0935132310754478,41.53756803420608,69.03503418526019,0.23076923076923078,0.0
calendar:day20-25:all,all,55,55,1380,1.086842105263158,1.0604147430925415,20.957581083918463,36.54731918107872,0.9510869565217391,0.0
calendar:day20-25:first,all,55,55,330,0.9932659932659933,1.082598082666382,21.527112358695533,30.767774918733096,0.23076923076923078,0.0
calendar:day20-28:all,all,55,55,2095,1.0,1.032231266002216,11.256508370121367,22.28605830083994,1.4615384615384615,0.0
calendar:day25:all,all,55,55,1485,1.0085470085470085,1.0152049650935127,16.716179095677,10.01840463980875,1.0271739130434783,0.0
calendar:day25:first,all,55,55,330,1.1727272727272728,1.116080497594208,44.92541639808759,70.55920978725135,0.23076923076923078,0.0
