rule,stack,blocks,events_rule,events_stack,lift_rule,lift_stack,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,verdict_lift,benefit_rule,benefit_stack,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,verdict_benefit,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,verdict_lift_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_benefit_by_window
calendar:day20-25:first,level,55,330,623,1.0825980826663821,1.1069629735349205,0.024364890868538325,-0.07795840710682518,0.13191967725600143,разницы нет,30.767774918733096,43.976917209123506,13.20914229039041,-17.327616279604857,43.105031864804374,разницы нет,11,-0.15666628924719928,0.22093256336749903,разницы нет,-49.11905598972823,68.36174587324254,разницы нет
calendar:day20-25:first,dip_vs_trend,55,330,496,1.0825980826663821,1.0022315287028014,-0.08036655396358072,-0.2269231971190184,0.07567225628334028,разницы нет,30.767774918733096,-31.782636922024636,-62.55041184075773,-118.48690932127808,-3.885103831727195,правило,11,-0.3359286683791096,0.2098208580541315,разницы нет,-171.35253312440526,69.96639887931732,разницы нет
calendar:day20-25:first,ml_localmin,55,330,272,1.0825980826663821,1.1558207648258547,0.07322268215947259,-0.07016112433910382,0.2192953545009963,разницы нет,30.767774918733096,36.98792116450045,6.220146245767353,-42.095085413374555,53.447235164657755,разницы нет,11,-0.13134980883108252,0.30316134562559505,разницы нет,-72.7841767478822,82.00826036681804,разницы нет
calendar:day20-25:first,seasonality,55,330,134,1.0825980826663821,1.0311448924491056,-0.05145319021727657,-0.15471585002395977,0.05559531330362515,разницы нет,30.767774918733096,43.5513928125129,12.783617893779805,-18.82114150199712,45.135313087350625,разницы нет,11,-0.22314705336699883,0.11352163438733458,разницы нет,-26.71013263092903,60.149592183826535,разницы нет
calendar:day20-25:first,stream BUY_NOW,55,330,645,1.0825980826663821,1.0408172315365805,-0.04178085112980168,-0.11827153818380429,0.03399805832058753,разницы нет,30.767774918733096,34.25731206598712,3.489537147254026,-17.143836044108276,23.5038669102917,разницы нет,11,-0.1666179560945707,0.0741666084688093,разницы нет,-28.781833839249025,35.99168409182768,разницы нет
calendar:day25:first,level,55,330,623,1.1160804975942082,1.1069629735349205,-0.009117524059287785,-0.10110752856712582,0.08633840401347133,разницы нет,70.55920978725135,43.976917209123506,-26.58229257812784,-57.78558782551452,2.9253360695514266,разницы нет,11,-0.1420243573727727,0.122855436637968,разницы нет,-94.70585503727999,23.65570768583643,разницы нет
calendar:day25:first,dip_vs_trend,55,330,496,1.1160804975942082,1.0022315287028014,-0.11384896889140683,-0.24591364573990934,0.035706874203643844,разницы нет,70.55920978725135,-31.782636922024636,-102.34184670927598,-159.3257211792505,-43.31476306221573,правило,11,-0.33651416206266915,0.16802970674460777,разницы нет,-219.21723574136163,30.432259217535364,разницы нет
calendar:day25:first,ml_localmin,55,330,272,1.1160804975942082,1.1558207648258547,0.039740267231646476,-0.08905517857263502,0.1743430878000065,разницы нет,70.55920978725135,36.98792116450045,-33.5712886227509,-84.16282846526968,15.061521089233372,разницы нет,11,-0.12522860242139003,0.232303377556733,разницы нет,-118.65477423433352,40.72873973084986,разницы нет
calendar:day25:first,seasonality,55,330,134,1.1160804975942082,1.0311448924491056,-0.08493560514510268,-0.18889458880548946,0.02541654377814077,разницы нет,70.55920978725135,43.5513928125129,-27.007816974738446,-63.54409642843709,7.344913716524292,разницы нет,11,-0.22988500169675072,0.04896843886802266,разницы нет,-66.27520140764058,19.290224457795333,разницы нет
calendar:day25:first,stream BUY_NOW,55,330,645,1.1160804975942082,1.0408172315365805,-0.07526326605762779,-0.15874381486648317,0.009815540344350948,разницы нет,70.55920978725135,34.25731206598712,-36.301897721264226,-54.92929773171373,-18.124987339142617,правило,11,-0.18530508627902412,0.04463069697027176,разницы нет,-63.70507775639911,-11.202644677696004,правило
