corridor,family,persona,salary_day,wait_days,habit_day,month,start,end,n_days,has_push,has_calendar,has_screen,rate_random,rate_habit,day_habit,rate_deadline,day_deadline,rate_calendar25,day_calendar25,rate_screen,day_screen,rate_push,day_push,rate_push_or_calendar,day_push_or_calendar,rate_oracle,day_oracle
TJS,wait,s05_k05,5,5.0,,2021-01,2021-01-11,2021-01-18,6,True,False,True,6.488564999999999,6.53933,0,6.49175,5,6.49175,5,6.53933,0,6.51745,1,6.51745,1,6.45251,2
TJS,wait,s05_k05,5,5.0,,2021-02,2021-02-05,2021-02-12,6,True,False,True,6.509264999999999,6.59155,0,6.48862,5,6.48862,5,6.51691,1,6.59155,0,6.59155,0,6.47283,4
TJS,wait,s05_k05,5,5.0,,2021-03,2021-03-05,2021-03-15,6,True,False,True,6.4790133333333335,6.53159,0,6.42665,5,6.42665,5,6.45016,3,6.49753,2,6.49753,2,6.42665,5
TJS,wait,s05_k05,5,5.0,,2021-04,2021-04-05,2021-04-12,6,False,False,False,6.761031666666667,6.71858,0,6.79797,5,6.79797,5,6.79797,5,6.79797,5,6.79797,5,6.69884,1
TJS,wait,s05_k05,5,5.0,,2021-05,2021-05-05,2021-05-13,6,True,False,False,6.519498333333332,6.56394,0,6.51965,5,6.51965,5,6.51965,5,6.53897,1,6.53897,1,6.49189,4
TJS,wait,s05_k05,5,5.0,,2021-06,2021-06-07,2021-06-15,6,True,False,True,6.3487116666666665,6.434,0,6.29827,5,6.29827,5,6.434,0,6.28494,4,6.28494,4,6.28494,4
TJS,wait,s05_k05,5,5.0,,2021-07,2021-07-05,2021-07-12,6,True,False,True,6.502619999999999,6.43174,0,6.54394,5,6.54394,5,6.42402,1,6.42402,1,6.42402,1,6.42402,1
TJS,wait,s05_k05,5,5.0,,2021-08,2021-08-05,2021-08-12,6,False,False,True,6.451288333333333,6.41543,0,6.45043,5,6.45043,5,6.41543,0,6.45043,5,6.45043,5,6.41214,1
TJS,wait,s05_k05,5,5.0,,2021-09,2021-09-06,2021-09-13,6,True,False,False,6.448036666666667,6.4336,0,6.44765,5,6.44765,5,6.44765,5,6.41906,4,6.41906,4,6.41906,4
TJS,wait,s05_k05,5,5.0,,2021-10,2021-10-05,2021-10-12,6,True,False,True,6.375058333333334,6.40782,0,6.35011,5,6.35011,5,6.40782,0,6.40782,0,6.40782,0,6.33678,4
TJS,wait,s05_k05,5,5.0,,2021-11,2021-11-08,2021-11-15,6,True,False,True,6.333621666666666,6.33518,0,6.40429,5,6.40429,5,6.33518,0,6.26451,2,6.26451,2,6.26451,2
TJS,wait,s05_k05,5,5.0,,2021-12,2021-12-06,2021-12-13,6,True,False,False,6.528948333333333,6.5223,0,6.50228,5,6.50228,5,6.50228,5,6.5223,0,6.5223,0,6.50228,5
TJS,wait,s05_k05,5,5.0,,2022-01,2022-01-10,2022-01-17,6,True,False,False,6.653925,6.65175,0,6.73222,5,6.73222,5,6.73222,5,6.59829,2,6.59829,2,6.59829,2
TJS,wait,s05_k05,5,5.0,,2022-02,2022-02-07,2022-02-14,6,True,False,False,6.6717,6.70036,0,6.78566,5,6.78566,5,6.78566,5,6.70036,0,6.70036,0,6.61568,3
TJS,wait,s05_k05,5,5.0,,2022-03,2022-03-05,2022-03-15,6,False,False,False,9.786288333333333,9.36393,0,9.89107,5,9.89107,5,9.89107,5,9.89107,5,9.89107,5,8.92959,1
TJS,wait,s05_k05,5,5.0,,2022-04,2022-04-05,2022-04-12,6,True,False,True,6.3445350000000005,6.66816,0,6.37019,5,6.37019,5,6.10038,2,6.10038,2,6.10038,2,5.98801,3
TJS,wait,s05_k05,5,5.0,,2022-05,2022-05-05,2022-05-16,6,True,False,True,5.275135,5.30114,0,5.07759,5,5.07759,5,5.30114,0,5.26543,3,5.26543,3,5.07759,5
TJS,wait,s05_k05,5,5.0,,2022-06,2022-06-06,2022-06-14,6,False,False,True,5.239811666666667,5.36047,0,5.1211,5,5.1211,5,5.36047,0,5.1211,5,5.1211,5,5.1131,4
