h,tol_bps,events,hit_min,base_min,hit_mean,base_mean,indicator
1,0.0,988,0.4342105263157895,0.5017778040834789,0.4342105263157895,0.5017778040834789,momentum
1,10.0,988,0.4959514170040486,0.5589997174914735,0.4959514170040486,0.5589997174914735,momentum
1,25.0,988,0.6012145748987854,0.6438148806438461,0.6012145748987854,0.6438148806438461,momentum
1,50.0,988,0.7095141700404858,0.755738380443878,0.7095141700404858,0.755738380443878,momentum
3,0.0,988,0.2965587044534413,0.3433966299209913,0.4483805668016194,0.4943104269716589,momentum
3,10.0,988,0.3441295546558704,0.38460716909315545,0.4949392712550607,0.5354335901946733,momentum
3,25.0,988,0.40384615384615385,0.4427297063019544,0.5597165991902834,0.5953727954056642,momentum
3,50.0,988,0.507085020242915,0.5438526741732285,0.6548582995951417,0.6846778213067982,momentum
5,0.0,988,0.23076923076923078,0.27993833340990526,0.44129554655870445,0.49473468514928115,momentum
5,10.0,988,0.2692307692307692,0.3149404117875835,0.4767206477732793,0.52342704619025,momentum
5,25.0,988,0.3208502024291498,0.366061700544193,0.5263157894736842,0.5718269198665776,momentum
5,50.0,988,0.4149797570850202,0.4554703842197558,0.6022267206477733,0.6453469892934839,momentum
10,0.0,988,0.1811740890688259,0.21267302947969702,0.46153846153846156,0.49189310672511877,momentum
10,10.0,988,0.21153846153846154,0.2411076681750984,0.4888663967611336,0.5125763663357338,momentum
10,25.0,988,0.25,0.27657618018416374,0.5313765182186235,0.5476005150725477,momentum
10,50.0,988,0.32186234817813764,0.34702711299065286,0.5910931174089069,0.6010054874948416,momentum
20,0.0,988,0.1255060728744939,0.15552066086387778,0.48785425101214575,0.4923729481397596,momentum
20,10.0,988,0.15283400809716596,0.17667740707621074,0.49696356275303644,0.5093243279281123,momentum
20,25.0,988,0.1771255060728745,0.2038121776201658,0.5192307692307693,0.529585864033421,momentum
20,50.0,988,0.22874493927125505,0.2562609198201824,0.5526315789473685,0.5649533068942717,momentum
1,0.0,623,0.4606741573033708,0.4771743086620325,0.4606741573033708,0.4771743086620325,level
1,10.0,623,0.5120385232744783,0.5334768896801311,0.5120385232744783,0.5334768896801311,level
1,25.0,623,0.6179775280898876,0.6218442535433207,0.6179775280898876,0.6218442535433207,level
1,50.0,623,0.7367576243980738,0.7466561302847549,0.7367576243980738,0.7466561302847549,level
3,0.0,623,0.3001605136436597,0.31021381113073215,0.46709470304975925,0.46246104391474857,level
3,10.0,623,0.33547351524879615,0.348690225783617,0.5152487961476726,0.5040201730266363,level
3,25.0,623,0.406099518459069,0.41137697980199767,0.5858747993579454,0.5696273881403591,level
3,50.0,623,0.5200642054574639,0.5152010924290896,0.6757624398073836,0.6647950415872822,level
5,0.0,623,0.23434991974317818,0.24408016755749085,0.47030497592295345,0.4577131066876605,level
5,10.0,623,0.25842696629213485,0.27293799519919415,0.5088282504012841,0.48722959638195007,level
5,25.0,623,0.32263242375601925,0.3303351525093773,0.565008025682183,0.5403348720329892,level
5,50.0,623,0.44301765650080255,0.4218673922333658,0.6420545746388443,0.6216705009313406,level
10,0.0,623,0.1797752808988764,0.1791170276164452,0.4654895666131621,0.44308969693106076,level
10,10.0,623,0.19903691813804172,0.20340643687187568,0.5024077046548957,0.465554069862522,level
10,25.0,623,0.2391653290529695,0.24217309871042295,0.5409309791332263,0.5040994932601691,level
10,50.0,623,0.33226324237560195,0.3098460762360883,0.6115569823434992,0.5651950486968159,level
20,0.0,623,0.13643659711075443,0.12564603158007573,0.47030497592295345,0.4219570870183471,level
20,10.0,623,0.15730337078651685,0.1423896258281248,0.48635634028892455,0.44356988598349234,level
20,25.0,623,0.18780096308186195,0.16896355742497088,0.5152487961476726,0.46546163554351117,level
20,50.0,623,0.24077046548956663,0.2142640666975545,0.5585874799357945,0.507270634299133,level
1,0.0,525,0.5219047619047619,0.4752390226808109,0.5219047619047619,0.4752390226808109,reversal
1,10.0,525,0.5219047619047619,0.4752390226808109,0.5219047619047619,0.4752390226808109,reversal
1,25.0,525,0.5219047619047619,0.4752390226808109,0.5219047619047619,0.4752390226808109,reversal
1,50.0,525,0.5219047619047619,0.4752390226808109,0.5219047619047619,0.4752390226808109,reversal
3,0.0,525,0.4780952380952381,0.4545170118625212,0.4780952380952381,0.4545170118625212,reversal
3,10.0,525,0.4780952380952381,0.4545170118625212,0.4780952380952381,0.4545170118625212,reversal
3,25.0,525,0.4780952380952381,0.4545170118625212,0.4780952380952381,0.4545170118625212,reversal
3,50.0,525,0.4780952380952381,0.4545170118625212,0.4780952380952381,0.4545170118625212,reversal
5,0.0,525,0.48,0.45325150088097255,0.48,0.45325150088097255,reversal
5,10.0,525,0.48,0.45325150088097255,0.48,0.45325150088097255,reversal
5,25.0,525,0.48,0.45325150088097255,0.48,0.45325150088097255,reversal
5,50.0,525,0.48,0.45325150088097255,0.48,0.45325150088097255,reversal
10,0.0,525,0.4723809523809524,0.42272031634157364,0.4723809523809524,0.42272031634157364,reversal
10,10.0,525,0.4723809523809524,0.42272031634157364,0.4723809523809524,0.42272031634157364,reversal
10,25.0,525,0.4723809523809524,0.42272031634157364,0.4723809523809524,0.42272031634157364,reversal
10,50.0,525,0.4723809523809524,0.42272031634157364,0.4723809523809524,0.42272031634157364,reversal
20,0.0,525,0.4342857142857143,0.40308653428572067,0.4342857142857143,0.40308653428572067,reversal
20,10.0,525,0.4342857142857143,0.40308653428572067,0.4342857142857143,0.40308653428572067,reversal
20,25.0,525,0.4342857142857143,0.40308653428572067,0.4342857142857143,0.40308653428572067,reversal
20,50.0,525,0.4342857142857143,0.40308653428572067,0.4342857142857143,0.40308653428572067,reversal
1,0.0,134,0.40298507462686567,0.5068033244929725,0.40298507462686567,0.5068033244929725,seasonality
1,10.0,134,0.47761194029850745,0.5681043846130674,0.47761194029850745,0.5681043846130674,seasonality
1,25.0,134,0.6119402985074627,0.6559255615782716,0.6119402985074627,0.6559255615782716,seasonality
1,50.0,134,0.7388059701492538,0.7689767723036898,0.7388059701492538,0.7689767723036898,seasonality
3,0.0,134,0.2537313432835821,0.3487234454842195,0.3582089552238806,0.5032188002047772,seasonality
3,10.0,134,0.291044776119403,0.3937190907750607,0.41044776119402987,0.5460581226285625,seasonality
3,25.0,134,0.3656716417910448,0.45569186501848624,0.4925373134328358,0.6078722765769156,seasonality
3,50.0,134,0.4626865671641791,0.5584239216194334,0.6417910447761194,0.7002392492320098,seasonality
5,0.0,134,0.22388059701492538,0.285467661765623,0.43283582089552236,0.5043998423251738,seasonality
5,10.0,134,0.23880597014925373,0.32461942330908633,0.44776119402985076,0.5342014278382148,seasonality
5,25.0,134,0.29850746268656714,0.3800656461067609,0.48507462686567165,0.5851244794886531,seasonality
5,50.0,134,0.373134328358209,0.47066014097290615,0.6119402985074627,0.6607346465593144,seasonality
10,0.0,134,0.16417910447761194,0.21541613331129628,0.4925373134328358,0.49958380360690513,seasonality
10,10.0,134,0.1791044776119403,0.2464137408999659,0.5223880597014925,0.5209293390224721,seasonality
10,25.0,134,0.23134328358208955,0.2845074249407401,0.5671641791044776,0.5594255625894917,seasonality
10,50.0,134,0.291044776119403,0.35859953404266354,0.6044776119402985,0.6135657507387935,seasonality
20,0.0,134,0.13432835820895522,0.15802177454799426,0.5373134328358209,0.4955139709414317,seasonality
20,10.0,134,0.15671641791044777,0.18154844549737556,0.5447761194029851,0.5131577992360142,seasonality
20,25.0,134,0.208955223880597,0.21150978299322712,0.5522388059701493,0.5355588821843543,seasonality
20,50.0,134,0.26119402985074625,0.2651934103820706,0.6268656716417911,0.5734211104135897,seasonality
1,0.0,496,0.4475806451612903,0.4709245912376807,0.4475806451612903,0.4709245912376807,dip_vs_trend
1,10.0,496,0.5020161290322581,0.5196628188660122,0.5020161290322581,0.5196628188660122,dip_vs_trend
1,25.0,496,0.5564516129032258,0.6004430052331714,0.5564516129032258,0.6004430052331714,dip_vs_trend
1,50.0,496,0.6391129032258065,0.7087546702730186,0.6391129032258065,0.7087546702730186,dip_vs_trend
3,0.0,496,0.29435483870967744,0.30523302703630556,0.4375,0.4546439931472695,dip_vs_trend
3,10.0,496,0.3286290322580645,0.3388118846375275,0.4576612903225806,0.49254898400902597,dip_vs_trend
3,25.0,496,0.36693548387096775,0.392949299902315,0.5181451612903226,0.5447491516199163,dip_vs_trend
3,50.0,496,0.42943548387096775,0.47928414621068044,0.592741935483871,0.6252195148515177,dip_vs_trend
5,0.0,496,0.23588709677419356,0.24328832826299931,0.4254032258064516,0.4440706925033523,dip_vs_trend
5,10.0,496,0.26814516129032256,0.27081803990493397,0.44556451612903225,0.4688886559145717,dip_vs_trend
5,25.0,496,0.3004032258064516,0.3161425622695886,0.4939516129032258,0.5116036898104983,dip_vs_trend
5,50.0,496,0.3588709677419355,0.39258884843187297,0.5544354838709677,0.5798900067456344,dip_vs_trend
10,0.0,496,0.16129032258064516,0.17209151490509383,0.4576612903225806,0.42697575901907625,dip_vs_trend
10,10.0,496,0.1935483870967742,0.1948049734758616,0.4637096774193548,0.4446979628850802,dip_vs_trend
10,25.0,496,0.21169354838709678,0.22366840367537535,0.4879032258064516,0.4782156346400297,dip_vs_trend
10,50.0,496,0.26411290322580644,0.28326385844883745,0.5181451612903226,0.5258465690538685,dip_vs_trend
20,0.0,496,0.125,0.11558679665699038,0.4173387096774194,0.40796408689212954,dip_vs_trend
20,10.0,496,0.15120967741935484,0.13033474280856105,0.4334677419354839,0.42413812268372253,dip_vs_trend
20,25.0,496,0.16330645161290322,0.15413724689022307,0.44556451612903225,0.44457243996876744,dip_vs_trend
20,50.0,496,0.19153225806451613,0.19419378514120875,0.46774193548387094,0.47584875646624797,dip_vs_trend
1,0.0,272,0.3639705882352941,0.4682589301917829,0.3639705882352941,0.4682589301917829,ml_localmin
1,10.0,272,0.4264705882352941,0.5213318780879712,0.4264705882352941,0.5213318780879712,ml_localmin
1,25.0,272,0.5073529411764706,0.6023836681685298,0.5073529411764706,0.6023836681685298,ml_localmin
1,50.0,272,0.6397058823529411,0.7158707859107891,0.6397058823529411,0.7158707859107891,ml_localmin
3,0.0,272,0.25,0.3000420595219988,0.41544117647058826,0.4508454164912437,ml_localmin
3,10.0,272,0.28308823529411764,0.33658805529808555,0.4485294117647059,0.48854567662319137,ml_localmin
3,25.0,272,0.34191176470588236,0.3927969128467878,0.5147058823529411,0.5484939789117297,ml_localmin
3,50.0,272,0.41544117647058826,0.48095759180600905,0.5919117647058824,0.6297771796413761,ml_localmin
5,0.0,272,0.19852941176470587,0.2373122358652011,0.4227941176470588,0.444429893724838,ml_localmin
5,10.0,272,0.22058823529411764,0.2661338004831257,0.4485294117647059,0.4713551352070687,ml_localmin
5,25.0,272,0.26838235294117646,0.31521854469222094,0.5036764705882353,0.5179249618890776,ml_localmin
5,50.0,272,0.34558823529411764,0.39292016437876476,0.5514705882352942,0.5901923966565331,ml_localmin
10,0.0,272,0.16176470588235295,0.17154181581898117,0.4632352941176471,0.429512346234998,ml_localmin
10,10.0,272,0.17647058823529413,0.19524083641322726,0.5036764705882353,0.4507320417431167,ml_localmin
10,25.0,272,0.21323529411764705,0.2273134122136633,0.5404411764705882,0.4839342042496658,ml_localmin
10,50.0,272,0.27205882352941174,0.28564401415220514,0.5698529411764706,0.5376705551629231,ml_localmin
20,0.0,272,0.10661764705882353,0.11780026477116522,0.45955882352941174,0.404665492163408,ml_localmin
20,10.0,272,0.11397058823529412,0.13270796181829628,0.48161764705882354,0.4241972321135949,ml_localmin
20,25.0,272,0.13970588235294118,0.15551272888800738,0.5147058823529411,0.44531634836175576,ml_localmin
20,50.0,272,0.17279411764705882,0.19448775653213665,0.5477941176470589,0.48492533245428276,ml_localmin
