corridor,day_of_month,n_days,n_days_detrended,dev_from_month_mean_bps,ci_lo,ci_hi,dev_detrended_bps,detrended_ci_lo,detrended_ci_hi,in_tax_window
TJS,1,41,41,-91.6424216552175,-180.43342790922225,-1.312660938006375,-86.23579047732343,-214.24554870479378,6.336399258174202,False
TJS,2,42,42,-27.67289926063285,-98.67561036506953,47.133685690782286,-7.225716251142087,-63.67487715023227,45.52879178689647,False
TJS,3,40,40,46.0912279061234,-54.17981003116782,147.29762728758416,4.929793179234865,-40.648919505872016,47.89809792564796,False
TJS,4,39,39,34.05159271189456,-57.52887208799355,129.9872185579346,-13.333609054892646,-64.35378065611305,44.71575457609385,False
TJS,5,43,43,19.397900345013213,-56.630408536196356,102.42539643168523,-3.1578314464266883,-35.70895408807637,28.729004074324912,False
TJS,6,41,41,62.93926470073292,-14.93419681556945,143.88446186420842,39.93642908389336,-9.12760414819944,98.99867496648612,False
TJS,7,41,41,57.47735537256031,-5.946779781615845,122.05097509980303,46.94029763951319,0.9712952249605976,96.32709657916202,False
TJS,8,38,38,-6.908893002280518,-68.21173122311536,49.310653296777566,6.697694379371022,-42.36337317155428,48.61348315464676,False
TJS,9,41,41,7.834039409981113,-50.43939368586336,61.878648236680675,-2.9842284057383917,-50.457929303060034,41.60432948408072,False
TJS,10,44,44,61.0351937145171,-26.313806824411657,174.57496219313964,41.07776507950595,-24.65433630218783,125.09243851895089,False
TJS,11,46,46,63.60604544723623,-19.974590410948956,166.34785443386605,59.40270873439833,-6.715193433240407,138.6940185887867,False
TJS,12,44,44,5.180249277905397,-45.72741612241226,52.22000300215759,7.40431200750945,-26.766143538926322,45.195915440575675,False
TJS,13,45,45,10.005040031832113,-36.09122699846704,52.41669248323428,1.589902786008144,-35.764566526281364,39.98146335328405,False
TJS,14,45,45,22.760467384315124,-34.88136873312127,85.8489300528747,8.788167629824455,-37.12063446200137,61.92844161160158,False
TJS,15,48,48,7.5399463008401355,-46.33464124886654,81.31910146711063,-0.1225494063458908,-47.48351727264649,63.5533314643328,False
TJS,16,47,47,-24.036469199158535,-61.517111973906665,12.781717397189883,-32.49768951341949,-72.04205906462582,4.751385959819834,False
TJS,17,47,47,0.9040853884473176,-36.047129325477336,38.059511858150984,0.047201050307651406,-42.36302296030014,40.87897525336064,False
TJS,18,47,47,-34.22320386270286,-75.52681454112974,6.041481308296597,-32.30439350759155,-80.17843054115694,13.282857217294563,False
TJS,19,48,48,-13.953019885092878,-66.38050763463372,34.77301297977609,-13.513326360843395,-64.0533544538184,34.369302279928604,False
TJS,20,48,48,-18.24467065826804,-86.84576640314285,37.507912729040285,-7.539619198895082,-71.61781731767819,41.08512084181669,True
TJS,21,46,46,-14.267651779954507,-62.99929525159835,37.039411436575826,-5.031673029479445,-51.828727691916725,43.77523332875333,True
