window,pct,stall_days,rearm,n_events,freq_per_week,hit_mean,base_mean,lift_mean,hit_min,lift_min,benefit_excess_bps,empty_month_share,corridor,on_frontier
20,0.05,0,1,112,0.47746650426309384,0.6160714285714286,0.4972612469913859,1.2389290987361032,0.19642857142857142,0.9993566339492518,51.952236003362486,0.42592592592592593,AMD,False
20,0.05,0,3,62,0.26431181485992694,0.6129032258064516,0.503596839698793,1.217051374216399,0.16129032258064516,0.8313711012681595,32.922584958104906,0.42592592592592593,AMD,False
20,0.05,0,5,46,0.19610231425091354,0.6304347826086957,0.5103359006524388,1.2353330067563666,0.08695652173913043,0.44712488332813577,19.37681210088873,0.42592592592592593,AMD,False
20,0.05,3,1,0,0.0,,,,,,,1.0,AMD,False
20,0.05,3,3,0,0.0,,,,,,,1.0,AMD,False
20,0.05,3,5,0,0.0,,,,,,,1.0,AMD,False
20,0.1,0,1,186,0.7929354445797808,0.5698924731182796,0.49067695969113706,1.1614412738617395,0.21505376344086022,1.1321749200047462,40.5995153892736,0.35185185185185186,AMD,False
20,0.1,0,3,86,0.36662606577344703,0.5581395348837209,0.49416525556366353,1.1294592822943126,0.19767441860465115,1.0392100529907717,29.180197190073432,0.35185185185185186,AMD,False
20,0.1,0,5,64,0.2728380024360536,0.546875,0.5004460250766634,1.0927751897244546,0.21875,1.14662657430694,35.382468283237586,0.35185185185185186,AMD,False
20,0.1,3,1,37,0.1577344701583435,0.32432432432432434,0.46185155388307514,0.7022263357079276,0.13513513513513514,0.7384740344116458,-49.02588178049383,0.5740740740740741,AMD,False
20,0.1,3,3,30,0.12789281364190014,0.4,0.46552826608807246,0.859238910155296,0.16666666666666666,0.9103744878882912,-17.10500672445441,0.5740740740740741,AMD,False
20,0.1,3,5,29,0.12362971985383679,0.41379310344827586,0.47450757853496445,0.872047406968412,0.1724137931034483,0.9189549301853157,-19.641157027144754,0.5740740740740741,AMD,False
20,0.15,0,1,251,1.0700365408038977,0.5338645418326693,0.48525776236486895,1.1001669282546223,0.17928286852589642,0.9569939181632021,27.81930937149834,0.3333333333333333,AMD,False
20,0.15,0,3,109,0.4646772228989038,0.47706422018348627,0.4804267886545022,0.9930008722443783,0.1559633027522936,0.8541890314616452,13.92451135479989,0.3333333333333333,AMD,False
20,0.15,0,5,77,0.328258221680877,0.4935064935064935,0.4909366533855395,1.00523456560685,0.23376623376623376,1.2327181838316412,29.090804362476398,0.35185185185185186,AMD,False
20,0.15,3,1,79,0.3367844092570037,0.4177215189873418,0.4737845707063559,0.8816697394019589,0.12658227848101267,0.6874317413990788,-12.869239671234153,0.42592592592592593,AMD,False
20,0.15,3,3,51,0.21741778319123023,0.4117647058823529,0.4668529073455958,0.8820009459157916,0.1568627450980392,0.8827248525042166,7.8320822888740915,0.4444444444444444,AMD,False
20,0.15,3,5,46,0.19610231425091354,0.43478260869565216,0.4772457244464634,0.9110246282456226,0.17391304347826086,0.9563367485546396,-4.865251571288954,0.46296296296296297,AMD,False
20,0.2,0,1,306,1.3045066991473813,0.5196078431372549,0.4884377460638557,1.063815905557234,0.17973856209150327,0.948331631942896,23.660714958645084,0.3148148148148148,AMD,False
