window,pct,stall_days,rearm,n_events,freq_per_week,hit_mean,base_mean,lift_mean,hit_min,lift_min,benefit_excess_bps,empty_month_share,corridor,on_frontier
20,0.05,0,1,123,0.5243605359317906,0.5121951219512195,0.4501464119383664,1.137841174265205,0.18699186991869918,1.0806555379883072,41.551170048598564,0.42592592592592593,KZT,False
20,0.05,0,3,62,0.26431181485992694,0.5161290322580645,0.4652024798367619,1.109471799116747,0.14516129032258066,0.8229731279257196,25.0313738557236,0.42592592592592593,KZT,False
20,0.05,0,5,49,0.20889159561510354,0.4897959183673469,0.47071485651107037,1.0405363493255875,0.1836734693877551,1.0416703729418715,25.600260032121486,0.42592592592592593,KZT,False
20,0.05,3,1,0,0.0,,,,,,,1.0,KZT,False
20,0.05,3,3,0,0.0,,,,,,,1.0,KZT,False
20,0.05,3,5,0,0.0,,,,,,,1.0,KZT,False
20,0.1,0,1,188,0.8014616321559075,0.5212765957446809,0.4527947065388306,1.1512426894945986,0.18085106382978725,1.0352315409670252,34.252271854175774,0.3333333333333333,KZT,False
20,0.1,0,3,89,0.379415347137637,0.550561797752809,0.46145395576707093,1.193102347205183,0.16853932584269662,0.9520239985860695,24.48170782030503,0.3333333333333333,KZT,False
20,0.1,0,5,63,0.2685749086479903,0.5079365079365079,0.4707633038378717,1.0789636825886464,0.14285714285714285,0.7851510730970263,15.867474572099738,0.35185185185185186,KZT,False
20,0.1,3,1,32,0.1364190012180268,0.5,0.4525351282875516,1.1048866016038608,0.1875,1.0440256784475577,12.247199152797787,0.5370370370370371,KZT,False
20,0.1,3,3,29,0.12362971985383679,0.5517241379310345,0.4773671601962514,1.1557647528669839,0.20689655172413793,1.0824149559427796,13.663979674816131,0.5370370370370371,KZT,False
20,0.1,3,5,28,0.11936662606577346,0.5357142857142857,0.47271269064282084,1.133276716108027,0.17857142857142858,0.9330890651103293,9.10393034533055,0.5555555555555556,KZT,False
20,0.15,0,1,281,1.1979293544457978,0.5195729537366548,0.45973570649095713,1.1301557534054072,0.18149466192170818,1.053645632660379,35.07883674312824,0.2222222222222222,KZT,False
20,0.15,0,3,123,0.5243605359317906,0.5040650406504065,0.4585149616564695,1.0993426230397783,0.16260162601626016,0.9643202740560368,24.422873734119317,0.2222222222222222,KZT,False
20,0.15,0,5,85,0.3623629719853837,0.49411764705882355,0.4611972126578352,1.0713803845675283,0.12941176470588237,0.7626935743890199,27.730484764990695,0.24074074074074073,KZT,False
20,0.15,3,1,87,0.37088915956151036,0.5402298850574713,0.4784617547750556,1.1290973200385794,0.21839080459770116,1.2529790863759713,45.6984254544831,0.25925925925925924,KZT,False
20,0.15,3,3,62,0.26431181485992694,0.5,0.4602527045849597,1.0863597215596659,0.20967741935483872,1.2552306950158219,34.05805879778973,0.2962962962962963,KZT,False
20,0.15,3,5,54,0.23020706455542023,0.5,0.4693642526221797,1.0652707299430426,0.2037037037037037,1.2045141537278024,24.654958098635916,0.3148148148148148,KZT,False
20,0.2,0,1,324,1.3812423873325215,0.5092592592592593,0.4624698408913597,1.1011729073569818,0.18209876543209877,1.048557371074072,30.40402671800817,0.18518518518518517,KZT,False
20,0.2,0,3,139,0.592570036540804,0.4892086330935252,0.4664152903408906,1.0488692013848335,0.18705035971223022,1.07348638847859,23.70791021661282,0.18518518518518517,KZT,False
20,0.2,0,5,95,0.4049939098660171,0.5578947368421052,0.47226906762589593,1.1813069605567244,0.18947368421052632,1.0698760484494447,35.99400816302655,0.18518518518518517,KZT,False
20,0.2,3,1,119,0.5073081607795372,0.5126050420168067,0.48055061835966584,1.0667035322242575,0.20168067226890757,1.155454514922194,33.4498696897042,0.18518518518518517,KZT,False
20,0.2,3,3,76,0.32399512789281365,0.5,0.4687664739573034,1.0666291805790304,0.21052631578947367,1.2208631821026887,31.970332018924637,0.2037037037037037,KZT,False
