indicator,k,scope,country,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
holiday:k1:all,1,all,TJ,TJS,0,2021-01…2021-06,BUY_NOW,20,25.0,5,5,0.4,0.15254237288135594,2.6222222222222222,,,0.6,0.5338983050847458,1.1238095238095238,84.46281419213486,-2.594269522656172,87.05708371479103,,,,,,,84.75355358420434,48.63662704303473,0.19337016574585636,0.25,0.7245210472598003,53.0,0.5
holiday:k1:all,1,all,TJ,TJS,1,2021-07…2021-12,BUY_NOW,20,25.0,4,4,0.25,0.17829457364341086,1.4021739130434783,,,0.5,0.5581395348837209,0.8958333333333334,85.3407007166504,33.342203091136966,51.99849762551344,,,,,,,6.97416966099901,26.92735153426912,0.15217391304347827,0.0,0.03225566712736156,57.0,0.3333333333333333
holiday:k1:all,1,all,TJ,TJS,2,2022-01…2022-06,BUY_NOW,20,25.0,5,5,0.0,0.1452991452991453,0.0,,,0.2,0.4700854700854701,0.4254545454545455,-688.2359170565428,-53.00503542290707,-635.2308816336357,,,,,,,-330.9074826443568,-417.3112654524954,0.19337016574585636,0.25,0.7063766073618487,54.0,0.3333333333333333
holiday:k1:all,1,all,TJ,TJS,3,2022-07…2022-12,BUY_NOW,20,25.0,4,4,0.0,0.2846153846153846,0.0,,,0.0,0.6230769230769231,0.0,-219.13147503556775,163.51128752215095,-382.6427625577187,,,,,,,-326.0842258310406,-335.09958611591003,0.15217391304347827,0.0,0.045619792334615966,62.0,0.3333333333333333
holiday:k1:all,1,all,TJ,TJS,4,2023-01…2023-06,BUY_NOW,20,25.0,5,5,0.2,0.4915254237288136,0.4068965517241379,,,0.8,0.7627118644067796,1.048888888888889,233.1427767870322,194.18642689935936,38.95634988767284,,,,,,,114.03677534915337,181.18629070590276,0.19337016574585636,0.0,0.5492540927811237,57.0,0.3333333333333333
holiday:k1:all,1,all,TJ,TJS,5,2023-07…2023-12,BUY_NOW,20,25.0,3,3,0.0,0.24031007751937986,0.0,,,0.0,0.5426356589147286,0.0,-166.55841426833257,-14.369798255992611,-152.18861601233996,,,,,,,-36.953608449132496,-149.43909865972384,0.1141304347826087,0.0,0.012658227848101266,67.0,0.5
holiday:k1:all,1,all,TJ,TJS,6,2024-01…2024-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.19658119658119658,0.8478260869565217,,,0.6666666666666666,0.5555555555555556,1.2,-14.659556739370176,16.838282384351277,-31.497839123721455,,,,,,,-6.679372601535725,36.33641551824643,0.23076923076923078,0.0,0.4279588863510496,58.0,0.3333333333333333
holiday:k1:all,1,all,TJ,TJS,7,2024-07…2024-12,BUY_NOW,20,25.0,3,3,0.3333333333333333,0.29770992366412213,1.1196581196581197,,,0.6666666666666666,0.6717557251908397,0.9924242424242423,158.19943907006254,95.96472466495561,62.23471440510693,,,,,,,80.50264263314973,68.03998408288122,0.1141304347826087,0.0,0.037037037037037035,67.0,0.5
holiday:k1:all,1,all,TJ,TJS,8,2025-01…2025-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.19658119658119658,0.8478260869565217,,,0.6666666666666666,0.4700854700854701,1.4181818181818182,-31.863844463046473,-112.63640534071882,80.77256087767235,,,,,,,18.852752174592187,-78.30985051602345,0.23204419889502761,0.0,0.4912444130696194,57.0,0.5
holiday:k1:all,1,all,TJ,TJS,9,2025-07…2025-12,BUY_NOW,20,25.0,3,3,0.0,0.2,0.0,,,0.3333333333333333,0.5692307692307692,0.5855855855855856,-88.0033320502808,24.64574363935889,-112.64907568963969,,,,,,,-82.26921233486932,-30.11387889748085,0.1141304347826087,0.0,0.025,69.0,0.5
holiday:k1:all,1,all,TJ,TJS,10,2026-01…2026-06,BUY_NOW,20,25.0,5,5,0.0,0.20512820512820512,0.0,,,0.6,0.5042735042735043,1.1898305084745762,-67.13349359656418,12.647688147121416,-79.7811817436856,,,,,,,-152.47373456294855,-29.819074566422188,0.19337016574585636,0.0,0.5582421956735901,53.0,0.5
holiday:k3:all,3,all,TJ,TJS,0,2021-01…2021-06,BUY_NOW,20,25.0,14,14,0.35714285714285715,0.15254237288135594,2.3412698412698414,,,0.6428571428571429,0.5338983050847458,1.2040816326530612,100.35440213991738,-2.594269522656172,102.94867166257356,,,,,,,98.4888173588372,59.58090150064329,0.5414364640883977,0.7692307692307693,1.7638342073763937,51.0,0.5
holiday:k3:all,3,all,TJ,TJS,1,2021-07…2021-12,BUY_NOW,20,25.0,12,12,0.25,0.17829457364341086,1.4021739130434783,,,0.5833333333333334,0.5581395348837209,1.045138888888889,109.14915402517896,33.342203091136966,75.80695093404199,,,,,,,32.50457782138708,1.1349095515742864,0.4565217391304348,0.7272727272727273,1.4820093195040345,55.0,0.3333333333333333
holiday:k3:all,3,all,TJ,TJS,2,2022-01…2022-06,BUY_NOW,20,25.0,15,15,0.0,0.1452991452991453,0.0,,,0.2,0.4700854700854701,0.4254545454545455,-713.726497622666,-53.00503542290707,-660.7214621997589,,,,,,,-393.1116011621535,-412.71413688816415,0.580110497237569,0.7857142857142857,1.8188641144040054,52.0,0.3333333333333333
holiday:k3:all,3,all,TJ,TJS,3,2022-07…2022-12,BUY_NOW,20,25.0,12,12,0.0,0.2846153846153846,0.0,,,0.0,0.6230769230769231,0.0,-289.57141443846797,163.51128752215095,-453.0827019606189,,,,,,,-414.9184129594435,-349.1099798469972,0.4565217391304348,0.7272727272727273,1.4929075626701582,60.0,0.3333333333333333
holiday:k3:all,3,all,TJ,TJS,4,2023-01…2023-06,BUY_NOW,20,25.0,15,15,0.26666666666666666,0.4915254237288136,0.5425287356321838,,,0.8,0.7627118644067796,1.048888888888889,200.96095428481098,194.18642689935936,6.77452738545162,,,,,,,86.21134010161485,102.91290237321279,0.580110497237569,0.7142857142857143,1.6324276230811392,53.0,0.3333333333333333
holiday:k3:all,3,all,TJ,TJS,5,2023-07…2023-12,BUY_NOW,20,25.0,9,9,0.0,0.24031007751937986,0.0,,,0.0,0.5426356589147286,0.0,-205.51447081108378,-14.369798255992611,-191.14467255509118,,,,,,,-72.6087100689326,-184.85089371179618,0.3423913043478261,0.75,1.561179330602823,65.0,0.5
holiday:k3:all,3,all,TJ,TJS,6,2024-01…2024-06,BUY_NOW,20,25.0,18,18,0.16666666666666666,0.19658119658119658,0.8478260869565217,,,0.6666666666666666,0.5555555555555556,1.2,11.845043915853871,16.838282384351277,-4.993238468497406,,,,,,,20.803674032193,-5.814605368667636,0.6923076923076923,0.7058823529411765,1.4231108335068088,56.0,0.3333333333333333
