rule,baseline,blocks,events_rule,events_base,lift_rule,lift_base,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,verdict_lift,benefit_rule,benefit_base,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,verdict_benefit,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,verdict_lift_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_benefit_by_window
holiday:k1:all,calendar:all-days:all,55,269,6765,0.7613929231830416,1.0,-0.23860707681695836,-0.3427579057322883,-0.14173297071335164,база,-91.5755746443245,0.0,-91.5755746443245,-144.87848444700086,-44.13718745998508,база,11,-0.37698599119010306,-0.1380001094679576,база,-201.78574341023108,-14.424732074361847,база
holiday:k1:all,calendar:day25:first,55,269,330,0.7613929231830416,1.1160804975942082,-0.3546875744111666,-0.4756137166629156,-0.23965950714910128,база,-91.5755746443245,70.55920978725135,-162.13478443157584,-230.094810129396,-102.65361094783235,база,11,-0.5821813391448966,-0.1613539697315622,база,-311.1259675384855,-61.15607990956851,база
holiday:k1:all,calendar:day25:all,55,269,1485,0.7613929231830416,1.015204965093513,-0.25381204191047146,-0.3576232880444411,-0.1538282195252514,база,-91.5755746443245,10.018404639808752,-101.59397928413325,-146.63962152080407,-59.818351482268476,база,11,-0.38705460432606215,-0.1311811542365014,база,-194.80838783588243,-32.22517502011098,база
holiday:k1:all,seasonality,55,269,134,0.7613929231830416,1.0311448924491056,-0.26975196926606393,-0.43679739524818106,-0.11203661538238326,база,-91.5755746443245,43.5513928125129,-135.1269674568374,-214.20731856800523,-69.7749122760464,база,11,-0.5461324421863469,-0.03208987341930762,база,-268.19989074507345,-27.363675184465063,база
holiday:k1:fixed,calendar:all-days:all,55,230,6765,0.7936447532775492,1.0,-0.20635524672245076,-0.3211887561887715,-0.09706885917687022,база,-85.45559607579472,0.0,-85.45559607579472,-142.9150889219658,-35.541936009405994,база,11,-0.35782097924096185,-0.0829445587666789,база,-193.42029740954297,-8.022990847314079,база
holiday:k1:fixed,calendar:day25:first,55,230,330,0.7936447532775492,1.1160804975942082,-0.322435744316659,-0.45493554434852346,-0.1911819394745938,база,-85.45559607579472,70.55920978725135,-156.01480586304606,-227.43527230843782,-94.82472810369808,база,11,-0.5603699774547636,-0.10002034509453357,база,-304.2074572361673,-52.660187529266366,база
holiday:k1:fixed,calendar:day25:all,55,230,1485,0.7936447532775492,1.015204965093513,-0.22156021181596386,-0.34074876631551526,-0.10733821149561748,база,-85.45559607579472,10.018404639808752,-95.47400071560347,-144.54527008772365,-51.30929673089114,база,11,-0.37725452838161955,-0.06850670009433524,база,-188.9472808784066,-25.257970605571675,база
holiday:k1:fixed,seasonality,55,230,134,0.7936447532775492,1.0311448924491056,-0.23750013917155632,-0.41527023882672115,-0.06667693715225016,база,-85.45559607579472,43.5513928125129,-129.0069888883076,-208.49865551805505,-62.533471448310195,база,11,-0.5314199113383521,0.030330268152437265,разницы нет,-263.7430499733851,-17.932473774863404,база
holiday:k1:major,calendar:all-days:all,55,116,6765,0.7019177015977934,1.0,-0.29808229840220657,-0.43219367725595054,-0.16594159378584156,база,-115.57200455744774,0.0,-115.57200455744774,-195.66572294457018,-44.96355368847772,база,11,-0.4842861201419655,-0.11819732850614822,база,-275.98557274453987,3.5041842722473286,разницы нет
holiday:k1:major,calendar:day25:first,55,116,330,0.7019177015977934,1.1160804975942082,-0.4141627959964148,-0.5667581969573734,-0.2626599972427851,база,-115.57200455744774,70.55920978725135,-186.1312143446991,-278.87242560771074,-104.94401951988144,база,11,-0.6993653938522356,-0.15977719871866577,база,-383.1313807623584,-44.73464376815738,база
holiday:k1:major,calendar:day25:all,55,116,1485,0.7019177015977934,1.015204965093513,-0.31328726349571967,-0.44715645475628146,-0.1794919695279638,база,-115.57200455744774,10.018404639808752,-125.59040919725649,-197.59499641538554,-60.740248340097246,база,11,-0.4936621099921041,-0.11807045230960876,база,-265.46941141212415,-18.62225716510511,база
holiday:k1:major,seasonality,55,116,134,0.7019177015977934,1.0311448924491056,-0.32922719085131213,-0.526789975369923,-0.13098398173296202,база,-115.57200455744774,43.5513928125129,-159.12339736996063,-260.34635598466497,-71.84445229344558,база,11,-0.6561001358116274,-0.019179366089194013,база,-346.6148155536306,-15.214706579009029,база
holiday:k3:all,calendar:all-days:all,55,782,6765,0.7961049598877823,1.0,-0.2038950401122177,-0.29631797898982953,-0.11732532676083159,база,-86.41992153468163,0.0,-86.41992153468163,-141.45125340771733,-36.96940864070697,база,11,-0.3364162969738319,-0.09695673904398329,база,-200.34572567247886,-3.911401596027668,база
holiday:k3:all,calendar:day25:first,55,782,330,0.7961049598877823,1.1160804975942082,-0.31997553770642595,-0.42798756590054965,-0.21362200181353197,база,-86.41992153468163,70.55920978725135,-156.97913132193298,-227.03751671636292,-94.75904685454404,база,11,-0.5375515882731216,-0.13237733849092298,база,-311.4151240972872,-48.63512062156325,база
holiday:k3:all,calendar:day25:all,55,782,1485,0.7961049598877823,1.015204965093513,-0.2191000052057308,-0.3097751928070593,-0.12959072425998563,база,-86.41992153468163,10.018404639808752,-96.43832617449038,-143.60225211709835,-52.61747191457551,база,11,-0.34074319811475323,-0.09627242341228862,база,-194.54658638085945,-19.97040878861281,база
holiday:k3:all,seasonality,55,782,134,0.7961049598877823,1.0311448924491056,-0.23503993256132327,-0.39105831755951087,-0.08238670033011147,база,-86.41992153468163,43.5513928125129,-129.97131434719455,-209.06071952374757,-60.30196502068908,база,11,-0.5158418032876516,0.0165433302354461,разницы нет,-266.8398692059718,-18.626544967215562,база
holiday:k3:fixed,calendar:all-days:all,55,673,6765,0.8245491230893912,1.0,-0.1754508769106088,-0.27328257239607373,-0.07989148083291372,база,-79.37521893326804,0.0,-79.37521893326804,-135.1803408956575,-29.870046613882664,база,11,-0.3135569240024274,-0.057923899464996695,база,-188.45300477963477,-0.13807257300778364,база
holiday:k3:fixed,calendar:day25:first,55,673,330,0.8245491230893912,1.1160804975942082,-0.29153137450481703,-0.413464969524806,-0.17128537957917014,база,-79.37521893326804,70.55920978725135,-149.9344287205194,-219.60780548316714,-87.980374587558,база,11,-0.5160342054473668,-0.07842829655883218,база,-297.8706182380476,-43.35357887140021,база
holiday:k3:fixed,calendar:day25:all,55,673,1485,0.8245491230893912,1.015204965093513,-0.1906558420041219,-0.29104193935561085,-0.08886560048298099,база,-79.37521893326804,10.018404639808752,-89.3936235730768,-136.55972549304204,-44.29465957216341,база,11,-0.32802254718404816,-0.04431319534919359,база,-183.43232876881473,-15.465294537945878,база
holiday:k3:fixed,seasonality,55,673,134,0.8245491230893912,1.0311448924491056,-0.20659576935971435,-0.36774020146243114,-0.047650777953282264,база,-79.37521893326804,43.5513928125129,-122.92661174578095,-199.17068212734176,-57.375731037906945,база,11,-0.49694139622531514,0.06734201952475301,разницы нет,-257.44850037572905,-12.089412047344746,база
holiday:k3:major,calendar:all-days:all,55,342,6765,0.796607985478079,1.0,-0.20339201452192102,-0.338556389911763,-0.06615688420480922,база,-100.74916220282581,0.0,-100.74916220282581,-190.97522531686494,-20.11091028156535,база,11,-0.4297232662346612,0.02947893867973692,разницы нет,-283.87338027315883,39.57633637835864,разницы нет
holiday:k3:major,calendar:day25:first,55,342,330,0.796607985478079,1.1160804975942082,-0.31947251211612926,-0.4744676312352517,-0.15936145305051028,база,-100.74916220282581,70.55920978725135,-171.30837199007715,-274.25550074150664,-78.84532824121504,база,11,-0.6286889122529525,-0.03558347024875963,база,-393.4848061835222,-6.068091299403636,база
holiday:k3:major,calendar:day25:all,55,342,1485,0.796607985478079,1.015204965093513,-0.21859697961543412,-0.35116550399109553,-0.08158642028814812,база,-100.74916220282581,10.018404639808752,-110.76756684263457,-193.64163637964688,-34.5952260503893,база,11,-0.42513706943933766,0.008601567140217772,разницы нет,-274.14964541361206,18.57339429710264,разницы нет
