corridor,pairing,n_reversal,n_paired,paired_share,days_since_buy_median,regret_median_bps,regret_mean_bps,regret_ci_lo,regret_ci_hi,share_regret_positive,share_regret_gt_tol,hit_fwd,base_fwd,lift_fwd,hit_rest_of_month,base_rest_of_month,lift_rest_of_month
AMD,events,93,93,1.0,2.0,52.033654599035195,89.91855861839672,53.04998560341973,128.88555487765245,0.7204301075268817,0.5483870967741935,0.44086021505376344,0.3889009359781893,1.1336054359058887,0.5402298850574713,0.4135785871429136,1.3062327254162043
KGS,events,115,115,1.0,2.0,61.614260407441,124.41839313457993,78.73912785833983,170.5783616360189,0.7478260869565218,0.6782608695652174,0.3826086956521739,0.39762012327364066,0.9622468111073544,0.4074074074074074,0.41436715914895816,0.983203901207217
KZT,events,106,106,1.0,1.0,61.70839836895037,85.96917918320405,54.996725493475665,119.66879006755015,0.7358490566037735,0.6415094339622641,0.39622641509433965,0.37487966796993705,1.0569429311544163,0.39,0.40213208296753533,0.9698306017316336
TJS,events,99,99,1.0,1.0,59.93383266066354,105.63013447884097,64.22413017922467,151.08681562373522,0.7474747474747475,0.6262626262626263,0.494949494949495,0.47534364516123545,1.041245633528159,0.44680851063829785,0.45197415901154375,0.988570920991273
UZS,events,112,112,1.0,1.0,40.61202471367764,80.7911087512784,41.50894254212685,125.62409113496538,0.6875,0.5357142857142857,0.4642857142857143,0.3833041393016735,1.2112723727209884,0.47572815533980584,0.4182294923118946,1.137481129582874
all,events,525,525,1.0,1.0,54.31133769643548,97.69383171229649,78.91727269872705,116.54145626808817,0.7276190476190476,0.6076190476190476,0.4342857142857143,0.40308653428572067,1.0774007002126214,0.4491869918699187,0.41973456752334304,1.0701691655284926
AMD,stream,40,31,0.775,6.0,31.148515532497534,33.908816570922085,-47.540197044303056,108.09605217644678,0.6129032258064516,0.5806451612903226,0.475,0.39961410647439105,1.1886467276911308,0.5641025641025641,0.42325380096898585,1.3327761329280987
KGS,stream,16,16,1.0,5.0,196.49071804373364,156.20791368244943,-4.031699061548336,305.9605389539367,0.6875,0.6875,0.3125,0.4047371340064482,0.7721060751372057,0.35714285714285715,0.4321269377889588,0.8264767268854639
KZT,stream,12,12,1.0,5.0,32.30237910676781,245.92491360537724,-99.6145693357405,647.9984267377998,0.5833333333333334,0.5,0.3333333333333333,0.45223790465217345,0.7370751763714004,0.4166666666666667,0.4259492014212707,0.9782074136454985
TJS,stream,12,12,1.0,4.5,9.399065062885015,24.102819063390456,-100.05302993492671,127.99000578968567,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.43480533685500183,1.3415965350210555,0.5833333333333334,0.45592151384834306,1.2794599851398376
UZS,stream,10,10,1.0,4.5,-17.44488447845194,119.37465760482357,-143.65682852488158,390.97171311900763,0.5,0.4,0.6,0.39452816267952256,1.5208039799363662,0.625,0.39203437431333776,1.5942479561765721
all,stream,90,81,0.9,5.0,33.07471632638892,98.57505309495338,16.39928532654123,184.0728678886249,0.6172839506172839,0.5432098765432098,0.45555555555555555,0.41166843253289054,1.1066079387060086,0.5176470588235295,0.42676939934797575,1.2129432419812616
