indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,AMD,9,1,68,1.0003219209210725,1.4288711288711289,0.625,0.25,0.5588235294117647,0.4557233469220037,118.04395744256946,137.0421971174332,172.10198495166802,0.2282608695652174,0.6296296296296295,1.2262341466288897
dip_vs_trend,KGS,9,2,66,1.0155038759689925,1.323232323232323,0.5714285714285714,0.42857142857142855,0.4090909090909091,0.4316894656323025,155.4013913584056,213.36477190854035,228.13024123503132,0.1141304347826087,0.6481481481481481,0.9476508964417445
dip_vs_trend,KZT,9,2,106,1.0826446280991735,1.058955223880597,0.14285714285714285,0.42857142857142855,0.42452830188679247,0.4168890969714654,14.38882804685688,-9.061249591981738,68.21593712860175,0.4230769230769231,0.5185185185185185,1.018324309680495
dip_vs_trend,TJS,9,2,82,1.1607142857142856,1.1331719128329298,0.42857142857142855,0.42857142857142855,0.4878048780487805,0.5205223546342295,38.864244909918895,51.51193305704031,108.04779007021074,0.2692307692307692,0.6111111111111112,0.9371449154985101
dip_vs_trend,UZS,9,2,63,1.6973684210526314,1.5057471264367817,0.7142857142857143,0.2857142857142857,0.49206349206349204,0.4123371026377021,148.27425812330765,127.59058823660337,161.50976507603275,0.154696132596685,0.6666666666666666,1.1933524509819362
level,AMD,9,2,115,0.7100271002710026,1.1614420062695925,0.2857142857142857,0.14285714285714285,0.591304347826087,0.457748222408166,63.418094100578145,100.20087438156602,103.9010827911467,0.4254143646408839,0.5185185185185185,1.291767654968262
level,KGS,9,2,84,1.0699588477366253,1.0477611940298508,0.2857142857142857,0.2857142857142857,0.4642857142857143,0.44244731916931457,58.75514355662501,52.38815092048461,68.46268386178139,0.3423913043478261,0.5185185185185185,1.0493581815737993
level,KZT,9,1,142,1.0829889807162534,1.0930900621118012,0.25,0.5,0.47183098591549294,0.43124882399175174,38.99936306530418,45.06328195082028,85.49588916744203,0.4184782608695652,0.4444444444444444,1.094103820499966
level,TJS,9,3,81,0.9979350359785142,1.1232968785600363,0.3333333333333333,0.3333333333333333,0.5802469135802469,0.519326391921902,48.762264770444645,40.34774549610113,103.47553153017799,0.2307692307692307,0.5925925925925926,1.1173068086004503
level,UZS,9,1,108,1.2791666666666668,1.025192179144385,0.125,0.375,0.49074074074074076,0.4751713606411323,48.02704441103597,43.18363408067674,93.4116922997844,0.4230769230769231,0.48148148148148145,1.0327658217418685
ml_localmin,AMD,9,2,35,1.0833333333333333,1.4647887323943665,0.7142857142857143,0.0,0.5428571428571428,0.3829511337233687,79.44014095761872,29.84633245273039,131.95947060285215,0.0760869565217391,0.7222222222222222,1.4175624382647343
ml_localmin,KGS,9,1,50,0.298469387755102,1.4393939393939394,0.625,0.25,0.54,0.41876528272800245,85.30928718207915,69.92856267221175,135.5537053644662,0.1923076923076923,0.537037037037037,1.2895051769388015
ml_localmin,KZT,9,2,38,0.6290322580645161,1.1754068716094033,0.42857142857142855,0.2857142857142857,0.5,0.4408330504348332,69.88932283075204,104.60481106018324,145.4518175953812,0.1521739130434782,0.6481481481481481,1.134216228812257
ml_localmin,TJS,9,2,41,0.6935483870967741,1.1898305084745762,0.14285714285714285,0.2857142857142857,0.6097560975609756,0.5254185472524269,23.609420416923463,40.32532885438866,106.97934447594908,0.1141304347826087,0.6666666666666666,1.1605149851476988
ml_localmin,UZS,9,2,44,0.9699248120300752,0.7528735632183908,0.2857142857142857,0.7142857142857143,0.38636363636363635,0.42770185709117003,13.855853467890364,-41.447501656271456,97.99747508714871,0.1521739130434782,0.6111111111111112,0.9033480448070116
momentum,AMD,9,0,143,0.751793400286944,0.915492957746479,0.0,0.6666666666666666,0.5384615384615384,0.5655557387100253,-10.65058756240309,8.349552897141056,57.71280029188897,0.6467391304347826,0.01851851851851851,0.9520927852128493
momentum,KGS,9,0,107,0.913953488372093,0.9485294117647058,0.1111111111111111,0.5555555555555556,0.45794392523364486,0.524049443323643,11.901614611942655,30.375134726274176,84.03380657466212,0.4565217391304348,0.11111111111111109,0.8738563337254179
momentum,KZT,9,0,184,1.323232323232323,1.0139634801288937,0.2222222222222222,0.4444444444444444,0.532608695652174,0.5089138476890243,20.692665383730777,2.488444747268979,62.15289364038919,0.7348066298342542,0.0,1.0465596447625622
momentum,TJS,9,0,176,0.8397435897435898,0.8783783783783784,0.1111111111111111,0.5555555555555556,0.5511363636363636,0.5616432931512878,6.787433194175609,26.658323729861255,62.40768688162281,0.7734806629834254,0.037037037037037035,0.9812925220632984
momentum,UZS,9,0,173,0.7375,1.0150819672131146,0.0,0.4444444444444444,0.5028901734104047,0.5223587514381987,-8.645853630518303,-4.999047584125871,49.76394036263998,0.7734806629834254,0.0,0.9627294881646156
reversal,AMD,9,1,85,1.1659845931632162,1.1659845931632162,0.375,0.375,0.43529411764705883,0.38447773598578944,19.71162460555963,46.4970055804514,-0.5841625048671675,0.3093922651933701,0.5740740740740741,1.132169894131783
reversal,KGS,9,1,97,0.9857142857142858,0.9857142857142858,0.0,0.5,0.41237113402061853,0.38893107398421317,10.006823099869644,14.423604984129254,5.477420398388053,0.5027624309392265,0.48148148148148145,1.0602679024750714
reversal,KZT,9,1,88,1.1495429724596389,1.1495429724596389,0.25,0.375,0.4090909090909091,0.3563478673429643,13.244513027218638,11.96697740541885,26.257883747057704,0.3480662983425414,0.5555555555555556,1.1480099828889467
reversal,TJS,9,2,90,1.21875,1.21875,0.2857142857142857,0.42857142857142855,0.5111111111111111,0.4739986174646334,47.40040540914626,44.80613588649009,59.39082987389557,0.3423913043478261,0.5555555555555556,1.0782966284690625
reversal,UZS,9,1,97,1.336764705882353,1.336764705882353,0.625,0.375,0.4845360824742268,0.3751711552920195,75.36885107843534,47.66486463350962,34.763324287120405,0.3804347826086957,0.5555555555555556,1.2915067580211002
seasonality,AMD,9,0,16,1.7878787878787878,1.191919191919192,0.4444444444444444,0.3333333333333333,0.625,0.5709960494256351,66.6974770478669,70.16083721871125,74.3452404745093,0.0760869565217391,0.7037037037037037,1.0945785012500304
seasonality,KGS,9,0,25,0.9076923076923076,0.873134328358209,0.1111111111111111,0.7777777777777778,0.44,0.5062795290238173,23.92977878315071,35.15804441436177,33.465623972965076,0.1141304347826087,0.537037037037037,0.869085109659452
seasonality,KZT,9,0,27,0.0,1.0522088353413654,0.1111111111111111,0.4444444444444444,0.5185185185185185,0.5284770876339328,18.033211146582165,-13.461253373483109,15.642208151038506,0.1141304347826087,0.5,0.98115610052273
seasonality,TJS,9,0,25,0.0,0.8999999999999999,0.1111111111111111,0.7777777777777778,0.52,0.5714752588807718,-3.257541092458794,31.941577634558115,6.154120679222601,0.1141304347826087,0.537037037037037,0.9099256563064768
seasonality,UZS,9,0,22,0.0,1.191919191919192,0.3333333333333333,0.3333333333333333,0.5909090909090909,0.5247846448737384,30.016455672862413,34.72240020643428,31.99455731719536,0.1141304347826087,0.5925925925925926,1.1260030122475513
