indicator,corridor,own_events,own_lift_mean_median,own_excess_median_bps,own_freq_per_week_median,transferred_events,transferred_lift_mean_median,transferred_excess_median_bps,transferred_freq_per_week_median,lift_drop,source
dip_vs_trend,AMD,87,1.4181818181818182,82.39692419937523,0.2282608695652174,91,1.1903082549634274,56.2943065262772,0.2282608695652174,0.2278735632183908,KZT
dip_vs_trend,KGS,86,1.323232323232323,155.4013913584056,0.1141304347826087,93,0.9105709342560553,-56.73708960072472,0.23076923076923078,0.4126613889762678,KZT
dip_vs_trend,KZT,132,0.8863636363636365,-9.8723582808326,0.4230769230769231,132,0.8863636363636365,-9.8723582808326,0.4230769230769231,0.0,KZT
dip_vs_trend,TJS,104,1.1331719128329298,38.864244909918895,0.2692307692307692,86,1.4886363636363635,159.03438852841492,0.19021739130434784,-0.3554644508034337,KZT
dip_vs_trend,UZS,87,1.5057471264367817,148.27425812330765,0.154696132596685,100,1.303030303030303,84.72659672855646,0.2692307692307692,0.20271682340647867,KZT
level,AMD,138,1.1614420062695925,63.418094100578145,0.4254143646408839,115,1.2090384615384617,61.664921832896994,0.3076923076923077,-0.04759645526886924,KZT
level,KGS,115,1.0476190476190477,54.111249833181915,0.3423913043478261,155,1.2103174603174605,60.418995772055176,0.5,-0.1626984126984128,KZT
level,KZT,157,1.0930900621118012,38.99936306530418,0.4184782608695652,157,1.0930900621118012,38.99936306530418,0.41847826086956524,0.0,KZT
level,TJS,92,1.0636363636363635,69.99511966110752,0.2307692307692307,139,1.096034959192854,54.551197362985576,0.3867403314917127,-0.032398595556490495,KZT
level,UZS,121,1.0460682037345488,48.02704441103597,0.4230769230769231,173,1.1421277173913045,52.214283420604204,0.5027624309392265,-0.09605951365675569,KZT
momentum,AMD,186,0.9385026737967914,-10.65058756240309,0.6467391304347826,212,0.9357142857142857,-12.755557921648077,0.6847826086956522,0.0027883880825056995,KZT
momentum,KGS,139,0.9485294117647058,4.354758124210001,0.4615384615384615,223,0.9556677890011223,-11.991378492609819,0.7608695652173914,-0.0071383772364164155,KZT
momentum,KZT,229,1.0139634801288937,20.692665383730777,0.7608695652173914,229,1.0139634801288937,20.692665383730777,0.7608695652173914,0.0,KZT
momentum,TJS,218,0.975,6.787433194175609,0.7734806629834254,207,1.0405643738977073,19.51402521478158,0.7228260869565217,-0.0655643738977073,KZT
momentum,UZS,216,1.0150819672131146,-8.645853630518303,0.7734806629834254,222,1.0238095238095237,3.0951412660906072,0.7608695652173914,-0.008727556596409114,KZT
reversal,AMD,93,1.1470588235294117,2.6817794369366936,0.3093922651933701,89,1.1470588235294117,57.019284817553654,0.30939226519337015,0.0,KZT
reversal,KGS,115,0.7915223665223665,-2.3651645146333298,0.4640883977900552,115,1.1175595238095237,27.521771698803025,0.3423913043478261,-0.3260371572871572,KZT
reversal,KZT,106,1.077031004709576,10.811731088814337,0.3480662983425414,106,1.0770310047095761,10.811731088814337,0.34806629834254144,-2.220446049250313e-16,KZT
reversal,TJS,99,0.819047619047619,-39.29854867590089,0.3093922651933701,88,1.0188988095238094,24.22739018514465,0.3423913043478261,-0.19985119047619038,KZT
reversal,UZS,112,1.130855614973262,72.54007832155905,0.3804347826086957,116,1.365,68.67006295636494,0.34806629834254144,-0.23414438502673796,KZT
seasonality,AMD,19,1.4395604395604396,162.2322369508514,0.0760869565217391,23,1.4395604395604396,48.63191700905439,0.07608695652173914,0.0,KZT
seasonality,KGS,29,0.873134328358209,-13.406995869054342,0.0773480662983425,29,0.873134328358209,-41.11876188326997,0.07734806629834254,0.0,KZT
seasonality,KZT,32,1.0522088353413654,18.033211146582165,0.1141304347826087,32,1.0522088353413654,18.033211146582165,0.1141304347826087,0.0,KZT
seasonality,TJS,28,0.8999999999999999,39.070490337527104,0.0773480662983425,28,0.8999999999999999,-42.540791697009155,0.07734806629834254,0.0,KZT
seasonality,UZS,26,1.238095238095238,31.211200666606175,0.1141304347826087,26,1.2380952380952381,20.984983173242682,0.1141304347826087,-2.220446049250313e-16,KZT
