date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2021-01-14,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.75,medium,0,0.139938,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.05, ""window"": 60.0, ""days_since_min"": 14.0}"
2021-01-14,AMD,momentum,"momentum(n=3,rearm=3)",BUY_NOW,down,0.5,fast,0,0.139938,"{""n"": 3, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""streak"": 3.0, ""drop_pct"": -1.9231577914523235}"
2021-01-20,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.41666666666666674,medium,0,0.140486,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.11666666666666667, ""window"": 60.0, ""days_since_min"": 18.0}"
2021-02-05,AMD,momentum,"momentum(n=3,rearm=3)",BUY_NOW,down,0.5,fast,0,0.144319,"{""n"": 3, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""streak"": 3.0, ""drop_pct"": -1.4268345992022313}"
2021-02-10,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.16666666666666674,medium,0,0.140927,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.16666666666666666, ""window"": 60.0, ""days_since_min"": 33.0}"
2021-02-11,AMD,momentum,"momentum(n=3,rearm=3)",BUY_NOW,down,1.0,fast,0,0.140746,"{""n"": 3, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""streak"": 7.0, ""drop_pct"": -3.8672750122944133}"
2021-02-15,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=20,window=120)",BUY_NOW,down,0.04166666666666663,medium,0,0.13989,"{""span"": 20, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 1}","{""dev_pct"": -2.0064689190694263, ""pct_rank"": 0.19166666666666668, ""window"": 120.0, ""span"": 20.0}"
2021-02-16,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.8333333333333334,medium,0,0.139705,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.03333333333333333, ""window"": 60.0, ""days_since_min"": 37.0}"
2021-02-24,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.5,medium,0,0.139949,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.1, ""window"": 60.0, ""days_since_min"": 42.0}"
2021-02-25,AMD,momentum,"momentum(n=3,rearm=3)",BUY_NOW,down,0.5,fast,0,0.139355,"{""n"": 3, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""streak"": 3.0, ""drop_pct"": -1.3122485978131482}"
2021-02-26,AMD,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=30,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.141047,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0}","{""rise_pct"": 1.2141652613828047, ""min_rate"": 0.139355, ""days_since_min"": 1.0, ""window"": 60.0}"
2021-03-03,AMD,level,"level(pct=0.2,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.8333333333333334,medium,0,0.139438,"{""window"": 60, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4}","{""pct_rank"": 0.03333333333333333, ""window"": 60.0, ""days_since_min"": 4.0}"
2021-03-09,AMD,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=30,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.141331,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0}","{""rise_pct"": 1.4179613218040288, ""min_rate"": 0.139355, ""days_since_min"": 7.0, ""window"": 60.0}"
