corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,21,10,4,0.8121546961325967,0.0,0.5279194821105173,28.0,0.0
AMD,1,2021-07…2021-12,7,0,0,0.266304347826087,0.0,0.6638838272562816,62.0,0.3333333333333333
AMD,2,2022-01…2022-06,12,23,0,0.46408839779005523,0.0,0.18243909577894493,87.0,0.5
AMD,3,2022-07…2022-12,9,0,0,0.3423913043478261,0.0,0.6082762530298219,67.0,0.3333333333333333
AMD,4,2023-01…2023-06,1,0,0,0.03867403314917127,0.0,,168.0,0.8333333333333334
AMD,5,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.3253160321349824,72.0,0.3333333333333333
AMD,6,2024-01…2024-06,7,6,5,0.2692307692307692,0.0,1.571916014369928,123.0,0.5
AMD,7,2024-07…2024-12,6,11,6,0.2282608695652174,0.0,0.9957536963169222,80.0,0.3333333333333333
AMD,8,2025-01…2025-06,22,0,0,0.8508287292817679,0.0,0.19518001458970663,14.0,0.0
AMD,9,2025-07…2025-12,15,0,0,0.5706521739130435,0.0,0.9585777236116984,51.0,0.16666666666666666
AMD,10,2026-01…2026-06,16,5,0,0.6187845303867403,0.0,0.8251865440988454,42.0,0.0
KGS,0,2021-01…2021-06,25,0,0,0.9668508287292817,0.0,0.1392500690033995,10.0,0.0
KGS,1,2021-07…2021-12,18,0,0,0.6847826086956522,0.0,0.5537490411165422,27.0,0.0
KGS,2,2022-01…2022-06,14,35,9,0.5414364640883977,0.0,1.0304368005850724,49.0,0.16666666666666666
KGS,3,2022-07…2022-12,15,0,0,0.5706521739130435,0.0,0.41998677227847175,24.0,0.0
KGS,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,105.0,0.6666666666666666
KGS,5,2023-07…2023-12,10,0,0,0.3804347826086957,0.0,1.5157340497661198,88.0,0.3333333333333333
KGS,6,2024-01…2024-06,5,7,2,0.19230769230769232,0.0,0.8976158898517147,96.0,0.3333333333333333
KGS,7,2024-07…2024-12,4,11,0,0.15217391304347827,0.0,0.7179804090423325,80.0,0.3333333333333333
KGS,8,2025-01…2025-06,17,0,0,0.6574585635359116,0.0,0.41815253334675784,18.0,0.0
KGS,9,2025-07…2025-12,5,0,0,0.19021739130434784,0.0,0.8357692423222561,92.0,0.3333333333333333
KGS,10,2026-01…2026-06,17,2,1,0.6574585635359116,0.0,0.9423508662039709,46.0,0.16666666666666666
KZT,0,2021-01…2021-06,22,0,0,0.8508287292817679,0.0,0.3647275138156238,16.0,0.0
KZT,1,2021-07…2021-12,23,0,0,0.875,0.0,0.22238652703004594,13.0,0.0
KZT,2,2022-01…2022-06,16,31,5,0.6187845303867403,0.0,1.4737527988813972,66.0,0.16666666666666666
KZT,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,0.5980463481892616,67.0,0.3333333333333333
KZT,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.25071984024596905,63.0,0.3333333333333333
KZT,5,2023-07…2023-12,4,3,0,0.15217391304347827,0.0,0.8908685055690746,92.0,0.5
KZT,6,2024-01…2024-06,7,6,2,0.2692307692307692,0.0,1.241845831799925,99.0,0.5
KZT,7,2024-07…2024-12,7,21,5,0.266304347826087,0.0,0.7676696451011412,51.0,0.16666666666666666
KZT,8,2025-01…2025-06,11,0,0,0.42541436464088395,0.0,0.5266172731474139,33.0,0.0
