corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_median,lift_mean_pooled
AMD,BUY_NOW,11,89,0.5955056179775281,0.5110503211211713,1.2662337662337664,1.2745098039215685,70.14114648480484,73.60450665564919,0.3423913043478261,1.1652582795977389
AMD,WINDOW_CLOSING,9,38,0.47368421052631576,0.3953485024806486,1.0636363636363637,1.0636363636363637,31.543363865812772,79.74979311972302,0.07734806629834254,1.1981434292886983
KGS,BUY_NOW,11,114,0.5087719298245614,0.48036134073670456,0.9485294117647058,0.9369369369369369,37.40520448658785,38.07443959462243,0.3804347826086957,1.0591442039117576
KGS,WINDOW_CLOSING,3,18,0.3888888888888889,0.40800062213148536,0.963265306122449,0.963265306122449,-2.3243414985853867,23.344805230135343,0.19337016574585636,0.9531575879890757
KZT,BUY_NOW,11,115,0.5391304347826087,0.48835605987324965,1.1273666092943202,1.0350877192982457,50.996410610135854,70.1096979289928,0.42541436464088395,1.103969990507617
KZT,WINDOW_CLOSING,4,10,0.4,0.4345498923622692,0.9435064935064936,0.9435064935064936,-239.47043131928717,-151.19003183996142,0.09605452798462646,0.9204926914733507
TJS,BUY_NOW,11,149,0.5369127516778524,0.554379303385391,0.9214285714285715,0.9750000000000001,7.278260931513106,24.116543315864384,0.580110497237569,0.9684934996655236
TJS,WINDOW_CLOSING,3,12,0.5833333333333334,0.4207924989359755,1.9545454545454544,1.9545454545454544,43.31279959324207,40.7185300705859,0.03867403314917127,1.3862731270361568
UZS,BUY_NOW,11,109,0.4954128440366973,0.4837484245027119,1.131578947368421,1.0,19.741936808487246,30.73878603447305,0.3423913043478261,1.0241125736915346
UZS,WINDOW_CLOSING,3,11,0.5454545454545454,0.39410110320634567,1.1727272727272728,1.1727272727272728,50.24422862566621,37.26620823026133,0.15469613259668508,1.3840472432500481
