indicator,corridor,windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean
dip_vs_trend,AMD,12,76,0.52,0.8531746031746031,0.16666666666666666,0.4166666666666667,0.4473684210526316,0.5600203510735274,-46.452680937710454,-6.486361044052671,158.37893341811136,0.29883040935672517,0.5972222222222222
dip_vs_trend,KGS,12,68,1.1380566801619434,1.327209595959596,0.3333333333333333,0.16666666666666666,0.36764705882352944,0.5330764488531822,73.55275683903452,125.83583621383265,193.45911033105602,0.08187414500683994,0.6944444444444445
dip_vs_trend,KZT,12,99,0.5962885154061623,1.0282201405152225,0.16666666666666666,0.4166666666666667,0.36363636363636365,0.5230693337397324,18.16829031333644,10.016847624783146,138.06356940139983,0.33874269005847957,0.5694444444444444
dip_vs_trend,TJS,12,64,0.0,0.9435483870967741,0.16666666666666666,0.4166666666666667,0.421875,0.5709951884378012,-62.62840867120067,-49.98072052407925,164.40946159804736,0.07735042735042735,0.7083333333333334
dip_vs_trend,UZS,12,85,1.5150412087912088,1.1963240214118434,0.25,0.3333333333333333,0.4,0.5284943601107129,34.8579160901437,29.688941405646357,130.26741381710508,0.23942869995501576,0.5972222222222222
level,AMD,12,115,1.1582167832167831,1.2344771241830066,0.3333333333333333,0.16666666666666666,0.5130434782608696,0.5600203510735274,67.18970100353934,102.81143718459893,128.24945218202137,0.3797412525727727,0.5138888888888888
level,KGS,12,112,1.0114285714285713,1.0960187353629975,0.3333333333333333,0.3333333333333333,0.4375,0.5330764488531822,62.51717506151439,68.27059449457474,118.522066656383,0.27912730544309494,0.5555555555555556
level,KZT,12,115,1.0403910427807486,1.101785760974717,0.3333333333333333,0.3333333333333333,0.4260869565217391,0.5230693337397324,40.91167305514008,49.16730685162479,94.16579963403646,0.3601881799470744,0.5138888888888888
level,TJS,12,81,1.2054945054945057,1.3310529119318182,0.3333333333333333,0.16666666666666666,0.6049382716049383,0.5709951884378012,104.66391185995096,109.3366049120996,136.52165994328652,0.13815789473684212,0.6527777777777778
level,UZS,12,109,1.417165071770335,1.1426149563123689,0.25,0.3333333333333333,0.45871559633027525,0.5284943601107129,45.89677107993215,34.62998357971381,98.03443667311672,0.40706918779544476,0.5416666666666666
ml_localmin,AMD,12,32,0.0,1.3675270108043218,0.3333333333333333,0.25,0.375,0.5600203510735274,48.962465467279245,-8.7218050768037,116.48820569239825,0.03969860548807917,0.7916666666666666
ml_localmin,KGS,12,52,1.068452380952381,1.2716197183098594,0.4166666666666667,0.25,0.4807692307692308,0.5330764488531822,65.72318484801889,56.53612660459099,137.46989748527213,0.15513536742587022,0.5833333333333334
ml_localmin,KZT,12,45,1.0916666666666666,1.3,0.4166666666666667,0.16666666666666666,0.5333333333333333,0.5230693337397324,85.80242548593952,131.0201561257222,169.1648372405019,0.11635152556940266,0.6805555555555555
ml_localmin,TJS,12,45,1.233173076923077,1.0734848484848485,0.08333333333333333,0.25,0.4888888888888889,0.5709951884378012,62.092582547565925,9.159171310207409,115.70494084207542,0.13832658569500675,0.6666666666666666
ml_localmin,UZS,12,46,0.0,0.8478260869565217,0.25,0.4166666666666667,0.391304347826087,0.5284943601107129,0.670032504897577,-25.3236481891389,94.8561051801794,0.11785874943769681,0.7083333333333334
momentum,AMD,12,104,1.1795794930875576,1.0116666666666667,0.25,0.5,0.5384615384615384,0.5600203510735274,10.647978849634043,65.24062886881829,77.48530294411312,0.3594674556213018,0.19444444444444442
momentum,KGS,12,109,0.8482551487414187,0.9844183359013867,0.0,0.5833333333333334,0.46296296296296297,0.5330764488531822,6.515895153829712,44.65021863374006,76.36963122559735,0.3583710407239819,0.13888888888888887
momentum,KZT,12,99,0.9285714285714285,0.8733333333333334,0.16666666666666666,0.5,0.41414141414141414,0.5230693337397324,-9.535251715922357,25.180236513508866,65.77650816175829,0.37168465019143754,0.16666666666666666
momentum,TJS,12,101,0.7814775032820145,1.0518181818181818,0.08333333333333333,0.4166666666666667,0.52,0.5709951884378012,-0.23009903269312382,48.44806192957199,75.11851655473782,0.33974358974358976,0.18055555555555555
momentum,UZS,12,111,1.5357142857142856,1.1120689655172413,0.25,0.3333333333333333,0.5135135135135135,0.5284943601107129,36.0830618915651,50.314063617266335,100.23261409776005,0.37168465019143754,0.18055555555555555
reversal,AMD,12,47,0.9420506912442396,0.9420506912442396,0.16666666666666666,0.4166666666666667,0.40425531914893614,0.5635511557759239,13.379527487594705,-35.4977633580758,57.43720235520989,0.12353368628672273,0.638888888888889
reversal,KGS,12,57,0.9214285714285715,0.9214285714285715,0.25,0.5,0.38596491228070173,0.5515325189114934,4.7420288353409035,-32.00983647716592,55.672397113421425,0.19391920928233777,0.5833333333333334
reversal,KZT,12,56,0.9686304436304436,0.9686304436304436,0.25,0.4166666666666667,0.35714285714285715,0.5278914566750021,5.2300075783033115,-34.04359888312566,63.75203278201345,0.18006245890861278,0.5555555555555555
reversal,TJS,12,48,0.9214285714285715,0.9214285714285715,0.25,0.4166666666666667,0.5,0.5828586496845877,-20.980490127980296,-35.35028838397291,87.60292928700285,0.13590459819510098,0.6666666666666666
reversal,UZS,12,59,1.0588235294117647,1.0588235294117647,0.16666666666666666,0.3333333333333333,0.3898305084745763,0.5269022209795708,-6.097330390912408,4.899518835073396,65.79812430413484,0.1935969058874087,0.5833333333333334
seasonality,AMD,12,26,1.4842171717171717,1.416796875,0.5,0.08333333333333333,0.68,0.5600203510735274,96.33806406967061,140.44823469848518,112.27960254360764,0.09959489039171485,0.611111111111111
seasonality,KGS,12,23,1.6818713450292395,1.0658602150537635,0.25,0.3333333333333333,0.6363636363636364,0.5330764488531822,67.84061074284872,156.0663116060081,60.57000559147208,0.07799503414028554,0.6527777777777778
seasonality,KZT,12,19,0.0,1.293032786885246,0.4166666666666667,0.3333333333333333,0.5789473684210527,0.5230693337397324,107.41106815231768,148.87395071598974,110.2044934205254,0.07958656330749353,0.7222222222222222
seasonality,TJS,12,21,2.0198412698412698,1.533933933933934,0.5,0.16666666666666666,0.8,0.5709951884378012,231.36314308687292,331.34327152724853,135.19226237604025,0.07799503414028554,0.6805555555555555
seasonality,UZS,12,21,1.6388888888888886,1.2040816326530612,0.25,0.25,0.6666666666666666,0.5284943601107129,112.09242763913062,131.3558245722396,73.2530207458426,0.08187134502923978,0.6944444444444443
