column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,420,5.0
n_scored,6600,420,5.0
hit_rate,6600,426,0.75
base_rate,6600,0,0.0
lift,6600,426,8.357142857142856
lift_ci_lo,6600,156,1.8055555555555551
lift_ci_hi,6600,281,25.07142857142857
hit_mean,6600,419,1.0
base_mean,6600,0,0.0
lift_mean,6600,419,1.95
benefit_fwd_bps,6600,520,230.88336557003117
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,520,230.88336557003117
benefit_excess_ci_lo,6600,316,161.74613199662713
benefit_excess_ci_hi,6600,320,399.5477593961595
benefit_fwd_ci_lo,6600,316,161.74613199662716
benefit_fwd_ci_hi,6600,320,399.5477593961595
benefit_fwd_block_ci_lo,6600,268,350.99678880455133
benefit_fwd_block_ci_hi,6600,284,522.4561827259572
benefit_sym_bps,6600,520,180.1718637766091
vs_wait5_bps,6600,520,297.9291109968755
freq_per_week,6600,420,0.1933701657458563
clump_share_series,6600,40,0.0
clump_cv_gaps,6600,480,0.6933405376610122
longest_gap_days,6600,180,33.0
empty_month_share,6600,160,0.33333333333333337
hit_mean_trunc,6600,16,0.6666666666666667
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,18,4.0
lift_mean_trunc,6600,16,1.8476190476190477
benefit_excess_trunc,6600,21,171.16932161772127
base_mean_month_trunc,6600,16,0.129514963880289
benefit_excess_month_trunc,6600,21,171.16932161772127
