corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,104,0.6153846153846154,0.5200882741914984,1.248,1.2745098039215685,91.20848080904659,125.74159998792967,0.3423913043478261,1.1832310896477327
AMD,WINDOW_CLOSING,9,39,0.4358974358974359,0.4063103261670283,0.962686567164179,0.962686567164179,31.543363865812772,58.761375655379084,0.11602209944751381,1.0728189952973157
KGS,BUY_NOW,11,120,0.45,0.4739461359538944,0.9485294117647058,0.9369369369369369,50.62600749548025,78.23435307129019,0.3804347826086957,0.949474984312935
KGS,WINDOW_CLOSING,3,16,0.5,0.4047371340064482,1.1142857142857143,1.1142857142857143,59.72252573582685,51.57101700256162,0.19337016574585636,1.2353697202195293
KZT,BUY_NOW,11,173,0.5202312138728323,0.5015728631430956,1.028481012658228,1.1794354838709677,30.63512383964557,46.50003947235928,0.6187845303867403,1.037199681443718
KZT,WINDOW_CLOSING,4,12,0.3333333333333333,0.45223790465217345,0.803968253968254,0.803968253968254,-186.34395708606655,-112.53237226000071,0.11507626711506125,0.7370751763714004
TJS,BUY_NOW,11,148,0.5202702702702703,0.550109003987706,0.9756302521008404,0.9791271347248577,0.5042473173426458,15.130264341494186,0.5414364640883977,0.9457585069483746
TJS,WINDOW_CLOSING,3,12,0.5833333333333334,0.43480533685500183,1.2291666666666665,1.2291666666666665,29.79126458715767,31.256156314432705,0.07734806629834254,1.3415965350210557
UZS,BUY_NOW,11,111,0.4954954954954955,0.48438209166815116,1.074681238615665,0.8333333333333333,26.144566455909526,16.991844912986515,0.3423913043478261,1.022943465537859
UZS,WINDOW_CLOSING,3,10,0.6,0.3945281626795226,1.1727272727272728,1.1727272727272728,129.06683353169367,116.08881313628878,0.11602209944751381,1.5208039799363657
