corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,104,0.6057692307692307,0.5268190434222675,1.248,1.2745098039215685,53.40963373989162,64.47956060198435,0.3804347826086957,1.14986206047924
AMD,WINDOW_CLOSING,9,41,0.4634146341463415,0.3919520571816032,0.975,0.975,31.543363865812772,79.74979311972302,0.11602209944751381,1.1823247911456363
KGS,BUY_NOW,11,122,0.4918032786885246,0.47494511275678525,1.0924369747899159,0.9369369369369369,58.053582150018784,76.64558710651256,0.3804347826086957,1.0354949771645976
KGS,WINDOW_CLOSING,3,13,0.38461538461538464,0.39795912020829405,0.963265306122449,0.963265306122449,28.536916921019166,51.57101700256162,0.19337016574585636,0.9664695821371672
KZT,BUY_NOW,11,173,0.5202312138728323,0.5015728631430956,1.028481012658228,1.1794354838709677,30.63512383964557,46.50003947235928,0.6187845303867403,1.037199681443718
KZT,WINDOW_CLOSING,4,12,0.3333333333333333,0.45223790465217345,0.803968253968254,0.803968253968254,-186.34395708606655,-112.53237226000071,0.11507626711506125,0.7370751763714004
TJS,BUY_NOW,11,145,0.5310344827586206,0.5506093435338119,0.9756302521008404,0.8855835240274599,0.5042473173426458,15.130264341494186,0.5384615384615384,0.9644487312010368
TJS,WINDOW_CLOSING,3,12,0.5833333333333334,0.43480533685500183,1.2291666666666665,1.2291666666666665,29.79126458715767,31.256156314432705,0.07734806629834254,1.3415965350210557
UZS,BUY_NOW,11,112,0.5,0.48462535787626365,1.074681238615665,0.8333333333333333,27.928932193120282,16.991844912986515,0.3423913043478261,1.0317247991130953
UZS,WINDOW_CLOSING,3,10,0.6,0.3945281626795226,1.1727272727272728,1.1727272727272728,98.4612237235913,108.80694424130088,0.11602209944751381,1.5208039799363657
