column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,480,8.0
n_scored,6600,480,8.0
hit_rate,6600,500,0.75
base_rate,6600,0,0.0
lift,6600,500,6.157894736842104
lift_ci_lo,6600,268,1.5294117647058822
lift_ci_hi,6600,365,18.47368421052631
hit_mean,6600,480,1.0
base_mean,6600,0,0.0
lift_mean,6600,480,1.95
benefit_fwd_bps,6600,620,190.7685931109284
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,620,190.7685931109284
benefit_excess_ci_lo,6600,424,145.9416579149161
benefit_excess_ci_hi,6600,440,235.471140863242
benefit_fwd_ci_lo,6600,424,145.94165791491614
benefit_fwd_ci_hi,6600,440,235.47114086324203
benefit_fwd_block_ci_lo,6600,376,229.9449628527193
benefit_fwd_block_ci_hi,6600,416,237.31757828460496
benefit_sym_bps,6600,620,149.16411858792918
vs_wait5_bps,6600,620,238.39977640589166
freq_per_week,6600,480,0.30939226519337026
clump_share_series,6600,20,0.0
clump_cv_gaps,6600,560,0.8004995319352316
longest_gap_days,6600,320,56.0
empty_month_share,6600,300,0.3333333333333333
hit_mean_trunc,6600,17,0.3186813186813187
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,21,7.0
lift_mean_trunc,6600,17,0.7838383838383838
benefit_excess_trunc,6600,28,118.57085593409627
