date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2021-01-12,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.7,medium,0,0.141933,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -6.819532886403046, ""pct_rank"": 0.06, ""window"": 250.0, ""span"": 80.0}",sent,BUY_NOW
2021-01-13,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.5555555555555556,medium,0,0.140385,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.4097}","{""pct_rank"": 0.06666666666666667, ""window"": 60.0, ""days_since_min"": 13.0}",thinned,
2021-01-13,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,0.5,fast,0,0.140385,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 2.0, ""drop_pct"": -1.6098737051625234}",thinned,
2021-01-13,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,0.5112013231093115,slow,0,0.140385,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.5037}","{""rise_pct"": 0.5112013231093115, ""min_rate"": 0.139671, ""days_since_min"": 13.0, ""window"": 120.0}",cooldown,
2021-01-15,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.76,medium,0,0.13998,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -7.786789064256261, ""pct_rank"": 0.048, ""window"": 250.0, ""span"": 80.0}",cooldown,
2021-01-18,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.0,medium,0,0.141023,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.4097}","{""pct_rank"": 0.15, ""window"": 60.0, ""days_since_min"": 16.0}",thinned,
2021-01-18,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,0.967989060005303,slow,0,0.141023,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.5037}","{""rise_pct"": 0.967989060005303, ""min_rate"": 0.139671, ""days_since_min"": 16.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-01-20,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.6599999999999999,medium,0,0.140486,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -7.121514685022956, ""pct_rank"": 0.068, ""window"": 250.0, ""span"": 80.0}",cooldown,
2021-01-21,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.141217,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.5037}","{""rise_pct"": 1.1068868984972058, ""min_rate"": 0.139671, ""days_since_min"": 19.0, ""window"": 120.0}",cooldown,
2021-01-25,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.33999999999999997,medium,0,0.143969,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -4.463961845042174, ""pct_rank"": 0.132, ""window"": 250.0, ""span"": 80.0}",sent,BUY_NOW
2021-02-01,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,0.5,fast,0,0.145687,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 2.0, ""drop_pct"": -0.9140929463854475}",sent,BUY_NOW
2021-02-04,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,0.5,fast,0,0.145396,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 2.0, ""drop_pct"": -0.6912190590678158}",cooldown,
2021-02-05,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.040000000000000036,medium,0,0.144319,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -3.1704646400669834, ""pct_rank"": 0.192, ""window"": 250.0, ""span"": 80.0}",sent,BUY_NOW
2021-02-08,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,1.0,fast,0,0.141921,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 4.0, ""drop_pct"": -3.0647232391672663}",cooldown,
2021-02-10,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.38,medium,0,0.140927,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -5.060472774283264, ""pct_rank"": 0.124, ""window"": 250.0, ""span"": 80.0}",cooldown,
2021-02-10,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,1.0,fast,0,0.140927,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 6.0, ""drop_pct"": -3.7436478880935598}",thinned,
2021-02-15,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.4,medium,0,0.13989,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -5.344133602198243, ""pct_rank"": 0.12, ""window"": 250.0, ""span"": 80.0}",thinned,
2021-02-15,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.6666666666666666,medium,0,0.13989,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.4097}","{""pct_rank"": 0.05, ""window"": 60.0, ""days_since_min"": 36.0}",sent,BUY_NOW
2021-02-16,AMD,momentum,"momentum(n=2,rearm=2)",BUY_NOW,down,0.5,fast,0,0.139705,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9062}","{""streak"": 2.0, ""drop_pct"": -0.9809411080948904}",cooldown,
2021-02-18,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.16000000000000003,medium,0,0.140704,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -4.3571408118383115, ""pct_rank"": 0.168, ""window"": 250.0, ""span"": 80.0}",cooldown,
2021-02-24,AMD,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.22000000000000008,medium,0,0.139949,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3799}","{""dev_pct"": -4.508874784789474, ""pct_rank"": 0.156, ""window"": 250.0, ""span"": 80.0}",thinned,
