column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,420,6.0
n_scored,6600,420,6.0
hit_rate,6600,484,0.75
base_rate,6600,0,0.0
lift,6600,484,6.157894736842104
lift_ci_lo,6600,217,2.549019607843137
lift_ci_hi,6600,328,18.47368421052631
hit_mean,6600,457,1.0
base_mean,6600,0,0.0
lift_mean,6600,457,1.95
benefit_fwd_bps,6600,620,228.66253774757314
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,620,228.66253774757317
benefit_excess_ci_lo,6600,372,117.52851096500885
benefit_excess_ci_hi,6600,396,399.5477593961595
benefit_fwd_ci_lo,6600,372,117.52851096500883
benefit_fwd_ci_hi,6600,396,399.5477593961595
benefit_fwd_block_ci_lo,6600,336,147.38232867078275
benefit_fwd_block_ci_hi,6600,344,454.46547523912346
benefit_sym_bps,6600,620,180.1718637766091
vs_wait5_bps,6600,620,297.9291109968755
freq_per_week,6600,420,0.2282608695652175
clump_share_series,6600,40,0.0
clump_cv_gaps,6600,540,0.7358490566037735
longest_gap_days,6600,300,63.0
empty_month_share,6600,180,0.3333333333333333
hit_mean_trunc,6600,17,0.5
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,19,4.0
lift_mean_trunc,6600,17,1.3857142857142857
benefit_excess_trunc,6600,28,171.16932161772127
base_mean_month_trunc,6600,18,0.38854489164086686
benefit_excess_month_trunc,6600,28,171.16932161772127
