indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,AMD,11,2,28,0.8309859154929579,0.9831932773109243,0.1111111111111111,0.5555555555555556,0.5357142857142857,0.5452515785417842,29.02872461859732,41.805124929179904,118.59334107407471,0.07734806629834254,0.7424242424242423,0.9825084544404165
dip_vs_trend,KGS,11,5,27,0.7402269647696478,0.956938775510204,0.3333333333333333,0.5,0.48148148148148145,0.481241802661216,59.231811014300966,42.968962079547495,193.0654951793235,0.038461538461538464,0.8030303030303031,1.0004980423956107
dip_vs_trend,KZT,11,1,53,1.1519314019314018,0.9878492154611558,0.4,0.5,0.5471698113207547,0.5194716977890748,45.646130043428315,55.828917068525215,136.7884216384827,0.15217391304347827,0.6666666666666666,1.0533197740118778
dip_vs_trend,TJS,11,4,37,1.125,0.8441558441558441,0.14285714285714285,0.7142857142857143,0.43243243243243246,0.5522395191488038,-32.10269496082398,-40.887133548797586,104.69290315183676,0.15217391304347827,0.7575757575757577,0.7830523123353498
dip_vs_trend,UZS,11,3,36,0.790440251572327,1.1469155844155845,0.5,0.5,0.5,0.49542913035226793,27.75436145486492,6.2859501117092025,128.47623909232294,0.03867403314917127,0.7424242424242423,1.0092260817293526
level,AMD,11,3,48,1.5352380952380953,1.2549677419354839,0.5,0.375,0.5833333333333334,0.5223055425919827,40.9118442457976,50.081711684460295,53.259920554105506,0.07692307692307693,0.6666666666666666,1.1168430846789321
level,KGS,11,4,56,1.3829787234042554,1.1813186813186813,0.42857142857142855,0.2857142857142857,0.5178571428571429,0.5066543243031221,25.731025164501588,16.078538906606074,37.02578724258943,0.15217391304347827,0.6515151515151515,1.022111364724716
level,KZT,11,2,41,0.5038461538461538,0.826923076923077,0.3333333333333333,0.6666666666666666,0.4146341463414634,0.5073745619793033,-1.673601742183898,-64.02282657709291,18.311652142811443,0.15217391304347827,0.6666666666666666,0.817215086077526
level,TJS,11,3,28,0.9678571428571429,0.9543564199873498,0.375,0.5,0.5714285714285714,0.5879826146409718,18.089667654223945,-1.934264495582017,57.015117436811096,0.07608695652173914,0.7424242424242423,0.9718460328584572
level,UZS,11,1,36,0.9421768707482994,1.0523182957393482,0.4,0.5,0.5277777777777778,0.5241890589010718,9.92699220614598,13.937468649951363,42.38356849018426,0.11602209944751381,0.606060606060606,1.0068462300304961
ml_localmin,AMD,11,3,41,0.92625,1.0370384917517674,0.125,0.375,0.5121951219512195,0.49966732047934714,19.226890654357916,-4.892973168710736,50.241462875195296,0.07608695652173914,0.7424242424242423,1.0250722850152658
ml_localmin,KGS,11,1,63,0.9299869337979094,1.1562091503267973,0.3,0.3,0.5873015873015873,0.5167167554777493,9.25415169376218,12.666675634327033,61.82437646179095,0.19230769230769232,0.5454545454545454,1.1366025604464407
ml_localmin,KZT,11,2,56,0.6084905660377359,0.8506493506493507,0.0,0.5555555555555556,0.44642857142857145,0.5147869495930032,-4.569053699771022,-17.405369947232906,75.26173940085145,0.2282608695652174,0.6212121212121212,0.8672103513531633
ml_localmin,TJS,11,2,53,0.7413793103448275,1.0323529411764705,0.3333333333333333,0.4444444444444444,0.5283018867924528,0.548746743258197,12.143947507100235,20.71311379253704,42.05317204831949,0.1141304347826087,0.6666666666666666,0.9627426372604012
ml_localmin,UZS,11,2,59,0.7878787878787878,0.7528735632183908,0.1111111111111111,0.7777777777777778,0.4406779661016949,0.5071936835455085,-5.857914502198344,-30.087938152549544,28.281893070969957,0.15217391304347827,0.5909090909090909,0.8688553907476937
momentum,AMD,11,1,32,0.7842429577464789,1.3002606712284133,0.5,0.3,0.625,0.5710727947843823,52.686465842807536,36.43494967918846,139.92632426091347,0.07734806629834254,0.6666666666666666,1.0944314029807334
momentum,KGS,11,0,32,1.1944444444444444,1.34375,0.5454545454545454,0.2727272727272727,0.65625,0.5609399225931325,55.50403678436317,76.17688870319216,108.64928487356096,0.11602209944751381,0.6363636363636364,1.1699113818932065
momentum,KZT,11,0,30,1.5128205128205128,1.3563218390804597,0.5454545454545454,0.36363636363636365,0.5333333333333333,0.5190134291985369,82.11932870672452,78.3829264383784,102.30915112986682,0.07734806629834254,0.7121212121212122,1.027590623535328
momentum,TJS,11,0,36,0.7413793103448275,0.9390681003584229,0.09090909090909091,0.5454545454545454,0.5555555555555556,0.5994990469534396,-8.112636907633867,-5.253421009118188,94.21073928654388,0.11602209944751381,0.6212121212121212,0.9266996476121222
momentum,UZS,11,2,21,1.3265306122448979,1.566265060240964,0.6666666666666666,0.2222222222222222,0.6190476190476191,0.5522849711808842,90.57585970045449,97.53478396861249,133.26149716419656,0.07608695652173914,0.7272727272727273,1.1208844190056166
reversal,AMD,11,5,24,1.5979166666666664,1.5979166666666664,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.42851055096817814,48.66664062251399,23.416889030827875,-14.166106851689344,0.03867403314917127,0.8030303030303031,1.55577655009987
reversal,KGS,11,3,32,0.9514103887168902,0.9514103887168902,0.25,0.5,0.4375,0.42817808190911266,54.871545250974265,39.18567987995105,2.978474278952792,0.07692307692307693,0.712121212121212,1.0217711239429255
reversal,KZT,11,2,32,1.0883720930232559,1.0883720930232559,0.4444444444444444,0.4444444444444444,0.4375,0.41789161227430943,2.6472909010347534,-3.9731036119511316,-24.66010923289408,0.07692307692307693,0.712121212121212,1.0469221854417585
reversal,TJS,11,5,21,1.3688423645320196,1.3688423645320196,0.6666666666666666,0.16666666666666666,0.6190476190476191,0.4542419725707073,81.56337527245327,61.556117882893,62.82905715316409,0.07608695652173914,0.7575757575757575,1.362814659209543
reversal,UZS,11,3,26,1.1786492374727668,1.1786492374727668,0.375,0.375,0.4230769230769231,0.42836710957901947,49.10023968342225,37.16933078454633,1.6054808219846688,0.07608695652173914,0.696969696969697,0.987650343866747
seasonality,AMD,11,0,19,0.9833333333333333,0.9347826086956522,0.2727272727272727,0.5454545454545454,0.5789473684210527,0.607653434095835,-4.330219794957591,0.7146275434270303,25.35898583734042,0.07608695652173914,0.712121212121212,0.9527591484486615
seasonality,KGS,11,0,29,0.8357142857142857,0.826923076923077,0.09090909090909091,0.8181818181818182,0.4482758620689655,0.5705942482390717,7.89225911076686,-5.730948251092179,27.172831361349882,0.07734806629834254,0.5606060606060606,0.7856298296949248
seasonality,KZT,11,0,32,0.8478260869565217,0.8552631578947368,0.09090909090909091,0.7272727272727273,0.46875,0.5621418521797023,-50.073370832266356,-60.84524648873065,-3.44492175062161,0.1141304347826087,0.5151515151515151,0.8338642607420603
seasonality,TJS,11,0,28,0.0,0.6093749999999999,0.18181818181818182,0.8181818181818182,0.39285714285714285,0.611788616857942,-72.65697999544253,-37.25068641807938,16.937055649839383,0.07734806629834254,0.5757575757575757,0.6421452312643547
seasonality,UZS,11,0,26,0.8309859154929579,1.003831417624521,0.36363636363636365,0.45454545454545453,0.5769230769230769,0.5844388947289507,60.4528435934758,12.69410405103533,26.304711343942966,0.1141304347826087,0.6060606060606061,0.9871401135796078
