pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
level → level,all,46,623,209,1.1069629735349205,1.0461400224757365,-0.060822951059184005,-0.19105176332674603,0.06035542027286067,43.976917209123506,35.135869559028684,-8.841047650094822,-53.443533004151654,28.185222916830078,10,-0.19034702606603926,0.030633384533851695,-51.70264037345517,28.39856753477721,разницы нет,разницы нет,разницы нет,разницы нет
level → level,AMD,9,138,48,1.26964373068975,1.3124582117362809,0.04281448104653096,-0.17478385633132176,0.2529520632131236,78.05177799871983,83.38976787337829,5.3379898746584615,-58.82701495122166,87.98696835367913,9,-0.17478385633132176,0.2529520632131236,-58.82701495122166,87.98696835367913,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KGS,9,115,56,0.9960050171628797,1.1364211340448371,0.14041611688195743,-0.0949278118030241,0.42896828017163313,17.747576766654195,51.303756862485976,33.55618009583178,-7.026134295333624,65.11263190328371,9,-0.0949278118030241,0.42896828017163313,-7.026134295333624,65.11263190328371,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KZT,10,157,41,1.0852097438717145,0.6860871428150649,-0.39912260105664965,-0.7880989259040841,-0.07445818414141683,29.703972490863674,-39.742664789790496,-69.44663728065417,-254.22898780992077,38.37217343826995,10,-0.7880989259040841,-0.07445818414141683,-254.22898780992077,38.37217343826995,latest,latest,разницы нет,разницы нет
level → level,TJS,8,92,28,1.1008464724326434,1.0877839182480917,-0.013062554184551711,-0.18751194409867683,0.1596327304794363,57.40823244204393,50.45234816053674,-6.9558842815071955,-187.12746083117554,127.9028924356158,8,-0.18751194409867683,0.1596327304794363,-187.12746083117554,127.9028924356158,разницы нет,разницы нет,разницы нет,разницы нет
level → level,UZS,10,121,36,1.054613773202622,0.9068153142479313,-0.14779845895469068,-0.46387357258585443,0.16103201995605787,38.350592260840784,19.012805652833425,-19.33778660800736,-86.57955271895894,52.419908934270914,10,-0.46387357258585443,0.16103201995605787,-86.57955271895894,52.419908934270914,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,all,45,272,272,1.1558207648258547,1.1558207648258547,0.0,0.0,0.0,36.98792116450045,36.98792116450045,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,8,41,41,1.4404355857191993,1.4404355857191993,0.0,0.0,0.0,119.94351531661962,119.94351531661962,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,63,1.2781639046769864,1.2781639046769864,0.0,0.0,0.0,59.600690695771405,59.600690695771405,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,56,1.086659524027471,1.086659524027471,0.0,0.0,0.0,9.940140438710113,9.940140438710113,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,TJS,9,53,53,1.0974467796595495,1.0974467796595495,0.0,0.0,0.0,7.296454860878059,7.296454860878059,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,UZS,9,59,59,0.9821338403579795,0.9821338403579795,0.0,0.0,0.0,7.539439707369737,7.539439707369737,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,all,48,496,181,1.0022315287028014,0.9422465933404224,-0.05998493536237903,-0.1630038491748933,0.050419155910677145,-31.782636922024636,-23.172318228349702,8.610318693674934,-53.43567803612794,75.33510854289493,11,-0.1556014519250421,0.05323283800860509,-40.277402891353994,48.593778649254,разницы нет,разницы нет,разницы нет,разницы нет
