date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2021-02-08,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,0,0.141921,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -3.0647232391672663}",sent,BUY_NOW
2021-02-10,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.09333333333333327,medium,0,0.140927,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.136, ""window"": 250.0, ""days_since_min"": 245.0}",cooldown,
2021-02-11,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.875,fast,0,0.140746,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.8279}","{""streak"": 7.0, ""drop_pct"": -3.8672750122944133}",cooldown,
2021-02-17,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.1466666666666666,medium,0,0.140898,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.128, ""window"": 250.0, ""days_since_min"": 246.0}",sent,BUY_NOW
2021-02-25,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.6266666666666667,medium,0,0.139355,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.056, ""window"": 250.0, ""days_since_min"": 248.0}",sent,BUY_NOW
2021-02-26,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.141047,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 1.2141652613828047, ""min_rate"": 0.139355, ""days_since_min"": 1.0, ""window"": 120.0}",cooldown,
2021-03-04,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.4666666666666667,medium,0,0.140345,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.08, ""window"": 250.0, ""days_since_min"": 249.0}",thinned,
2021-03-04,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,0.7104158444261044,slow,0,0.140345,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 0.7104158444261044, ""min_rate"": 0.139355, ""days_since_min"": 5.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-03-12,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.8133333333333334,medium,0,0.139418,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.028, ""window"": 250.0, ""days_since_min"": 247.0}",sent,BUY_NOW
2021-03-18,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,0.9066196246276581,slow,0,0.13957,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 0.9066196246276581, ""min_rate"": 0.138316, ""days_since_min"": 2.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-03-19,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.4666666666666667,medium,0,0.140481,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.08, ""window"": 250.0, ""days_since_min"": 3.0}",cooldown,
2021-03-23,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.142792,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 3.2360681338384545, ""min_rate"": 0.138316, ""days_since_min"": 5.0, ""window"": 120.0}",cooldown,
2021-03-31,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,0,0.142914,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -0.939217711358642}",sent,BUY_NOW
2021-04-20,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.5,slow,0,0.145498,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0359}","{""k_years"": 3.0, ""n_years"": 6.0, ""target_month"": 5.0}",sent,BUY_NOW
2021-05-11,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,0,0.141962,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -1.7897045292599834}",sent,BUY_NOW
2021-05-20,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.5,slow,0,0.141344,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0359}","{""k_years"": 3.0, ""n_years"": 6.0, ""target_month"": 6.0}",sent,BUY_NOW
2021-05-25,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.22666666666666657,medium,0,0.140989,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.116, ""window"": 250.0, ""days_since_min"": 48.0}",cooldown,
2021-06-01,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.33333333333333326,medium,0,0.140683,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.1, ""window"": 250.0, ""days_since_min"": 53.0}",sent,BUY_NOW
2021-06-08,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.5733333333333333,medium,0,0.140044,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.064, ""window"": 250.0, ""days_since_min"": 58.0}",sent,BUY_NOW
2021-06-16,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.139684,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 1.1931583560929493, ""min_rate"": 0.138037, ""days_since_min"": 2.0, ""window"": 120.0}",sent,WINDOW_CLOSING
2021-06-17,AMD,level,"level(pct=0.15,rearm=5,stall_days=3,window=250)",BUY_NOW,down,0.52,medium,0,0.139903,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5696}","{""pct_rank"": 0.072, ""window"": 250.0, ""days_since_min"": 3.0}",cooldown,
2021-06-21,AMD,reversal,"reversal(max_days_since_min=5,rearm=3,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,0,0.141406,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.2207}","{""rise_pct"": 2.440649970660047, ""min_rate"": 0.138037, ""days_since_min"": 5.0, ""window"": 120.0}",cooldown,
2021-06-21,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.6666666666666666,slow,0,0.141406,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0359}","{""k_years"": 4.0, ""n_years"": 6.0, ""target_month"": 7.0}",thinned,
2021-07-20,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.8333333333333334,slow,1,0.150563,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0696}","{""k_years"": 5.0, ""n_years"": 6.0, ""target_month"": 8.0}",sent,BUY_NOW
2021-08-04,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,1,0.14877,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -1.9618180260565166}",sent,BUY_NOW
2021-08-20,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.5,slow,1,0.151285,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0696}","{""k_years"": 3.0, ""n_years"": 6.0, ""target_month"": 9.0}",sent,BUY_NOW
2021-09-02,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,1,0.147587,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -1.8070164933500998}",sent,BUY_NOW
2021-10-20,AMD,seasonality,"seasonality(from_day=20,min_share=0.5,min_years=4,rearm=20)",BUY_NOW,down,0.6666666666666666,slow,1,0.148807,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0696}","{""k_years"": 4.0, ""n_years"": 6.0, ""target_month"": 11.0}",sent,BUY_NOW
2021-10-26,AMD,dip_vs_trend,"dip_vs_trend(pct=0.05,rearm=5,span=20,window=120)",BUY_NOW,down,0.6666666666666667,medium,1,0.145782,"{""span"": 20, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3711}","{""dev_pct"": -1.9819504840154933, ""pct_rank"": 0.016666666666666666, ""window"": 120.0, ""span"": 20.0}",thinned,
2021-10-26,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,1,0.145782,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 0.8279}","{""streak"": 4.0, ""drop_pct"": -2.0328344768727247}",sent,BUY_NOW
2021-12-03,AMD,dip_vs_trend,"dip_vs_trend(pct=0.05,rearm=5,span=20,window=120)",BUY_NOW,down,0.5,medium,1,0.150342,"{""span"": 20, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3711}","{""dev_pct"": -1.4748431279387852, ""pct_rank"": 0.025, ""window"": 120.0, ""span"": 20.0}",sent,BUY_NOW
2021-12-10,AMD,dip_vs_trend,"dip_vs_trend(pct=0.05,rearm=5,span=20,window=120)",BUY_NOW,down,0.6666666666666667,medium,1,0.148774,"{""span"": 20, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3711}","{""dev_pct"": -2.5113928596118718, ""pct_rank"": 0.016666666666666666, ""window"": 120.0, ""span"": 20.0}",sent,BUY_NOW
