column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,3900,37.0
n_scored,6600,3900,37.0
hit_rate,6600,3783,1.0
base_rate,6600,0,0.0
lift,6600,3783,19.499999999999996
lift_ci_lo,6600,2926,1.320376175548589
lift_ci_hi,6600,3244,58.49999999999999
hit_mean,6600,3722,1.0
base_mean,6600,0,0.0
lift_mean,6600,3722,11.555555555555555
benefit_fwd_bps,6600,3940,1399.1411917703463
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,3940,1399.1411917703467
benefit_excess_ci_lo,6600,3300,945.648471978597
benefit_excess_ci_hi,6600,3300,870.4291451503747
benefit_fwd_ci_lo,6600,3300,945.6484719785971
benefit_fwd_ci_hi,6600,3300,870.4291451503747
benefit_fwd_block_ci_lo,6600,3300,623.6240426877914
benefit_fwd_block_ci_hi,6600,3280,1446.2867260167823
benefit_sym_bps,6600,3940,861.9553539470853
vs_wait5_bps,6600,3940,1014.2492573091888
freq_per_week,6600,3900,1.407608695652174
clump_share_series,6600,3560,1.0
clump_cv_gaps,6600,3660,2.224761833858021
longest_gap_days,6600,3580,161.0
empty_month_share,6600,3260,1.0
hit_mean_trunc,6600,168,1.0
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,187,31.0
lift_mean_trunc,6600,168,3.657912457912458
benefit_excess_trunc,6600,190,1212.9319757112528
base_mean_month_trunc,6600,174,0.7058823529411764
benefit_excess_month_trunc,6600,190,669.2091162738262
