indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc,base_mean_month_trunc,benefit_excess_month_trunc
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,0.0,9,9,0.4444444444444444,0.4745762711864407,0.9365079365079364,0.2341269841269841,1.6388888888888888,0.4444444444444444,0.4745762711864407,0.9365079365079364,-7.959399719342045,-1.6952910407747044,-6.26410867856734,-24.4083678794621,9.529529557691388,-26.103658920236807,7.834238516916685,-30.387075851112172,8.868900857481599,19.341239546406786,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,10.0,9,9,0.6666666666666666,0.5338983050847458,1.2486772486772486,0.6243386243386243,1.6649029982363315,0.6666666666666666,0.5338983050847458,1.2486772486772486,-7.959399719342045,-1.6952910407747044,-6.26410867856734,-24.4083678794621,9.529529557691388,-26.103658920236807,7.834238516916685,-30.387075851112172,8.868900857481599,19.341239546406786,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,25.0,9,9,0.8888888888888888,0.6271186440677966,1.4174174174174174,1.063063063063063,1.5945945945945945,0.8888888888888888,0.6271186440677966,1.4174174174174174,-7.959399719342045,-1.6952910407747044,-6.26410867856734,-24.4083678794621,9.529529557691388,-26.103658920236807,7.834238516916685,-30.387075851112172,8.868900857481599,19.341239546406786,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,50.0,9,9,0.8888888888888888,0.8050847457627118,1.104093567251462,0.8280701754385965,1.2421052631578948,0.8888888888888888,0.8050847457627118,1.104093567251462,-7.959399719342045,-1.6952910407747044,-6.26410867856734,-24.4083678794621,9.529529557691388,-26.103658920236807,7.834238516916685,-30.387075851112172,8.868900857481599,19.341239546406786,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,0.0,9,9,0.0,0.2966101694915254,0.0,0.0,0.0,0.1111111111111111,0.4406779661016949,0.25213675213675213,-22.305916034089318,-1.753943134230494,-20.551972899858825,-32.50571656918174,-9.001439254890778,-34.25965970341224,-10.755382389121273,-36.699730852965956,-9.303824973322508,37.01214584664844,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,10.0,9,9,0.0,0.3220338983050847,0.0,0.0,0.0,0.2222222222222222,0.4830508474576271,0.4600389863547758,-22.305916034089318,-1.753943134230494,-20.551972899858825,-32.50571656918174,-9.001439254890778,-34.25965970341224,-10.755382389121273,-36.699730852965956,-9.303824973322508,37.01214584664844,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,25.0,9,9,0.3333333333333333,0.3983050847457627,0.8368794326241135,0.0,1.673758865248227,0.5555555555555556,0.5932203389830508,0.9365079365079366,-22.305916034089318,-1.753943134230494,-20.551972899858825,-32.50571656918174,-9.001439254890778,-34.25965970341224,-10.755382389121273,-36.699730852965956,-9.303824973322508,37.01214584664844,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,50.0,9,9,0.4444444444444444,0.559322033898305,0.7946127946127947,0.19865319865319866,1.3905723905723908,1.0,0.7288135593220338,1.372093023255814,-22.305916034089318,-1.753943134230494,-20.551972899858825,-32.50571656918174,-9.001439254890778,-34.25965970341224,-10.755382389121273,-36.699730852965956,-9.303824973322508,37.01214584664844,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,0.0,9,9,0.0,0.2033898305084746,0.0,0.0,0.0,0.2222222222222222,0.4491525423728814,0.49475890985324944,-15.29533439637823,-1.8278022888000809,-13.46753210757815,-28.607371151770224,-0.3264564921525901,-30.435173440570303,-2.154258780952671,-29.773721919643968,-0.6224558685609587,42.18287742086139,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,10.0,9,9,0.0,0.2288135593220339,0.0,0.0,0.0,0.3333333333333333,0.4745762711864407,0.7023809523809523,-15.29533439637823,-1.8278022888000809,-13.46753210757815,-28.607371151770224,-0.3264564921525901,-30.435173440570303,-2.154258780952671,-29.773721919643968,-0.6224558685609587,42.18287742086139,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,25.0,9,9,0.1111111111111111,0.288135593220339,0.3856209150326797,0.0,1.156862745098039,0.7777777777777778,0.5932203389830508,1.3111111111111111,-15.29533439637823,-1.8278022888000809,-13.46753210757815,-28.607371151770224,-0.3264564921525901,-30.435173440570303,-2.154258780952671,-29.773721919643968,-0.6224558685609587,42.18287742086139,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,50.0,9,9,0.4444444444444444,0.4576271186440678,0.97119341563786,0.242798353909465,1.699588477366255,0.8888888888888888,0.6949152542372882,1.2791327913279131,-15.29533439637823,-1.8278022888000809,-13.46753210757815,-28.607371151770224,-0.3264564921525901,-30.435173440570303,-2.154258780952671,-29.773721919643968,-0.6224558685609587,42.18287742086139,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,0.0,9,9,0.0,0.16101694915254236,0.0,0.0,0.0,0.4444444444444444,0.4491525423728814,0.9895178197064989,9.954429670488985,0.06389764753973065,9.890532022949253,-25.891069704086497,52.058407907596525,-25.827172056546768,52.12230555513626,-28.222733834424105,66.93825123708031,66.76898664449797,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,10.0,9,9,0.0,0.17796610169491525,0.0,0.0,0.0,0.4444444444444444,0.4661016949152542,0.9535353535353536,9.954429670488985,0.06389764753973065,9.890532022949253,-25.891069704086497,52.058407907596525,-25.827172056546768,52.12230555513626,-28.222733834424105,66.93825123708031,66.76898664449797,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,25.0,9,9,0.1111111111111111,0.22033898305084745,0.5042735042735043,0.0,1.5128205128205128,0.7777777777777778,0.559322033898305,1.3905723905723908,9.954429670488985,0.06389764753973065,9.890532022949253,-25.891069704086497,52.058407907596525,-25.827172056546768,52.12230555513626,-28.222733834424105,66.93825123708031,66.76898664449797,-3.992621545414961,0.34806629834254144,0.25,0.7824381790204901,46.0,0.16666666666666666,,,,,,,
