corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,17,10,2,0.6574585635359116,0.0,0.7921811790292441,42.0,0.0
AMD,1,2021-07…2021-12,12,0,0,0.4565217391304348,0.0,0.7655053151547896,44.0,0.16666666666666666
AMD,2,2022-01…2022-06,17,23,2,0.6574585635359116,0.0,0.9955260558164908,49.0,0.0
AMD,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,0.595821829325638,67.0,0.3333333333333333
AMD,4,2023-01…2023-06,1,0,0,0.03867403314917127,0.0,,168.0,0.8333333333333334
AMD,5,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.3253160321349824,72.0,0.3333333333333333
AMD,6,2024-01…2024-06,7,6,5,0.2692307692307692,0.0,1.571916014369928,123.0,0.5
AMD,7,2024-07…2024-12,6,11,6,0.2282608695652174,0.0,0.9957536963169222,80.0,0.3333333333333333
AMD,8,2025-01…2025-06,25,0,0,0.9668508287292817,0.0,0.15542270042291206,10.0,0.0
AMD,9,2025-07…2025-12,18,0,0,0.6847826086956522,0.0,0.5768882040742384,28.0,0.0
AMD,10,2026-01…2026-06,19,5,1,0.7348066298342542,0.0,0.4782889613805784,22.0,0.0
KGS,0,2021-01…2021-06,24,0,0,0.9281767955801105,0.0,0.15142698685642164,10.0,0.0
KGS,1,2021-07…2021-12,17,0,0,0.6467391304347826,0.0,0.5284184085667606,26.0,0.0
KGS,2,2022-01…2022-06,14,35,9,0.5414364640883977,0.0,1.0304368005850724,49.0,0.16666666666666666
KGS,3,2022-07…2022-12,10,0,0,0.3804347826086957,0.0,0.6631325670725933,36.0,0.16666666666666666
KGS,4,2023-01…2023-06,7,0,0,0.27071823204419887,0.0,0.9389869160810648,81.0,0.3333333333333333
KGS,5,2023-07…2023-12,10,0,0,0.3804347826086957,0.0,1.5157340497661198,88.0,0.3333333333333333
KGS,6,2024-01…2024-06,5,7,2,0.19230769230769232,0.0,0.8976158898517147,96.0,0.3333333333333333
KGS,7,2024-07…2024-12,4,11,0,0.15217391304347827,0.0,0.7179804090423325,80.0,0.3333333333333333
KGS,8,2025-01…2025-06,17,0,0,0.6574585635359116,0.0,0.41815253334675784,18.0,0.0
KGS,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.6139105353426213,34.0,0.0
KGS,10,2026-01…2026-06,17,2,1,0.6574585635359116,0.0,0.9423508662039709,46.0,0.16666666666666666
KZT,0,2021-01…2021-06,20,0,0,0.7734806629834254,0.0,0.5149373973471751,22.0,0.0
KZT,1,2021-07…2021-12,25,0,0,0.9510869565217391,0.0,0.1381336028389567,11.0,0.0
KZT,2,2022-01…2022-06,17,31,4,0.6574585635359116,0.0,1.0523837560290068,48.0,0.0
KZT,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,0.5980463481892616,67.0,0.3333333333333333
KZT,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.25071984024596905,63.0,0.3333333333333333
KZT,5,2023-07…2023-12,4,3,0,0.15217391304347827,0.0,0.8908685055690746,92.0,0.5
KZT,6,2024-01…2024-06,7,6,2,0.2692307692307692,0.0,1.241845831799925,99.0,0.5
KZT,7,2024-07…2024-12,10,21,5,0.3804347826086957,0.0,0.6919240207414157,32.0,0.0
KZT,8,2025-01…2025-06,11,0,0,0.42541436464088395,0.0,0.5746840340962952,38.0,0.0
KZT,9,2025-07…2025-12,10,0,0,0.3804347826086957,0.0,0.5345224838248487,36.0,0.16666666666666666
KZT,10,2026-01…2026-06,13,7,0,0.5027624309392265,0.0,0.9277307392934822,44.0,0.16666666666666666
TJS,0,2021-01…2021-06,23,0,0,0.8895027624309392,0.0,0.2741711954247083,13.0,0.0
TJS,1,2021-07…2021-12,16,0,0,0.6086956521739131,0.0,0.427557328061308,25.0,0.0
TJS,2,2022-01…2022-06,14,30,5,0.5414364640883977,0.0,1.2775607454572693,58.0,0.3333333333333333
TJS,3,2022-07…2022-12,3,0,0,0.1141304347826087,0.0,0.6049382716049383,91.0,0.6666666666666666
TJS,4,2023-01…2023-06,8,0,0,0.30939226519337015,0.0,0.75,47.0,0.16666666666666666
TJS,5,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.6378780870685015,91.0,0.3333333333333333
TJS,6,2024-01…2024-06,4,7,2,0.15384615384615385,0.0,0.8127080449461558,113.0,0.5
TJS,7,2024-07…2024-12,5,11,1,0.19021739130434784,0.0,0.9622504486493763,80.0,0.3333333333333333
TJS,8,2025-01…2025-06,14,0,0,0.5414364640883977,0.0,0.5322645566620045,31.0,0.0
TJS,9,2025-07…2025-12,6,0,0,0.2282608695652174,0.0,0.0574959574576069,32.0,0.0
TJS,10,2026-01…2026-06,13,6,1,0.5027624309392265,0.0,0.9336595292814593,49.0,0.16666666666666666
UZS,0,2021-01…2021-06,18,0,0,0.6961325966850829,0.0,0.5473427819776074,28.0,0.0
UZS,1,2021-07…2021-12,20,0,0,0.7608695652173914,0.0,0.5562419395194659,22.0,0.0
UZS,2,2022-01…2022-06,15,25,4,0.580110497237569,0.0,1.0998975010449001,51.0,0.16666666666666666
UZS,3,2022-07…2022-12,7,0,0,0.266304347826087,0.0,0.9122675688676535,63.0,0.3333333333333333
UZS,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,119.0,0.6666666666666666
UZS,5,2023-07…2023-12,5,0,0,0.19021739130434784,0.0,0.8572460569294172,92.0,0.3333333333333333
UZS,6,2024-01…2024-06,10,7,3,0.38461538461538464,0.0,1.1827436165558773,70.0,0.3333333333333333
UZS,7,2024-07…2024-12,6,11,2,0.2282608695652174,0.0,1.234695644219834,109.0,0.3333333333333333
UZS,8,2025-01…2025-06,17,0,0,0.6574585635359116,0.0,0.2218292246530929,21.0,0.0
UZS,9,2025-07…2025-12,5,0,0,0.19021739130434784,0.0,1.0053998315717225,92.0,0.5
UZS,10,2026-01…2026-06,13,0,0,0.5027624309392265,0.0,0.9687638522160829,54.0,0.16666666666666666
