corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,103,0.6019417475728155,0.5024093851086495,1.2206572769953052,1.2607758620689655,24.94168249000544,55.301485652604775,0.3804347826086957,1.198110077984792
AMD,WINDOW_CLOSING,9,38,0.4473684210526316,0.4057398655035906,0.962686567164179,0.962686567164179,-18.67499032954686,-63.10060264398138,0.11602209944751381,1.1025991259137748
KGS,BUY_NOW,11,120,0.5166666666666667,0.4937069831083166,1.04,0.9831932773109243,58.053582150018784,85.00220010580544,0.3804347826086957,1.046504676546803
KGS,WINDOW_CLOSING,3,16,0.3125,0.4047371340064482,0.963265306122449,0.963265306122449,-81.27644852927926,-55.60730180055854,0.19337016574585636,0.7721060751372057
KZT,BUY_NOW,11,121,0.5206611570247934,0.4911905198854464,1.0702947845804989,1.0350877192982457,14.977766847440307,21.933128808517527,0.3804347826086957,1.0599983834098021
KZT,WINDOW_CLOSING,4,8,0.375,0.4559879593974982,0.9435064935064936,0.9435064935064936,-147.9323852719156,-173.58997214441257,0.07671751141004084,0.8223901361244089
TJS,BUY_NOW,11,102,0.49019607843137253,0.5475172574360454,0.8783783783783784,0.7267080745341614,5.572185245249575,14.91346451263057,0.41847826086956524,0.8953070826057598
TJS,WINDOW_CLOSING,3,15,0.6,0.4319696974801429,1.9545454545454544,1.9545454545454544,14.750629965214536,12.156360442558364,0.1141304347826087,1.3889863189479423
UZS,BUY_NOW,11,109,0.5229357798165137,0.47854441197407627,1.125,1.2000000000000002,53.67342101147912,30.73878603447305,0.38461538461538464,1.0927633187885646
UZS,WINDOW_CLOSING,3,9,0.4444444444444444,0.40490540569373834,0.5863636363636364,0.5863636363636364,-21.765093707263862,-11.419373189554278,0.11602209944751381,1.0976500639278017
