column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,1020,16.0
n_scored,6600,1020,16.0
hit_rate,6600,1174,1.0
base_rate,6600,0,0.0
lift,6600,1174,14.625
lift_ci_lo,6600,812,1.0833333333333333
lift_ci_hi,6600,962,27.0
hit_mean,6600,1199,1.0
base_mean,6600,0,0.0
lift_mean,6600,1199,4.333333333333333
benefit_fwd_bps,6600,1420,918.2308344488977
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,1420,918.2308344488976
benefit_excess_ci_lo,6600,1020,300.32693524296394
benefit_excess_ci_hi,6600,1020,279.87793134285977
benefit_fwd_ci_lo,6600,1020,300.32693524296394
benefit_fwd_ci_hi,6600,1020,279.8779313428597
benefit_fwd_block_ci_lo,6600,1020,306.12788876616264
benefit_fwd_block_ci_hi,6600,1020,486.9929938417094
benefit_sym_bps,6600,1420,514.0716550696401
vs_wait5_bps,6600,1420,379.2863973148675
freq_per_week,6600,1020,0.6086956521739131
clump_share_series,6600,960,1.0
clump_cv_gaps,6600,1220,0.6227129976249368
longest_gap_days,6600,1260,74.0
empty_month_share,6600,580,0.5
hit_mean_trunc,6600,56,1.0
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,51,15.0
lift_mean_trunc,6600,56,1.886111111111111
benefit_excess_trunc,6600,69,390.080387676138
base_mean_month_trunc,6600,51,0.18823529411764695
benefit_excess_month_trunc,6600,69,306.1630056664555
