pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
level → level,all,45,623,593,1.1069629735349202,1.1149605400689881,0.007997566534067913,-0.020095024804298246,0.04685938924891784,43.976917209123506,48.149065595556145,4.172148386432639,-2.5119596141623775,12.334067171866161,10,-0.02075646155621102,0.04675883757275057,-2.622668068694327,9.716398142755098,разницы нет,разницы нет,разницы нет,разницы нет
level → level,AMD,9,138,138,1.26964373068975,1.26964373068975,0.0,0.0,0.0,78.05177799871983,78.05177799871983,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KGS,9,115,115,0.9960050171628797,0.9960050171628797,0.0,0.0,0.0,17.747576766654195,17.747576766654195,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KZT,10,157,134,1.0852097438717145,1.0683650000438532,-0.016844743827861386,-0.08282288848105729,0.04698693007013882,29.703972490863674,37.23604170180764,7.53206921094397,-0.34130372058126224,20.81416774870115,10,-0.08282288848105729,0.04698693007013882,-0.34130372058126224,20.81416774870115,разницы нет,разницы нет,разницы нет,разницы нет
level → level,TJS,7,92,92,1.1008464724326434,1.1008464724326434,0.0,0.0,0.0,57.40823244204393,57.40823244204393,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level → level,UZS,10,121,114,1.054613773202622,1.104454537827256,0.04984076462463416,-0.08511026564609009,0.24805480567786922,38.350592260840784,47.974493276017185,9.6239010151764,-21.999800349519635,41.646906863002485,10,-0.08511026564609009,0.24805480567786922,-21.999800349519635,41.646906863002485,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,all,45,272,272,1.1558207648258547,1.1558207648258547,0.0,0.0,0.0,36.98792116450045,36.98792116450045,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,8,41,41,1.4404355857191993,1.4404355857191993,0.0,0.0,0.0,119.94351531661962,119.94351531661962,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,63,1.2781639046769864,1.2781639046769864,0.0,0.0,0.0,59.600690695771405,59.600690695771405,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,56,1.086659524027471,1.086659524027471,0.0,0.0,0.0,9.940140438710113,9.940140438710113,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,TJS,9,53,53,1.0974467796595495,1.0974467796595495,0.0,0.0,0.0,7.296454860878059,7.296454860878059,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,UZS,9,59,59,0.9821338403579795,0.9821338403579795,0.0,0.0,0.0,7.539439707369737,7.539439707369737,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,all,45,496,496,1.0022315287028014,1.0022315287028014,0.0,0.0,0.0,-31.782636922024636,-31.782636922024636,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,AMD,9,87,87,1.1762044919628283,1.1762044919628283,0.0,0.0,0.0,-5.18381836409982,-5.18381836409982,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KGS,9,86,86,0.9305249981197918,0.9305249981197918,0.0,0.0,0.0,-15.398010329829743,-15.398010329829743,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KZT,9,132,132,0.9369717722530976,0.9369717722530976,0.0,0.0,0.0,-47.25441396627322,-47.25441396627322,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,TJS,9,104,104,0.9214387893439873,0.9214387893439873,0.0,0.0,0.0,-55.51854820962326,-55.51854820962326,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,UZS,9,87,87,1.10543257234363,1.10543257234363,0.0,0.0,0.0,-22.72936976934824,-22.72936976934824,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,all,48,525,520,1.0774007002126214,1.0639996647905154,-0.013401035422105911,-0.04285156904639502,0.0,-9.11381156773621,-10.98174950725247,-1.8679379395162599,-6.050751938316872,0.0,10,-0.03771483216912489,0.0,-5.4072631660421315,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,AMD,9,93,93,1.1336054359058891,1.1336054359058891,0.0,0.0,0.0,37.88928963439629,37.88928963439629,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KGS,10,115,115,0.9622468111073544,0.9622468111073544,0.0,0.0,0.0,-47.65391791689655,-47.65391791689655,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KZT,10,106,106,1.0569429311544163,1.0569429311544163,0.0,0.0,0.0,-25.03948207521487,-25.03948207521487,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,TJS,9,99,94,1.041245633528159,0.9772322093209702,-0.06401342420718881,-0.1748203820240116,0.0,-12.798546770904508,-23.327817032226825,-10.529270261322317,-27.86683176442352,0.0,9,-0.1748203820240116,0.0,-27.86683176442352,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,UZS,10,112,112,1.2112723727209884,1.2112723727209884,0.0,0.0,0.0,9.758810550670196,9.758810550670196,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
