corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,momentum,0,2021-01…2021-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.4163}",True,3.0,
TJS,level,0,2021-01…2021-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.7329}",True,27.0,
TJS,reversal,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 28, ""_score"": 1.4857}",True,28.0,
TJS,seasonality,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.2949}",False,0.0,
TJS,dip_vs_trend,0,2021-01…2021-06,"{""span"": 80, ""window"": 250, ""pct"": 0.05, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 32, ""_score"": 1.7294}",True,32.0,
TJS,ml_localmin,0,2021-01…2021-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.4359, ""_fitted"": true, ""_pos_rate_val"": 0.556}",,,True
TJS,momentum,1,2021-07…2021-12,"{""n"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0925}",True,4.0,
TJS,level,1,2021-07…2021-12,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.7329}",True,23.0,
TJS,reversal,1,2021-07…2021-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.4785}",True,27.0,
TJS,seasonality,1,2021-07…2021-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.2949}",False,0.0,
TJS,dip_vs_trend,1,2021-07…2021-12,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 34, ""_score"": 1.5535}",True,34.0,
TJS,ml_localmin,1,2021-07…2021-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0529, ""_fitted"": true, ""_pos_rate_val"": 0.403}",,,True
TJS,momentum,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.041}",True,4.0,
TJS,level,2,2022-01…2022-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 20, ""_score"": 1.6405}",True,20.0,
TJS,reversal,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.7596}",True,27.0,
TJS,seasonality,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.0455}",False,0.0,
TJS,dip_vs_trend,2,2022-01…2022-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 36, ""_score"": 1.5535}",True,36.0,
TJS,ml_localmin,2,2022-01…2022-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0004, ""_fitted"": true, ""_pos_rate_val"": 0.895}",,,True
TJS,momentum,3,2022-07…2022-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9148}",True,4.0,
TJS,level,3,2022-07…2022-12,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.5983}",True,22.0,
TJS,reversal,3,2022-07…2022-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 29, ""_score"": 1.5976}",True,29.0,
TJS,seasonality,3,2022-07…2022-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.0134}",False,0.0,
TJS,dip_vs_trend,3,2022-07…2022-12,"{""span"": 80, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 34, ""_score"": 1.3315}",True,34.0,
TJS,ml_localmin,3,2022-07…2022-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0001, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
TJS,momentum,4,2023-01…2023-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1209}",True,4.0,
TJS,level,4,2023-01…2023-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 25, ""_score"": 1.5983}",True,25.0,
TJS,reversal,4,2023-01…2023-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 32, ""_score"": 1.5976}",True,32.0,
TJS,seasonality,4,2023-01…2023-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.0134}",False,0.0,
TJS,dip_vs_trend,4,2023-01…2023-06,"{""span"": 20, ""window"": 120, ""pct"": 0.2, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 37, ""_score"": 1.195}",True,37.0,
TJS,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0015, ""_fitted"": true, ""_pos_rate_val"": 0.63}",,,True
TJS,momentum,5,2023-07…2023-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0628}",True,4.0,
