corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,18,10,0,0.6961325966850829,0.0,0.43154638372518966,21.0,0.0
AMD,1,2021-07…2021-12,11,0,0,0.41847826086956524,0.0,0.7704918032786886,48.0,0.16666666666666666
AMD,2,2022-01…2022-06,15,23,1,0.580110497237569,0.0,1.078883181659437,49.0,0.16666666666666666
AMD,3,2022-07…2022-12,7,0,0,0.266304347826087,0.0,0.8613216588476107,67.0,0.5
AMD,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.7808269794601964,111.0,0.5
AMD,5,2023-07…2023-12,12,0,0,0.4565217391304348,0.0,0.884508114480029,46.0,0.16666666666666666
AMD,6,2024-01…2024-06,8,6,4,0.3076923076923077,0.0,0.9962205671342789,77.0,0.3333333333333333
AMD,7,2024-07…2024-12,8,11,3,0.30434782608695654,0.0,1.1343989068686884,80.0,0.3333333333333333
AMD,8,2025-01…2025-06,24,0,0,0.9281767955801105,0.0,0.17123372230469378,12.0,0.0
AMD,9,2025-07…2025-12,12,0,0,0.4565217391304348,0.0,0.7967280577195321,38.0,0.16666666666666666
AMD,10,2026-01…2026-06,16,5,1,0.6187845303867403,0.0,0.5520524474738834,28.0,0.0
KGS,0,2021-01…2021-06,14,0,0,0.5414364640883977,0.0,0.8843525183285064,46.0,0.0
KGS,1,2021-07…2021-12,13,0,0,0.4945652173913044,0.0,1.0211750573165148,46.0,0.16666666666666666
KGS,2,2022-01…2022-06,12,35,7,0.46408839779005523,0.0,0.9392668535736913,47.0,0.16666666666666666
KGS,3,2022-07…2022-12,7,0,0,0.266304347826087,0.0,0.861356769214109,60.0,0.3333333333333333
KGS,4,2023-01…2023-06,4,0,0,0.15469613259668508,0.0,0.6922236298473264,102.0,0.3333333333333333
KGS,5,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.5729497507445518,88.0,0.3333333333333333
KGS,6,2024-01…2024-06,6,7,4,0.23076923076923078,0.0,1.0580165755577502,93.0,0.3333333333333333
KGS,7,2024-07…2024-12,6,11,1,0.2282608695652174,0.0,0.8508624695852792,80.0,0.16666666666666666
KGS,8,2025-01…2025-06,22,0,0,0.8508287292817679,0.0,0.1671702372327297,12.0,0.0
KGS,9,2025-07…2025-12,8,0,0,0.30434782608695654,0.0,1.0361276702910784,83.0,0.3333333333333333
KGS,10,2026-01…2026-06,16,2,0,0.6187845303867403,0.0,0.8565352559768697,40.0,0.16666666666666666
KZT,0,2021-01…2021-06,16,0,0,0.6187845303867403,0.0,0.5328874059229947,28.0,0.0
KZT,1,2021-07…2021-12,10,0,0,0.3804347826086957,0.0,0.7606674427427228,35.0,0.16666666666666666
KZT,2,2022-01…2022-06,14,31,3,0.5414364640883977,0.0,1.446148731578517,70.0,0.16666666666666666
KZT,3,2022-07…2022-12,9,0,0,0.3423913043478261,0.0,0.6590792935161931,71.0,0.3333333333333333
KZT,4,2023-01…2023-06,6,0,0,0.23204419889502761,0.0,0.5324642816166024,61.0,0.16666666666666666
KZT,5,2023-07…2023-12,3,3,0,0.1141304347826087,0.0,0.5903614457831325,92.0,0.5
KZT,6,2024-01…2024-06,10,6,4,0.38461538461538464,0.0,1.0371197056996928,61.0,0.16666666666666666
KZT,7,2024-07…2024-12,10,21,4,0.3804347826086957,0.0,0.9611364561911336,51.0,0.0
KZT,8,2025-01…2025-06,20,0,0,0.7734806629834254,0.0,0.35246555435410176,15.0,0.0
KZT,9,2025-07…2025-12,9,0,0,0.3423913043478261,0.0,0.8059776671843955,50.0,0.3333333333333333
KZT,10,2026-01…2026-06,9,7,0,0.34806629834254144,0.0,1.1601433957283418,65.0,0.3333333333333333
TJS,0,2021-01…2021-06,11,0,0,0.42541436464088395,0.0,0.5816918363011866,39.0,0.0
TJS,1,2021-07…2021-12,11,0,0,0.41847826086956524,0.0,0.5633234713140696,50.0,0.16666666666666666
TJS,2,2022-01…2022-06,13,30,2,0.5027624309392265,0.0,1.1588197513287903,57.0,0.3333333333333333
TJS,3,2022-07…2022-12,4,0,0,0.15217391304347827,0.0,0.5910146230812935,72.0,0.5
TJS,4,2023-01…2023-06,7,0,0,0.27071823204419887,0.0,0.6610785077344671,47.0,0.0
TJS,5,2023-07…2023-12,16,0,0,0.6086956521739131,0.0,0.5658206970626735,24.0,0.0
TJS,6,2024-01…2024-06,4,7,2,0.15384615384615385,0.0,0.834950811211569,113.0,0.5
TJS,7,2024-07…2024-12,5,11,2,0.19021739130434784,0.0,0.9622504486493763,80.0,0.3333333333333333
TJS,8,2025-01…2025-06,10,0,0,0.3867403314917127,0.0,0.9428321470984091,64.0,0.16666666666666666
TJS,9,2025-07…2025-12,6,0,0,0.2282608695652174,0.0,0.0574959574576069,32.0,0.0
TJS,10,2026-01…2026-06,15,6,1,0.580110497237569,0.0,0.9970802857392742,45.0,0.16666666666666666
UZS,0,2021-01…2021-06,9,0,0,0.34806629834254144,0.0,0.846957573111828,58.0,0.16666666666666666
UZS,1,2021-07…2021-12,12,0,0,0.4565217391304348,0.0,0.7370277311900888,34.0,0.0
UZS,2,2022-01…2022-06,14,25,3,0.5414364640883977,0.0,1.088095538982668,50.0,0.3333333333333333
UZS,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,1.0490005640039792,63.0,0.3333333333333333
UZS,4,2023-01…2023-06,5,0,0,0.19337016574585636,0.0,0.3317870471071756,52.0,0.16666666666666666
UZS,5,2023-07…2023-12,11,0,0,0.41847826086956524,0.0,1.5090885973885473,88.0,0.3333333333333333
UZS,6,2024-01…2024-06,5,7,2,0.19230769230769232,0.0,0.9031657457698572,88.0,0.3333333333333333
UZS,7,2024-07…2024-12,5,11,2,0.19021739130434784,0.0,1.1070025047191832,111.0,0.3333333333333333
UZS,8,2025-01…2025-06,10,0,0,0.3867403314917127,0.0,0.5406231176134801,34.0,0.0
UZS,9,2025-07…2025-12,4,0,0,0.15217391304347827,0.0,0.8555917213108453,92.0,0.5
UZS,10,2026-01…2026-06,8,0,0,0.30939226519337015,0.0,1.0660712623966264,75.0,0.3333333333333333
