date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2021-01-13,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=3,span=80,window=120)",BUY_NOW,down,0.16666666666666674,medium,0,0.140385,"{""span"": 80, ""window"": 120, ""pct"": 0.1, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.4296}","{""dev_pct"": -3.425315056186129, ""pct_rank"": 0.08333333333333333, ""window"": 120.0, ""span"": 80.0}"
2021-01-13,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.11111111111111105,medium,0,0.140385,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.4296}","{""pct_rank"": 0.13333333333333333, ""window"": 60.0, ""days_since_min"": 16.0}"
2021-01-13,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.140385,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -1.3276396786180644}"
2021-01-13,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.140385,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 0.8216413080441853, ""min_rate"": 72.9272, ""days_since_min"": 16.0, ""window"": 60.0}"
2021-01-18,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.141023,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 1.43471845895633, ""min_rate"": 72.9272, ""days_since_min"": 19.0, ""window"": 60.0}"
2021-01-20,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=3,span=80,window=120)",BUY_NOW,down,0.33333333333333337,medium,0,0.140486,"{""span"": 80, ""window"": 120, ""pct"": 0.1, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.4296}","{""dev_pct"": -3.523945547746954, ""pct_rank"": 0.06666666666666667, ""window"": 120.0, ""span"": 80.0}"
2021-01-20,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.33333333333333326,medium,0,0.140486,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.4296}","{""pct_rank"": 0.1, ""window"": 60.0, ""days_since_min"": 21.0}"
2021-01-20,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.140486,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.8361102286629674}"
2021-02-05,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.144319,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -1.2741833935549618}"
2021-02-10,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,1.0,fast,0,0.140927,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 5.0, ""drop_pct"": -2.927835268355339}"
2021-02-15,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.4444444444444444,medium,0,0.13989,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.4296}","{""pct_rank"": 0.08333333333333333, ""window"": 60.0, ""days_since_min"": 39.0}"
2021-02-16,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.139705,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.8768180822258609}"
2021-02-25,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.139355,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.6874524385908742}"
2021-03-10,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.140559,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.5215814047227152}"
2021-03-15,AMD,level,"level(pct=0.15,rearm=3,stall_days=0,window=60)",BUY_NOW,down,0.5555555555555556,medium,0,0.138828,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.4296}","{""pct_rank"": 0.06666666666666667, ""window"": 60.0, ""days_since_min"": 57.0}"
2021-03-16,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.138316,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.7430473648482261}"
2021-03-18,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.13957,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 0.9543337001914677, ""min_rate"": 72.9619, ""days_since_min"": 2.0, ""window"": 60.0}"
2021-03-23,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.142792,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 3.284728056698083, ""min_rate"": 72.9619, ""days_since_min"": 5.0, ""window"": 60.0}"
2021-03-26,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.143412,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 3.831725873366776, ""min_rate"": 72.9619, ""days_since_min"": 8.0, ""window"": 60.0}"
2021-03-31,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.142914,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -0.25241102643194235}"
2021-03-31,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.142914,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 3.666845298710686, ""min_rate"": 72.9619, ""days_since_min"": 11.0, ""window"": 60.0}"
2021-04-05,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.143657,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 4.993428076845574, ""min_rate"": 72.9619, ""days_since_min"": 14.0, ""window"": 60.0}"
2021-04-08,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.144249,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 5.673097877111211, ""min_rate"": 72.9619, ""days_since_min"": 17.0, ""window"": 60.0}"
2021-04-13,AMD,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,0,0.149571,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}","{""rise_pct"": 5.881974016575775, ""min_rate"": 72.9619, ""days_since_min"": 20.0, ""window"": 60.0}"
2021-04-14,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.146247,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -2.358135166377684}"
2021-04-23,AMD,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,0,0.143783,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}","{""streak"": 2.0, ""drop_pct"": -2.2526744407040944}"
