corridor,split,window,pushes,storm_days,storm_blocked,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,17,10,4,0.6574585635359116,0.0,0.5994487826121649,33.0,0.0
AMD,1,2021-07…2021-12,23,0,0,0.875,0.0,0.3985326485620727,17.0,0.0
AMD,2,2022-01…2022-06,12,23,0,0.46408839779005523,0.0,0.17056057308448835,87.0,0.5
AMD,3,2022-07…2022-12,8,0,0,0.30434782608695654,0.0,1.0009023706413906,66.0,0.3333333333333333
AMD,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,119.0,0.6666666666666666
AMD,5,2023-07…2023-12,10,0,0,0.3804347826086957,0.0,1.5755261458134355,92.0,0.3333333333333333
AMD,6,2024-01…2024-06,7,6,2,0.2692307692307692,0.0,1.1441903068090864,91.0,0.3333333333333333
AMD,7,2024-07…2024-12,7,11,7,0.266304347826087,0.0,0.9388485889470484,78.0,0.16666666666666666
AMD,8,2025-01…2025-06,20,0,0,0.7734806629834254,0.0,0.25298221281347033,21.0,0.0
AMD,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.5725188012439223,33.0,0.0
AMD,10,2026-01…2026-06,19,5,0,0.7348066298342542,0.0,0.958743095540566,42.0,0.16666666666666666
KGS,0,2021-01…2021-06,20,0,0,0.7734806629834254,0.0,0.3247376563543955,16.0,0.0
KGS,1,2021-07…2021-12,23,0,0,0.875,0.0,0.3985326485620727,17.0,0.0
KGS,2,2022-01…2022-06,16,35,10,0.6187845303867403,0.0,0.8538111831504438,43.0,0.0
KGS,3,2022-07…2022-12,14,0,0,0.532608695652174,0.0,0.4199834472326735,24.0,0.0
KGS,4,2023-01…2023-06,13,0,0,0.5027624309392265,0.0,0.4797570325107895,30.0,0.0
KGS,5,2023-07…2023-12,14,0,0,0.532608695652174,0.0,0.6057418921324403,28.0,0.0
KGS,6,2024-01…2024-06,17,7,3,0.6538461538461539,0.0,0.674388275262746,29.0,0.0
KGS,7,2024-07…2024-12,7,11,4,0.266304347826087,0.0,0.9445840440997115,77.0,0.16666666666666666
KGS,8,2025-01…2025-06,15,0,0,0.580110497237569,0.0,0.4454211490264017,26.0,0.0
KGS,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.5725188012439223,33.0,0.0
KGS,10,2026-01…2026-06,16,2,0,0.6187845303867403,0.0,0.7979369982562453,39.0,0.0
KZT,0,2021-01…2021-06,20,0,0,0.7734806629834254,0.0,0.3247376563543955,16.0,0.0
KZT,1,2021-07…2021-12,23,0,0,0.875,0.0,0.3985326485620727,17.0,0.0
KZT,2,2022-01…2022-06,16,31,5,0.6187845303867403,0.0,0.9149809192789916,43.0,0.0
KZT,3,2022-07…2022-12,6,0,0,0.2282608695652174,0.0,0.800656869080114,66.0,0.3333333333333333
KZT,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,119.0,0.6666666666666666
KZT,5,2023-07…2023-12,7,3,0,0.266304347826087,0.0,1.203654340917578,92.0,0.3333333333333333
KZT,6,2024-01…2024-06,17,6,3,0.6538461538461539,0.0,0.674388275262746,29.0,0.0
KZT,7,2024-07…2024-12,6,21,5,0.2282608695652174,0.0,1.0575366390395906,77.0,0.3333333333333333
KZT,8,2025-01…2025-06,20,0,0,0.7734806629834254,0.0,0.25298221281347033,21.0,0.0
KZT,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.5725188012439223,33.0,0.0
KZT,10,2026-01…2026-06,15,7,3,0.580110497237569,0.0,0.8714040180192824,44.0,0.0
TJS,0,2021-01…2021-06,20,0,0,0.7734806629834254,0.0,0.3247376563543955,16.0,0.0
TJS,1,2021-07…2021-12,23,0,0,0.875,0.0,0.3985326485620727,17.0,0.0
TJS,2,2022-01…2022-06,17,30,6,0.6574585635359116,0.0,1.0204133767870784,50.0,0.16666666666666666
TJS,3,2022-07…2022-12,6,0,0,0.2282608695652174,0.0,0.800656869080114,66.0,0.3333333333333333
TJS,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,119.0,0.6666666666666666
TJS,5,2023-07…2023-12,8,0,0,0.30434782608695654,0.0,1.3487798698995854,92.0,0.3333333333333333
TJS,6,2024-01…2024-06,7,7,2,0.2692307692307692,0.0,1.1441903068090864,91.0,0.3333333333333333
TJS,7,2024-07…2024-12,7,11,5,0.266304347826087,0.0,0.9541666414657648,78.0,0.16666666666666666
TJS,8,2025-01…2025-06,20,0,0,0.7734806629834254,0.0,0.25298221281347033,21.0,0.0
TJS,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.5725188012439223,33.0,0.0
TJS,10,2026-01…2026-06,16,6,0,0.6187845303867403,0.0,0.7979369982562453,39.0,0.0
UZS,0,2021-01…2021-06,20,0,0,0.7734806629834254,0.0,0.3247376563543955,16.0,0.0
UZS,1,2021-07…2021-12,23,0,0,0.875,0.0,0.3985326485620727,17.0,0.0
UZS,2,2022-01…2022-06,18,25,4,0.6961325966850829,0.0,0.8885233166386385,43.0,0.0
UZS,3,2022-07…2022-12,6,0,0,0.2282608695652174,0.0,0.800656869080114,66.0,0.3333333333333333
UZS,4,2023-01…2023-06,2,0,0,0.07734806629834254,0.0,0.0,119.0,0.6666666666666666
UZS,5,2023-07…2023-12,7,0,0,0.266304347826087,0.0,1.203654340917578,92.0,0.3333333333333333
UZS,6,2024-01…2024-06,7,7,2,0.2692307692307692,0.0,1.1441903068090864,91.0,0.3333333333333333
UZS,7,2024-07…2024-12,7,11,4,0.266304347826087,0.0,0.9445840440997115,77.0,0.16666666666666666
UZS,8,2025-01…2025-06,15,0,0,0.580110497237569,0.0,0.4454211490264017,26.0,0.0
UZS,9,2025-07…2025-12,11,0,0,0.41847826086956524,0.0,0.5725188012439223,33.0,0.0
UZS,10,2026-01…2026-06,16,0,0,0.6187845303867403,0.0,0.7979369982562453,39.0,0.0
