indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,AMD,11,3,84,1.086687306501548,1.1964025279533301,0.25,0.375,0.4523809523809524,0.4451595532781011,57.90339568628001,99.7097492234138,148.16284900937617,0.2282608695652174,0.6818181818181818,1.0162220467912544
dip_vs_trend,KGS,11,3,84,1.276222116753678,1.2848045674132629,0.5,0.375,0.4523809523809524,0.4386582089626649,76.79022005036374,114.2044442030153,137.87997007667852,0.2282608695652174,0.6818181818181818,1.031283452897733
dip_vs_trend,KZT,11,3,84,0.9754614455752976,0.9839223002633889,0.25,0.5,0.4166666666666667,0.4135496891039291,10.383616695768492,32.66646921781672,118.58432006314978,0.2282608695652174,0.6818181818181818,1.0075371295030868
dip_vs_trend,TJS,11,3,84,1.0057942461361495,1.3988636363636364,0.625,0.375,0.5119047619047619,0.5169817117972961,89.09548615566757,114.18572889341169,150.58753016175956,0.2282608695652174,0.6818181818181818,0.990179633482809
dip_vs_trend,UZS,11,3,84,1.3205882352941178,1.361992694805195,0.625,0.375,0.4523809523809524,0.4380297097340579,85.5851850374378,87.70987563337323,143.38384669588385,0.2282608695652174,0.6818181818181818,1.0327631718305308
level,AMD,11,1,142,0.9324392998306041,1.2504066867388666,0.5,0.3,0.6267605633802817,0.5056641187586818,90.49376056014756,89.21063178407056,100.62744392403587,0.4230769230769231,0.4393939393939394,1.2394800028898052
level,KGS,11,1,142,1.1553907803907804,1.135204081632653,0.4,0.2,0.5633802816901409,0.47302293995697803,63.974302725617434,71.7859036698379,86.36106423851945,0.4230769230769231,0.4393939393939394,1.1910210564869876
level,KZT,11,1,142,1.2733265720081137,1.1613340049348109,0.3,0.3,0.5211267605633803,0.46379086071409387,53.79784058319976,56.120822761822026,85.53371228167299,0.4230769230769231,0.4393939393939394,1.1236244710838132
level,TJS,11,1,142,1.353522436642641,1.1686267727429955,0.4,0.3,0.6549295774647887,0.534996855768447,67.35952083328084,71.52946884203442,84.97100587147918,0.4230769230769231,0.4393939393939394,1.2241746290715585
level,UZS,11,1,142,1.4866071428571428,1.1403048155737705,0.4,0.2,0.5563380281690141,0.47768704642903287,75.43306444763331,56.677855208540755,89.77955283622546,0.4230769230769231,0.4393939393939394,1.1646496012984642
ml_localmin,AMD,11,2,69,0.532520325203252,1.1382352941176472,0.4444444444444444,0.3333333333333333,0.5217391304347826,0.4725401086117053,16.80822970212219,51.28014677640716,127.61553393663507,0.19021739130434784,0.5606060606060606,1.1041160759191873
ml_localmin,KGS,11,2,69,0.5077519379844961,1.164179104477612,0.3333333333333333,0.2222222222222222,0.4927536231884058,0.4334224060410586,12.699052975711211,40.65864673107544,126.24837818911624,0.19021739130434784,0.5606060606060606,1.13689005533721
ml_localmin,KZT,11,2,69,0.37068965517241376,1.0522088353413654,0.1111111111111111,0.3333333333333333,0.4492753623188406,0.4214633933842943,-9.370478426664434,-13.941028339749806,119.04798855311742,0.19021739130434784,0.5606060606060606,1.0659890499889444
ml_localmin,TJS,11,2,69,0.7647058823529411,1.2,0.3333333333333333,0.1111111111111111,0.6231884057971014,0.5281017641942009,75.24064153443625,60.4139235505843,116.74791111311977,0.19021739130434784,0.5606060606060606,1.1800536336930965
ml_localmin,UZS,11,2,69,0.532520325203252,1.1401515151515151,0.4444444444444444,0.3333333333333333,0.4927536231884058,0.4447932696691949,1.7678958373578233,14.163748322144622,133.86766791061825,0.19021739130434784,0.5606060606060606,1.1078261673223615
momentum,AMD,11,0,202,0.7312500000000001,0.9156521739130435,0.0,0.7272727272727273,0.49504950495049505,0.5409206406621371,-20.37100974477508,9.410521896173059,45.633768086231754,0.6847826086956522,0.0,0.915198030425514
momentum,KGS,11,0,202,0.7834821428571428,0.882154882154882,0.0,0.6363636363636364,0.4752475247524752,0.5174284722202058,-11.991378492609819,9.809646248152106,40.93402468703658,0.6847826086956522,0.0,0.9184796551941978
momentum,KZT,11,0,202,1.0350877192982455,0.9759398496240602,0.0,0.5454545454545454,0.47029702970297027,0.5020610029886762,-8.106357575274018,-8.226104579500447,31.66175648871561,0.6847826086956522,0.0,0.9367328410360078
momentum,TJS,11,0,202,0.7499999999999999,0.985797827903091,0.0,0.5454545454545454,0.5495049504950495,0.5599874909267542,-16.321131569614284,16.35380810815784,48.17127904534701,0.6847826086956522,0.0,0.981280759657048
momentum,UZS,11,0,202,1.0,0.953804347826087,0.0,0.6363636363636364,0.48514851485148514,0.5107183553698227,-15.620535050110817,-14.782629770146162,49.094574284980865,0.6847826086956522,0.0,0.9499335783617531
reversal,AMD,11,1,143,0.8834316914877964,0.8834316914877964,0.2,0.6,0.45454545454545453,0.4500023841481137,3.0315394035994405,33.05771202201965,23.34873330378363,0.5027624309392265,0.45454545454545453,1.0100956585062124
reversal,KGS,11,1,143,0.9354591836734694,0.9354591836734694,0.2,0.5,0.44755244755244755,0.43586697666330837,-0.9530369571568649,-10.13586889637031,4.118041713935505,0.5027624309392265,0.45454545454545453,1.02680971836544
reversal,KZT,11,1,143,0.9055944055944056,0.9055944055944056,0.0,0.8,0.4125874125874126,0.4251264366282242,-15.600477394573286,13.704351495852956,15.722332422760871,0.5027624309392265,0.45454545454545453,0.9705051886674904
reversal,TJS,11,1,143,0.9343214756258235,0.9343214756258235,0.3,0.6,0.5034965034965035,0.5024211181679129,-1.452028168356894,40.06127573471473,5.863654098411292,0.5027624309392265,0.45454545454545453,1.0021404063040027
reversal,UZS,11,1,143,0.917940013950244,0.917940013950244,0.2,0.7,0.4125874125874126,0.416144883324784,-5.263271460859041,29.244867948442995,7.656394724317166,0.5027624309392265,0.45454545454545453,0.9914513649454271
seasonality,AMD,11,0,33,0.8666666666666667,1.1727272727272728,0.36363636363636365,0.36363636363636365,0.6060606060606061,0.5464860610347105,65.33255179731498,38.02386480248526,15.184255920076552,0.1141304347826087,0.5,1.1090138418409021
seasonality,KGS,11,0,33,0.7616279069767442,0.9485294117647058,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.5300293405015276,-2.5491259466899816,20.811626297219107,14.388780558901033,0.1141304347826087,0.5,1.029102549187979
seasonality,KZT,11,0,33,0.0,1.3164556962025318,0.5454545454545454,0.2727272727272727,0.6363636363636364,0.5169790663097357,38.811137008229736,54.141485230091654,35.438857170776,0.1141304347826087,0.5,1.2309272808782827
seasonality,TJS,11,0,33,1.0172413793103448,1.0636363636363637,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.5710476627457975,12.306756790181197,50.34398726049938,68.03405856397299,0.1141304347826087,0.5,1.114379197883022
