column,rows,rows_differ,max_abs_diff
scenario,6600,0,
speed,6600,0,
n_events,6600,5100,24.0
n_scored,6600,5100,24.0
hit_rate,6600,5026,1.0
base_rate,6600,0,0.0
lift,6600,5026,14.625
lift_ci_lo,6600,3557,1.181818181818182
lift_ci_hi,6600,4255,20.64705882352941
hit_mean,6600,5178,1.0
base_mean,6600,0,0.0
lift_mean,6600,5178,5.161764705882352
benefit_fwd_bps,6600,5760,1130.9167297192062
benefit_random_day_bps,6600,0,0.0
benefit_excess_bps,6600,5760,1130.9167297192066
benefit_excess_ci_lo,6600,4520,477.6964298875516
benefit_excess_ci_hi,6600,4520,587.6749266791403
benefit_fwd_ci_lo,6600,4520,477.69642988755163
benefit_fwd_ci_hi,6600,4520,587.6749266791403
benefit_fwd_block_ci_lo,6600,4416,923.8191158952402
benefit_fwd_block_ci_hi,6600,4372,1350.3339604773357
benefit_sym_bps,6600,5760,1252.1715720288532
vs_wait5_bps,6600,5760,1136.0504435163266
freq_per_week,6600,5100,0.9130434782608697
clump_share_series,6600,3740,1.0
clump_cv_gaps,6600,5360,2.2288862430141028
longest_gap_days,6600,5100,132.0
empty_month_share,6600,3220,0.8333333333333334
hit_mean_trunc,6600,222,1.0
base_mean_trunc,6600,0,0.0
n_scored_trunc,6600,237,21.0
lift_mean_trunc,6600,222,2.2045454545454546
benefit_excess_trunc,6600,277,728.1196488995081
base_mean_month_trunc,6600,247,0.9473684210526316
benefit_excess_month_trunc,6600,277,800.0070133283739
