pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
level → level,all,50,623,710,1.1069629735349202,1.190363578287726,0.08340060475280575,0.0005802436979208684,0.1692366504124534,43.97691720912351,56.5542712266923,12.577354017568787,-12.238170343992268,34.492484999461325,10,-0.03051527747723698,0.232797882273512,-32.179348479680705,49.77711940916329,вариант,разницы нет,разницы нет,разницы нет
level → level,AMD,10,138,142,1.26964373068975,1.2394800028898052,-0.030163727799944695,-0.19995700654244597,0.2054990964993095,78.05177799871983,70.70676131189225,-7.345016686827577,-69.45354699552412,41.105697455037266,10,-0.19995700654244597,0.2054990964993095,-69.45354699552412,41.105697455037266,разницы нет,разницы нет,разницы нет,разницы нет
level → level,KGS,10,115,142,0.9960050171628799,1.1910210564869876,0.19501603932410772,0.036329814208195844,0.41807213787175146,17.74757676665419,50.065404040829016,32.317827274174824,1.3938857525491624,60.525499392583136,10,0.036329814208195844,0.41807213787175146,1.3938857525491624,60.525499392583136,вариант,вариант,вариант,вариант
level → level,KZT,10,157,142,1.0852097438717145,1.1236244710838132,0.03841472721209871,-0.10913019842520905,0.18056426006713622,29.703972490863674,17.184336913497145,-12.519635577366529,-75.77571568629455,31.40755655446267,10,-0.10913019842520905,0.18056426006713622,-75.77571568629455,31.40755655446267,разницы нет,разницы нет,разницы нет,разницы нет
level → level,TJS,10,92,142,1.1008464724326434,1.2241746290715587,0.12332815663891528,-0.15958198096190374,0.345840614235085,57.40823244204394,85.09381803076563,27.685585588721693,-51.153118098949754,89.39481814942137,10,-0.15958198096190374,0.345840614235085,-51.153118098949754,89.39481814942137,разницы нет,разницы нет,разницы нет,разницы нет
level → level,UZS,10,121,142,1.054613773202622,1.1646496012984642,0.11003582809584223,-0.0363208106431524,0.26627343405000836,38.350592260840784,59.721035836477476,21.370443575636692,-27.146339748538495,60.148083185808105,10,-0.0363208106431524,0.26627343405000836,-27.146339748538495,60.148083185808105,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,all,46,272,345,1.1558207648258547,1.1214566184822279,-0.034364146343626834,-0.1524636116722939,0.08132819152745778,36.987921164500456,30.427087744474694,-6.560833420025762,-44.45121171803747,28.982054540170505,10,-0.15570084432359976,0.08872534707905728,-35.735120941604215,11.412489471517532,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,9,41,69,1.4404355857191993,1.1041160759191873,-0.336319509800012,-0.5185126774361887,-0.1380678067528758,119.9435153166196,39.64324381749943,-80.30027149912016,-271.6741169219474,36.48521661770925,9,-0.5185126774361887,-0.1380678067528758,-271.6741169219474,36.48521661770925,latest,latest,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,69,1.2781639046769864,1.13689005533721,-0.14127384933977627,-0.37269978816062493,0.12369324437842943,59.600690695771405,22.08404680384661,-37.516643891924794,-106.2468025925497,10.49505146822991,10,-0.37269978816062493,0.12369324437842943,-106.2468025925497,10.49505146822991,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,69,1.086659524027471,1.0659890499889444,-0.02067047403852662,-0.21121141543049574,0.17591337961483766,9.940140438710113,-8.25983479264473,-18.19997523135484,-65.32674998575459,40.33121018167892,9,-0.21121141543049574,0.17591337961483766,-65.32674998575459,40.33121018167892,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,TJS,9,53,69,1.0974467796595495,1.1800536336930962,0.08260685403354673,-0.10286581023713454,0.2761018593579994,7.296454860878059,74.54299140157018,67.24653654069212,-10.505302307243317,148.26472998732697,9,-0.10286581023713454,0.2761018593579994,-10.505302307243317,148.26472998732697,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,UZS,9,59,69,0.9821338403579795,1.1078261673223615,0.12569232696438204,-0.14261369657216383,0.4317360896244471,7.539439707369737,24.124991492101994,16.585551784732257,-31.03008421284396,52.41502202909994,9,-0.14261369657216383,0.4317360896244471,-31.03008421284396,52.41502202909994,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,all,47,496,420,1.0022315287028014,1.0148000912456043,0.012568562542802919,-0.057687176924673254,0.08868998845462903,-31.782636922024643,-24.303554096530544,7.4790828254941,-13.704675906684551,32.834464942057224,10,-0.08727032786840147,0.15313063000762414,-19.667736110058428,33.738643509835605,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,AMD,9,87,84,1.1762044919628283,1.0162220467912546,-0.15998244517157367,-0.29758913064773235,0.01574109443514094,-5.18381836409982,-20.779535025794328,-15.595716661694507,-66.1217806993288,25.84287823610836,9,-0.29758913064773235,0.01574109443514094,-66.1217806993288,25.84287823610836,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KGS,10,86,84,0.9305249981197918,1.0312834528977333,0.10075845477794143,-0.08547487086820059,0.3429540900918531,-15.398010329829743,-19.29480557680757,-3.8967952469778258,-53.63573073917555,36.97631434265128,10,-0.08547487086820059,0.3429540900918531,-53.63573073917555,36.97631434265128,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,KZT,9,132,84,0.9369717722530976,1.0075371295030866,0.07056535724998902,-0.0033674945002124448,0.2668761339393737,-47.25441396627322,-41.20883429978297,6.045579666490248,-30.0693490696101,51.79674934439212,9,-0.0033674945002124448,0.2668761339393737,-30.0693490696101,51.79674934439212,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,TJS,10,104,84,0.9214387893439873,0.9901796334828092,0.06874084413882198,-0.0428802108795742,0.2720391297697384,-55.518548209623255,-7.6061647833372055,47.91238342628605,-29.087183855607503,132.897399105719,10,-0.0428802108795742,0.2720391297697384,-29.087183855607503,132.897399105719,разницы нет,разницы нет,разницы нет,разницы нет
dip_vs_trend → dip_vs_trend,UZS,9,87,84,1.10543257234363,1.032763171830531,-0.072669400513099,-0.2686406296184928,0.06875665315057569,-22.72936976934824,-32.62843079693064,-9.899061027582398,-75.25672062291123,35.974654556310746,9,-0.2686406296184928,0.06875665315057569,-75.25672062291123,35.974654556310746,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,all,55,988,1010,0.9804468066353104,0.9407595713543879,-0.03968723528092244,-0.08078731194122939,0.0018136162873656366,-6.443570074061485,-18.12761299951562,-11.684042925454134,-20.525345249626824,-2.8050344824156617,11,-0.07832400318716216,-0.0023509378900867556,-21.308149394242488,-1.1767856792939464,разницы нет,latest,latest,latest
momentum → momentum,AMD,11,186,202,0.9817382671657228,0.915198030425514,-0.06654023674020881,-0.1364056746923311,0.0020869598724876535,-24.0871077332595,-24.149204178725945,-0.06209644546644455,-14.251335853732488,12.385381942788605,11,-0.1364056746923311,0.0020869598724876535,-14.251335853732488,12.385381942788605,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KGS,11,139,202,0.8870908050079526,0.9184796551941978,0.031388850186245265,-0.07976738554894305,0.1235977747783014,-7.7925461620332435,-7.8173258367280285,-0.024779674694785037,-25.743085707554354,26.311892047216375,11,-0.07976738554894305,0.1235977747783014,-25.743085707554354,26.311892047216375,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KZT,11,229,202,1.0391604794783253,0.936732841036008,-0.10242763844231739,-0.225355030570587,-0.004780217808986838,7.85627867059468,-15.25930205826134,-23.11558072885602,-36.74794573456899,-7.106161421662381,11,-0.225355030570587,-0.004780217808986838,-36.74794573456899,-7.106161421662381,latest,latest,latest,latest
momentum → momentum,TJS,11,218,202,0.9889024094928547,0.9812807596570479,-0.007621649835806821,-0.0915493760178998,0.08038542953894404,-1.9247955101404122,-18.829611935584815,-16.9048164254444,-34.64551448816541,0.6333736096362328,11,-0.0915493760178998,0.08038542953894404,-34.64551448816541,0.6333736096362328,разницы нет,разницы нет,разницы нет,разницы нет
